ligand	receptor	pathway	n_sender	n_receiver	ligand_mean	receptor_mean	ligand_frac	receptor_frac	cpdb_mean_score	product_score	pass_expr_prop
APP	CD74	other	24060	4384	0.3569374084472656	1.7920063734054565	0.30644222776392355	0.6649178832116789	1.074471890926361	0.6396341108443266	True
HLA-A	CD8A	MHC_I	24060	4384	1.5907609462738037	0.3621886372566223	0.779925187032419	0.16537408759124086	0.976474791765213	0.576155539331964	True
CD58	CD2	other	24060	4384	0.18690314888954163	1.658124566078186	0.18748960931005818	0.5971715328467153	0.9225138574838638	0.3099087026511178	True
HLA-B	CD8A	MHC_I	24060	4384	1.4685648679733276	0.3621886372566223	0.7286783042394015	0.16537408759124086	0.915376752614975	0.531897508254211	True
PPIA	BSG	other	24060	4384	1.428939700126648	0.27663102746009827	0.784123025768911	0.16377737226277372	0.8527853637933731	0.39528905742455933	True
CXCL14	CXCR4	T_recruit_partial	24060	4384	1.1376464366912842	0.4695589244365692	0.3889858686616791	0.23608576642335766	0.8036026805639267	0.5341920372018549	True
HLA-C	CD8A	MHC_I	24060	4384	1.199673056602478	0.3621886372566223	0.6894014962593517	0.16537408759124086	0.7809308469295502	0.43450794952433824	True
SPP1	ITGA4+ITGB1	other	24060	4384	0.9579551815986633	0.2926633656024933	0.406857855361596	0.15967153284671534	0.6253092736005783	0.28035838754301246	True
CD44	TYROBP	other	24060	4384	0.6327856183052063	0.6031131148338318	0.47626766417290106	0.2561587591240876	0.617949366569519	0.38164130527810514	True
CD55	ADGRE5	other	24060	4384	0.5865342617034912	0.25682175159454346	0.3751454696591854	0.13800182481751824	0.42167800664901733	0.15063475646090296	True
F11R	ITGAL+ITGB2	other	24060	4384	0.4742487370967865	0.25300610065460205	0.4092684954280964	0.1364051094890511	0.3636274188756943	0.11998782371322747	True
CEACAM5	CD8A	MHC_I_partial	24060	4384	0.36362722516059875	0.3621886372566223	0.16529509559434746	0.16537408759124086	0.36290793120861053	0.13170164915032423	True
IGFBP3	TMEM219	other	24060	4384	0.43753674626350403	0.2571089267730713	0.24954280964256026	0.1468978102189781	0.34732283651828766	0.11249460325559113	True
NECTIN2	TIGIT	checkpoint	24060	4384	0.1800021380186081	0.468448668718338	0.17497921862011637	0.22331204379562045	0.32422540336847305	0.0843217619212715	True
DHCR24	RORA	other	24060	4384	0.3054991066455841	0.30622121691703796	0.27211138819617625	0.16149635036496351	0.30586016178131104	0.09355030820407872	True
JAG1	CD46	other	24060	4384	0.26463583111763	0.2869812846183777	0.23778054862842893	0.15921532846715328	0.27580855786800385	0.0759455307701895	True
CD47	SIRPG	other	24060	4384	0.3467675745487213	0.1996198296546936	0.3020781379883624	0.10812043795620438	0.27319370210170746	0.06922168416118701	True
ICAM1	SPN	other	24060	4384	0.14669069647789001	0.27954912185668945	0.1184954280964256	0.14849452554744524	0.21311990916728973	0.04100725538494032	True
DHCR7	RORA	other	24060	4384	0.11647336184978485	0.30622121691703796	0.12206982543640897	0.16149635036496351	0.2113472893834114	0.03566661460405962	True
PLAUR	ITGA4+ITGB1	other	24060	4384	0.11737632006406784	0.2926633656024933	0.10644222776392352	0.15967153284671534	0.20501984283328056	0.034351748871985555	True
LIPA	RORA	other	24060	4384	0.09921324998140335	0.30622121691703796	0.10743973399833749	0.16149635036496351	0.20271723344922066	0.030381202143599628	True
ICAM1	ITGAL	other	24060	4384	0.14669069647789001	0.25300610065460205	0.1184954280964256	0.1364051094890511	0.19984839856624603	0.03711364111817872	True
ICAM1	ITGAL+ITGB2	other	24060	4384	0.14669069647789001	0.25300610065460205	0.1184954280964256	0.1364051094890511	0.19984839856624603	0.03711364111817872	True
ITGAV+ITGB1	ADGRE5	other	24060	4384	0.1413484513759613	0.25682175159454346	0.14181213632585205	0.13800182481751824	0.19908510148525238	0.03630135686755054	True
LPAR1	ADGRE5	other	24060	4384	0.09251092374324799	0.25682175159454346	0.10058187863674148	0.13800182481751824	0.17466633766889572	0.023758817477370187	True
