ligand	receptor	pathway	n_sender_high	n_receiver_high	ligand_mean_high	receptor_mean_high	ligand_frac_high	receptor_frac_high	cpdb_mean_score_high	product_score_high	pass_expr_prop_high	Patient	n_sender_low	n_receiver_low	ligand_mean_low	receptor_mean_low	ligand_frac_low	receptor_frac_low	cpdb_mean_score_low	product_score_low	pass_expr_prop_low	delta_high_minus_low	pass_either
IFNG	IFNGR1	IFN	2234	59	0.019212281331419945	0.04239415377378464	0.017905102954341987	0.03389830508474576	0.03080321755260229	0.000814488409109429	False	P1	1666	59	0.02224145457148552	0.04239415377378464	0.02100840336134454	0.03389830508474576	0.03231780417263508	0.0009429076452562024	False	-0.0015145866200327873	False
IFNG	IFNGR1+IFNGR2	IFN	2234	59	0.019212281331419945	0.04239415377378464	0.017905102954341987	0.03389830508474576	0.03080321755260229	0.000814488409109429	False	P1	1666	59	0.02224145457148552	0.04239415377378464	0.02100840336134454	0.03389830508474576	0.03231780417263508	0.0009429076452562024	False	-0.0015145866200327873	False
IFNG	IFNGR2	IFN	2234	59	0.019212281331419945	0.08134971559047699	0.017905102954341987	0.05084745762711865	0.05028099846094847	0.001562913622155243	False	P1	1666	59	0.02224145457148552	0.08134971559047699	0.02100840336134454	0.05084745762711865	0.051795585080981255	0.0018093360037088613	False	-0.0015145866200327873	False
IFNL1	IFNLR1+IL10RB	IFN	2234	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	0.0	False
CD93	IFNGR1	IFN_partial	2234	59	0.004100855439901352	0.04239415377378464	0.004923903312444047	0.03389830508474576	0.023247504606842995	0.00017385229612323916	False	P1	1666	59	0.009586207568645477	0.04239415377378464	0.01020408163265306	0.03389830508474576	0.025990180671215057	0.0004063991577725745	False	-0.0027426760643720627	False
IFNE	IFNAR1+IFNAR2	IFN_partial	2234	59	0.0	0.13246092200279236	0.0	0.1016949152542373	0.06623046100139618	0.0	False	P1	1666	59	0.0	0.13246092200279236	0.0	0.1016949152542373	0.06623046100139618	0.0	False	0.0	False
IL26	IL10RB+IL20RA	IFN_partial	2234	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	0.0	False
HLA-A	CD8A	MHC_I	2234	59	1.1839205026626587	0.47504639625549316	0.7381378692927484	0.2711864406779661	0.8294834494590759	0.562417168242888	True	P1	1666	59	1.0507382154464722	0.47504639625549316	0.7076830732292917	0.2711864406779661	0.7628923058509827	0.49914940265577457	True	0.06659114360809326	True
HLA-A	CD8B	MHC_I	2234	59	1.1839205026626587	0.27727174758911133	0.7381378692927484	0.1694915254237288	0.730596125125885	0.3282677067798545	True	P1	1666	59	1.0507382154464722	0.27727174758911133	0.7076830732292917	0.1694915254237288	0.6640049815177917	0.2913400212555075	True	0.06659114360809326	True
HLA-B	CD8A	MHC_I	2234	59	0.72304767370224	0.47504639625549316	0.5246195165622203	0.2711864406779661	0.5990470349788666	0.3434811917131668	True	P1	1666	59	0.6368424296379089	0.47504639625549316	0.49879951980792314	0.2711864406779661	0.555944412946701	0.3025297011820811	True	0.04310262203216553	True
HLA-B	CD8B	MHC_I	2234	59	0.72304767370224	0.27727174758911133	0.5246195165622203	0.1694915254237288	0.5001597106456757	0.20048069207766162	True	P1	1666	59	0.6368424296379089	0.27727174758911133	0.49879951980792314	0.1694915254237288	0.45705708861351013	0.17657841340459868	True	0.04310262203216553	True
HLA-C	CD8A	MHC_I	2234	59	0.5889086723327637	0.47504639625549316	0.4610564010743062	0.2711864406779661	0.5319775342941284	0.27975894251528644	True	P1	1666	59	0.49573516845703125	0.47504639625549316	0.4207683073229292	0.2711864406779661	0.4853907823562622	0.23549720527262252	True	0.04658675193786621	True
HLA-C	CD8B	MHC_I	2234	59	0.5889086723327637	0.27727174758911133	0.4610564010743062	0.1694915254237288	0.4330902099609375	0.16328773674808872	True	P1	1666	59	0.49573516845703125	0.27727174758911133	0.4207683073229292	0.1694915254237288	0.3865034580230713	0.13745335649946355	True	0.04658675193786621	True
HLA-C	KIR2DL1	MHC_I	2234	59	0.5889086723327637	0.0	0.4610564010743062	0.0	0.29445433616638184	0.0	False	P1	1666	59	0.49573516845703125	0.0	0.4207683073229292	0.0	0.24786758422851562	0.0	False	0.04658675193786621	False
HLA-E	KLRC1	MHC_I	2234	59	0.7068187594413757	0.14569589495658875	0.562667860340197	0.1016949152542373	0.42625732719898224	0.10298059172891705	True	P1	1666	59	0.5572847127914429	0.14569589495658875	0.4819927971188475	0.1016949152542373	0.3514903038740158	0.08119409497577479	True	0.07476702332496643	True
HLA-E	KLRC1+KLRD1	MHC_I	2234	59	0.7068187594413757	0.14569589495658875	0.562667860340197	0.1016949152542373	0.42625732719898224	0.10298059172891705	True	P1	1666	59	0.5572847127914429	0.14569589495658875	0.4819927971188475	0.1016949152542373	0.3514903038740158	0.08119409497577479	True	0.07476702332496643	True
HLA-E	KLRC2	MHC_I	2234	59	0.7068187594413757	0.18625621497631073	0.562667860340197	0.11864406779661017	0.44653748720884323	0.13164938680780214	True	P1	1666	59	0.5572847127914429	0.18625621497631073	0.4819927971188475	0.11864406779661017	0.3717704638838768	0.10379774126869457	True	0.07476702332496643	True
HLA-E	KLRC2+KLRD1	MHC_I	2234	59	0.7068187594413757	0.18625621497631073	0.562667860340197	0.11864406779661017	0.44653748720884323	0.13164938680780214	True	P1	1666	59	0.5572847127914429	0.18625621497631073	0.4819927971188475	0.11864406779661017	0.3717704638838768	0.10379774126869457	True	0.07476702332496643	True
HLA-E	KLRD1	MHC_I	2234	59	0.7068187594413757	0.26660460233688354	0.562667860340197	0.1864406779661017	0.48671168088912964	0.18844113428511733	True	P1	1666	59	0.5572847127914429	0.26660460233688354	0.4819927971188475	0.1864406779661017	0.4119446575641632	0.14857466924218699	True	0.07476702332496643	True
HLA-F	LILRB1	MHC_I	2234	59	0.05575884133577347	0.046111270785331726	0.06490599820948971	0.03389830508474576	0.0509350560605526	0.002571111031510198	False	P1	1666	59	0.0443500317633152	0.046111270785331726	0.05282112845138055	0.03389830508474576	0.04523065127432346	0.0020450363239762903	False	0.005704404786229134	False
HLA-F	LILRB2	MHC_I	2234	59	0.05575884133577347	0.0	0.06490599820948971	0.0	0.027879420667886734	0.0	False	P1	1666	59	0.0443500317633152	0.0	0.05282112845138055	0.0	0.0221750158816576	0.0	False	0.005704404786229134	False
HLA-G	LILRB1	MHC_I	2234	59	0.00144477398134768	0.046111270785331726	0.0013428827215756492	0.03389830508474576	0.023778022383339703	6.662036427752469e-05	False	P1	1666	59	0.0009220525971613824	0.046111270785331726	0.0012004801920768306	0.03389830508474576	0.023516661691246554	4.25170169860269e-05	False	0.00026136069209314883	False
HLA-G	LILRB2	MHC_I	2234	59	0.00144477398134768	0.0	0.0013428827215756492	0.0	0.00072238699067384	0.0	False	P1	1666	59	0.0009220525971613824	0.0	0.0012004801920768306	0.0	0.0004610262985806912	0.0	False	0.00026136069209314883	False
