ligand	receptor	pathway	n_sender	n_receiver	ligand_mean	receptor_mean	ligand_frac	receptor_frac	cpdb_mean_score	product_score	pass_expr_prop	Patient
IFNG	IFNGR1	IFN	2234	59	0.019212281331419945	0.04239415377378464	0.017905102954341987	0.03389830508474576	0.03080321755260229	0.000814488409109429	False	P1
IFNG	IFNGR1+IFNGR2	IFN	2234	59	0.019212281331419945	0.04239415377378464	0.017905102954341987	0.03389830508474576	0.03080321755260229	0.000814488409109429	False	P1
IFNG	IFNGR2	IFN	2234	59	0.019212281331419945	0.08134971559047699	0.017905102954341987	0.05084745762711865	0.05028099846094847	0.001562913622155243	False	P1
IFNL1	IFNLR1+IL10RB	IFN	2234	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
CD93	IFNGR1	IFN_partial	2234	59	0.004100855439901352	0.04239415377378464	0.004923903312444047	0.03389830508474576	0.023247504606842995	0.00017385229612323916	False	P1
IFNE	IFNAR1+IFNAR2	IFN_partial	2234	59	0.0	0.13246092200279236	0.0	0.1016949152542373	0.06623046100139618	0.0	False	P1
IL26	IL10RB+IL20RA	IFN_partial	2234	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
HLA-A	CD8A	MHC_I	2234	59	1.1839205026626587	0.47504639625549316	0.7381378692927484	0.2711864406779661	0.8294834494590759	0.562417168242888	True	P1
HLA-A	CD8B	MHC_I	2234	59	1.1839205026626587	0.27727174758911133	0.7381378692927484	0.1694915254237288	0.730596125125885	0.3282677067798545	True	P1
HLA-B	CD8A	MHC_I	2234	59	0.72304767370224	0.47504639625549316	0.5246195165622203	0.2711864406779661	0.5990470349788666	0.3434811917131668	True	P1
HLA-B	CD8B	MHC_I	2234	59	0.72304767370224	0.27727174758911133	0.5246195165622203	0.1694915254237288	0.5001597106456757	0.20048069207766162	True	P1
HLA-C	CD8A	MHC_I	2234	59	0.5889086723327637	0.47504639625549316	0.4610564010743062	0.2711864406779661	0.5319775342941284	0.27975894251528644	True	P1
HLA-C	CD8B	MHC_I	2234	59	0.5889086723327637	0.27727174758911133	0.4610564010743062	0.1694915254237288	0.4330902099609375	0.16328773674808872	True	P1
HLA-C	KIR2DL1	MHC_I	2234	59	0.5889086723327637	0.0	0.4610564010743062	0.0	0.29445433616638184	0.0	False	P1
HLA-E	KLRC1	MHC_I	2234	59	0.7068187594413757	0.14569589495658875	0.562667860340197	0.1016949152542373	0.42625732719898224	0.10298059172891705	True	P1
HLA-E	KLRC1+KLRD1	MHC_I	2234	59	0.7068187594413757	0.14569589495658875	0.562667860340197	0.1016949152542373	0.42625732719898224	0.10298059172891705	True	P1
HLA-E	KLRC2	MHC_I	2234	59	0.7068187594413757	0.18625621497631073	0.562667860340197	0.11864406779661017	0.44653748720884323	0.13164938680780214	True	P1
HLA-E	KLRC2+KLRD1	MHC_I	2234	59	0.7068187594413757	0.18625621497631073	0.562667860340197	0.11864406779661017	0.44653748720884323	0.13164938680780214	True	P1
HLA-E	KLRD1	MHC_I	2234	59	0.7068187594413757	0.26660460233688354	0.562667860340197	0.1864406779661017	0.48671168088912964	0.18844113428511733	True	P1
HLA-F	LILRB1	MHC_I	2234	59	0.05575884133577347	0.046111270785331726	0.06490599820948971	0.03389830508474576	0.0509350560605526	0.002571111031510198	False	P1
HLA-F	LILRB2	MHC_I	2234	59	0.05575884133577347	0.0	0.06490599820948971	0.0	0.027879420667886734	0.0	False	P1
HLA-G	LILRB1	MHC_I	2234	59	0.00144477398134768	0.046111270785331726	0.0013428827215756492	0.03389830508474576	0.023778022383339703	6.662036427752469e-05	False	P1
HLA-G	LILRB2	MHC_I	2234	59	0.00144477398134768	0.0	0.0013428827215756492	0.0	0.00072238699067384	0.0	False	P1
B2M+CD1B	IL6ST	MHC_I_partial	2234	59	0.0	0.15648457407951355	0.0	0.11864406779661017	0.07824228703975677	0.0	False	P1
CD1D	LILRB2	MHC_I_partial	2234	59	0.005170046351850033	0.0	0.007162041181736795	0.0	0.0025850231759250164	0.0	False	P1
CEACAM5	CD8A	MHC_I_partial	2234	59	0.20507927238941193	0.47504639625549316	0.09355416293643688	0.2711864406779661	0.34006283432245255	0.0974221692952888	False	P1
HLA-E	VSIR	MHC_I_partial	2234	59	0.7068187594413757	0.23925477266311646	0.562667860340197	0.1694915254237288	0.4730367660522461	0.16910976160417235	True	P1
HLA-F	VSIR	MHC_I_partial	2234	59	0.05575884133577347	0.23925477266311646	0.06490599820948971	0.1694915254237288	0.14750680699944496	0.013340568907749262	False	P1
LCK	CD8A+CD8B	MHC_I_partial	2234	59	0.014153437688946724	0.27727174758911133	0.01566696508504924	0.1694915254237288	0.14571259263902903	0.003924348402407851	False	P1
CCL19	CCR7	T_recruit	2234	59	0.0	0.14844368398189545	0.0	0.1016949152542373	0.07422184199094772	0.0	False	P1
CCL21	CCR7	T_recruit	2234	59	0.0	0.14844368398189545	0.0	0.1016949152542373	0.07422184199094772	0.0	False	P1
CCL3	CCR1	T_recruit	2234	59	0.09568675607442856	0.1446400284767151	0.09042076991942703	0.1016949152542373	0.12016339227557182	0.013840135123449837	False	P1
CCL3	CCR5	T_recruit	2234	59	0.09568675607442856	0.3816611170768738	0.09042076991942703	0.2542372881355932	0.23867393657565117	0.03651991421282874	False	P1
CCL4	CCR5	T_recruit	2234	59	0.11685403436422348	0.3816611170768738	0.10519247985675918	0.2542372881355932	0.24925757572054863	0.04459864129038893	True	P1
CCL5	CCR1	T_recruit	2234	59	0.23773013055324554	0.1446400284767151	0.17949865711727842	0.1016949152542373	0.19118507951498032	0.03438529285299463	True	P1
CCL5	CCR5	T_recruit	2234	59	0.23773013055324554	0.3816611170768738	0.17949865711727842	0.2542372881355932	0.30969562381505966	0.09073234718978274	True	P1
CX3CL1	CX3CR1	T_recruit	2234	59	0.002324218163266778	0.0	0.0026857654431512983	0.0	0.001162109081633389	0.0	False	P1
CXCL10	CXCR3	T_recruit	2234	59	0.012582802213728428	0.25396403670310974	0.012085944494180842	0.1864406779661017	0.13327341945841908	0.003195579243235297	False	P1
CXCL11	CXCR3	T_recruit	2234	59	0.005506056360900402	0.25396403670310974	0.0040286481647269475	0.1864406779661017	0.12973504653200507	0.0013983402997291006	False	P1
CXCL12	CXCR4	T_recruit	2234	59	0.0035371293779462576	0.47521719336509705	0.0040286481647269475	0.3050847457627119	0.23937716137152165	0.0016809046955568521	False	P1
CXCL13	CXCR5	T_recruit	2234	59	0.031437937170267105	0.0	0.025067144136078783	0.0	0.015718968585133553	0.0	False	P1
CXCL16	CXCR6	T_recruit	2234	59	0.11104843765497208	0.26176154613494873	0.1387645478961504	0.1694915254237288	0.1864049918949604	0.02906821073643595	True	P1
CXCL9	CXCR3	T_recruit	2234	59	0.022481119260191917	0.25396403670310974	0.022829006266786033	0.1864406779661017	0.13822257798165083	0.005709395796922367	False	P1
CCL15	CCR1	T_recruit_partial	2234	59	0.0	0.1446400284767151	0.0	0.1016949152542373	0.07232001423835754	0.0	False	P1
CCL19	ACKR4	T_recruit_partial	2234	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
CCL19	CCRL2	T_recruit_partial	2234	59	0.0	0.020483367145061493	0.0	0.01694915254237288	0.010241683572530746	0.0	False	P1
CCL21	ACKR4	T_recruit_partial	2234	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
CCL23	CCR1	T_recruit_partial	2234	59	0.0	0.1446400284767151	0.0	0.1016949152542373	0.07232001423835754	0.0	False	P1
CCL26	CCR1	T_recruit_partial	2234	59	0.17592312395572662	0.1446400284767151	0.1495076096687556	0.1016949152542373	0.16028157621622086	0.025445525658668977	True	P1
CCL3	ACKR2	T_recruit_partial	2234	59	0.09568675607442856	0.0	0.09042076991942703	0.0	0.04784337803721428	0.0	False	P1
CCL3	CCR3	T_recruit_partial	2234	59	0.09568675607442856	0.0	0.09042076991942703	0.0	0.04784337803721428	0.0	False	P1
CCL3L1	CCR1	T_recruit_partial	2234	59	0.1299627125263214	0.1446400284767151	0.12578334825425247	0.1016949152542373	0.13730137050151825	0.018797810440718266	True	P1
CCL4	ACKR2	T_recruit_partial	2234	59	0.11685403436422348	0.0	0.10519247985675918	0.0	0.05842701718211174	0.0	False	P1
CCL5	ACKR1	T_recruit_partial	2234	59	0.23773013055324554	0.0	0.17949865711727842	0.0	0.11886506527662277	0.0	False	P1
CCL5	ACKR2	T_recruit_partial	2234	59	0.23773013055324554	0.0	0.17949865711727842	0.0	0.11886506527662277	0.0	False	P1
CCL5	CCR3	T_recruit_partial	2234	59	0.23773013055324554	0.0	0.17949865711727842	0.0	0.11886506527662277	0.0	False	P1
CCL5	CCR4	T_recruit_partial	2234	59	0.23773013055324554	0.019800599664449692	0.17949865711727842	0.01694915254237288	0.12876536510884762	0.004707199143262175	False	P1
CCL5	GPR75	T_recruit_partial	2234	59	0.23773013055324554	0.0	0.17949865711727842	0.0	0.11886506527662277	0.0	False	P1
