ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
APP,APP,0.35658586,0.303,CD74,CD74,1.849269,0.6795,Malig_CLDN4high,TNK,1.1029274,0.0
APP,APP,0.33756107,0.286,CD74,CD74,1.849269,0.6795,Malig_CLDN4low,TNK,1.093415,0.0
SPP1,SPP1,1.335471,0.526,CD44,CD44,0.74959654,0.509,Malig_CLDN4low,Malig_CLDN4low,1.0425338,0.0
SPP1,SPP1,1.335471,0.526,CD44,CD44,0.65639114,0.3415,Malig_CLDN4low,TNK,0.9959311,0.0
SPP1,SPP1,1.335471,0.526,CD44,CD44,0.6450573,0.469,Malig_CLDN4low,Malig_CLDN4high,0.9902642,0.0
CD58,CD58,0.22242951,0.1235,CD2,CD2,1.6710436,0.5995,TNK,TNK,0.9467366,0.0
CD58,CD58,0.18364176,0.177,CD2,CD2,1.6710436,0.5995,Malig_CLDN4high,TNK,0.9273427,0.0
CD58,CD58,0.18355608,0.173,CD2,CD2,1.6710436,0.5995,Malig_CLDN4low,TNK,0.92729986,0.0
SPP1,SPP1,0.9641334,0.4055,CD44,CD44,0.74959654,0.509,Malig_CLDN4high,Malig_CLDN4low,0.8568649,0.0
SPP1,SPP1,1.335471,0.526,ITGA4,ITGA4_ITGB1,0.2937562,0.1615,Malig_CLDN4low,TNK,0.8146136,0.0
SPP1,SPP1,0.9641334,0.4055,CD44,CD44,0.65639114,0.3415,Malig_CLDN4high,TNK,0.81026226,0.02
SPP1,SPP1,0.9641334,0.4055,CD44,CD44,0.6450573,0.469,Malig_CLDN4high,Malig_CLDN4high,0.80459535,0.04
MDK,MDK,0.9243941,0.57,PTPRZ1,PTPRZ1,0.50433177,0.366,Malig_CLDN4high,Malig_CLDN4high,0.7143629,0.0
MDK,MDK,0.9243941,0.57,PTPRZ1,PTPRZ1,0.44718975,0.325,Malig_CLDN4high,Malig_CLDN4low,0.6857919,0.0
JAG1,JAG1,0.34292918,0.282,CD46,CD46,0.9556463,0.6235,Malig_CLDN4low,Malig_CLDN4high,0.6492877,0.0
MDK,MDK,0.77558327,0.5005,PTPRZ1,PTPRZ1,0.50433177,0.366,Malig_CLDN4low,Malig_CLDN4high,0.63995755,0.0
JAG1,JAG1,0.34292918,0.282,CD46,CD46,0.92768097,0.588,Malig_CLDN4low,Malig_CLDN4low,0.63530505,0.0
SPP1,SPP1,0.9641334,0.4055,ITGA4,ITGA4_ITGB1,0.2937562,0.1615,Malig_CLDN4high,TNK,0.62894475,0.0
MDK,MDK,0.77558327,0.5005,PTPRZ1,PTPRZ1,0.44718975,0.325,Malig_CLDN4low,Malig_CLDN4low,0.61138654,0.0
JAG1,JAG1,0.2627928,0.236,CD46,CD46,0.9556463,0.6235,Malig_CLDN4high,Malig_CLDN4high,0.60921955,0.0
JAG1,JAG1,0.2627928,0.236,CD46,CD46,0.92768097,0.588,Malig_CLDN4high,Malig_CLDN4low,0.5952369,0.0
MDK,MDK,0.9243941,0.57,SORL1,SORL1,0.23614441,0.2125,Malig_CLDN4high,Malig_CLDN4high,0.5802692,0.0
MDK,MDK,0.9243941,0.57,SORL1,SORL1,0.21530925,0.185,Malig_CLDN4high,Malig_CLDN4low,0.56985164,0.0
HBEGF,HBEGF,0.3396659,0.247,CD44,CD44,0.74959654,0.509,Malig_CLDN4high,Malig_CLDN4low,0.54463124,0.0
DSC2,DSC2,0.53077805,0.363,DSG2,DSG2,0.5290067,0.4155,Malig_CLDN4high,Malig_CLDN4high,0.5298924,0.0
SPP1,SPP1,0.28417733,0.137,CD44,CD44,0.74959654,0.509,TNK,Malig_CLDN4low,0.51688695,1.0
