ligand	receptor	pathway	n_sender	n_receiver	ligand_mean	receptor_mean	ligand_frac	receptor_frac	cpdb_mean_score	product_score	pass_expr_prop	Patient
IFNG	IFNGR1	IFN	1666	59	0.02224145457148552	0.04239415377378464	0.02100840336134454	0.03389830508474576	0.03231780417263508	0.0009429076452562024	False	P1
IFNG	IFNGR1+IFNGR2	IFN	1666	59	0.02224145457148552	0.04239415377378464	0.02100840336134454	0.03389830508474576	0.03231780417263508	0.0009429076452562024	False	P1
IFNG	IFNGR2	IFN	1666	59	0.02224145457148552	0.08134971559047699	0.02100840336134454	0.05084745762711865	0.051795585080981255	0.0018093360037088613	False	P1
IFNL1	IFNLR1+IL10RB	IFN	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
CD93	IFNGR1	IFN_partial	1666	59	0.009586207568645477	0.04239415377378464	0.01020408163265306	0.03389830508474576	0.025990180671215057	0.0004063991577725745	False	P1
IFNE	IFNAR1+IFNAR2	IFN_partial	1666	59	0.0	0.13246092200279236	0.0	0.1016949152542373	0.06623046100139618	0.0	False	P1
IL26	IL10RB+IL20RA	IFN_partial	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
HLA-A	CD8A	MHC_I	1666	59	1.0507382154464722	0.47504639625549316	0.7076830732292917	0.2711864406779661	0.7628923058509827	0.49914940265577457	True	P1
HLA-A	CD8B	MHC_I	1666	59	1.0507382154464722	0.27727174758911133	0.7076830732292917	0.1694915254237288	0.6640049815177917	0.2913400212555075	True	P1
HLA-B	CD8A	MHC_I	1666	59	0.6368424296379089	0.47504639625549316	0.49879951980792314	0.2711864406779661	0.555944412946701	0.3025297011820811	True	P1
HLA-B	CD8B	MHC_I	1666	59	0.6368424296379089	0.27727174758911133	0.49879951980792314	0.1694915254237288	0.45705708861351013	0.17657841340459868	True	P1
HLA-C	CD8A	MHC_I	1666	59	0.49573516845703125	0.47504639625549316	0.4207683073229292	0.2711864406779661	0.4853907823562622	0.23549720527262252	True	P1
HLA-C	CD8B	MHC_I	1666	59	0.49573516845703125	0.27727174758911133	0.4207683073229292	0.1694915254237288	0.3865034580230713	0.13745335649946355	True	P1
HLA-C	KIR2DL1	MHC_I	1666	59	0.49573516845703125	0.0	0.4207683073229292	0.0	0.24786758422851562	0.0	False	P1
HLA-E	KLRC1	MHC_I	1666	59	0.5572847127914429	0.14569589495658875	0.4819927971188475	0.1016949152542373	0.3514903038740158	0.08119409497577479	True	P1
HLA-E	KLRC1+KLRD1	MHC_I	1666	59	0.5572847127914429	0.14569589495658875	0.4819927971188475	0.1016949152542373	0.3514903038740158	0.08119409497577479	True	P1
HLA-E	KLRC2	MHC_I	1666	59	0.5572847127914429	0.18625621497631073	0.4819927971188475	0.11864406779661017	0.3717704638838768	0.10379774126869457	True	P1
HLA-E	KLRC2+KLRD1	MHC_I	1666	59	0.5572847127914429	0.18625621497631073	0.4819927971188475	0.11864406779661017	0.3717704638838768	0.10379774126869457	True	P1
HLA-E	KLRD1	MHC_I	1666	59	0.5572847127914429	0.26660460233688354	0.4819927971188475	0.1864406779661017	0.4119446575641632	0.14857466924218699	True	P1
HLA-F	LILRB1	MHC_I	1666	59	0.0443500317633152	0.046111270785331726	0.05282112845138055	0.03389830508474576	0.04523065127432346	0.0020450363239762903	False	P1
HLA-F	LILRB2	MHC_I	1666	59	0.0443500317633152	0.0	0.05282112845138055	0.0	0.0221750158816576	0.0	False	P1
HLA-G	LILRB1	MHC_I	1666	59	0.0009220525971613824	0.046111270785331726	0.0012004801920768306	0.03389830508474576	0.023516661691246554	4.25170169860269e-05	False	P1
HLA-G	LILRB2	MHC_I	1666	59	0.0009220525971613824	0.0	0.0012004801920768306	0.0	0.0004610262985806912	0.0	False	P1
B2M+CD1B	IL6ST	MHC_I_partial	1666	59	0.0	0.15648457407951355	0.0	0.11864406779661017	0.07824228703975677	0.0	False	P1
CD1D	LILRB2	MHC_I_partial	1666	59	0.005439453292638063	0.0	0.0078031212484993995	0.0	0.0027197266463190317	0.0	False	P1
CEACAM5	CD8A	MHC_I_partial	1666	59	0.1360642910003662	0.47504639625549316	0.06962785114045618	0.2711864406779661	0.3055553436279297	0.0646368510987827	False	P1
HLA-E	VSIR	MHC_I_partial	1666	59	0.5572847127914429	0.23925477266311646	0.4819927971188475	0.1694915254237288	0.39826974272727966	0.1333330272675468	True	P1
HLA-F	VSIR	MHC_I_partial	1666	59	0.0443500317633152	0.23925477266311646	0.05282112845138055	0.1694915254237288	0.14180240221321583	0.010610956767133972	False	P1
LCK	CD8A+CD8B	MHC_I_partial	1666	59	0.01823021098971367	0.27727174758911133	0.02040816326530612	0.1694915254237288	0.1477509792894125	0.005054722460036132	False	P1
CCL19	CCR7	T_recruit	1666	59	0.0021884094458073378	0.14844368398189545	0.001800720288115246	0.1016949152542373	0.07531604671385139	0.0003248555601964194	False	P1
