ligand	receptor	pathway	n_patients	median_delta	mean_delta	pval	padj
F11R	ITGAL+ITGB2	other	9	0.05931614339351654	0.05332721066143778	0.00390625	0.165625
CD58	CD2	other	16	0.01938612572848797	0.03322116262279451	0.009185791015625	0.165625
NECTIN2	TIGIT	checkpoint	11	0.01500432938337326	0.024210623719475487	0.009765625	0.165625
CD55	ADGRE5	other	11	0.1288507580757141	0.10226417468352751	0.013671875	0.165625
FN1	ITGA4+ITGB1	other	8	-0.07032488286495209	-0.09429543977603316	0.015625	0.165625
DHCR7	RORA	other	5	-0.026839757338166237	-0.02785162813961506	0.0625	0.4732142857142857
HLA-F	VSIR	MHC_I_partial	5	0.05803236365318298	0.0990561529994011	0.0625	0.4732142857142857
CD320	JAML	other	4	-0.03383725415915251	-0.029561159666627645	0.125	0.6022727272727273
CDH1	KLRG1	other	4	0.04167959466576576	0.04517900012433529	0.125	0.6022727272727273
HLA-E	KLRC1	MHC_I	4	0.09202252328395844	0.09360426664352417	0.125	0.6022727272727273
CEACAM5	CD8A	MHC_I_partial	5	0.17284852266311646	0.15699572023004293	0.125	0.6022727272727273
LIPA	RORA	other	7	0.04039983078837395	0.036293063046676774	0.15625	0.6370192307692307
ALCAM	CD6	other	6	0.07077976688742638	0.0793067750831445	0.15625	0.6370192307692307
HLA-E	VSIR	MHC_I_partial	8	0.05982811748981476	0.06738676130771637	0.1953125	0.6625
CD44	TYROBP	other	17	-0.019305169582366943	-0.04316549287999377	0.2068939208984375	0.6625
LPAR1	ADGRE5	other	3	0.006068751215934753	0.019455270220836002	0.25	0.6625
TGM2	ADGRG1	other	3	0.04411555826663971	0.06804128487904866	0.25	0.6625
CXCL16	CXCR6	T_recruit	4	0.05748436041176319	0.05234735645353794	0.25	0.6625
HLA-E	KLRC1+KLRD1	MHC_I	3	0.07476702332496643	0.07280546426773071	0.25	0.6625
HLA-E	KLRC2	MHC_I	3	0.07476702332496643	0.09188563625017802	0.25	0.6625
HLA-E	KLRD1	MHC_I	10	0.04059496521949768	0.042363351583480834	0.275390625	0.6901041666666666
APP	CD74	other	17	0.014061689376831055	0.032826159368543065	0.3060455322265625	0.6901041666666666
PVR	CD96	checkpoint_partial	6	-0.024769272655248642	-0.031322027246157326	0.3125	0.6901041666666666
CD47	SIRPG	other	6	-0.00849725678563118	-0.03973168755571047	0.3125	0.6901041666666666
JAG1	CD46	other	14	-0.008117061108350754	-0.015092093564037765	0.3258056640625	0.6907080078125
ITGAV+ITGB1	ADGRE5	other	9	-0.028215646743774414	-0.019436621003680758	0.359375	0.7325721153846154
IGFBP3	TMEM219	other	15	0.025142475962638855	0.008707625915606816	0.42120361328125	0.8030303030303031
CCL5	CCR5	T_recruit	5	0.01473575085401535	0.023553681373596192	0.4375	0.8030303030303031
PPIA	BSG	other	17	-0.03169119358062744	-0.025686853072222543	0.4585723876953125	0.8030303030303031
HLA-A	CD8A	MHC_I	10	0.032283395528793335	0.05035829842090607	0.4921875	0.8030303030303031
COL7A1	ITGA1+ITGB1	other	3	-0.032308179885149	-0.041645836705962815	0.5	0.8030303030303031
COL3A1	ADGRG1	other	3	-0.007870875298976898	-0.013712940116723379	0.5	0.8030303030303031
LPAR2	ADGRE5	other	3	0.023225920274853706	0.01629469854136308	0.5	0.8030303030303031
PLAUR	ITGA4+ITGB1	other	12	0.0030398275703191757	0.016397638091196615	0.5185546875	0.8083352481617647
SEMA4D	PTPRC	other	4	-0.04690137505531311	-0.03682112041860819	0.625	0.8963194151182433
PVR	TIGIT	checkpoint	5	-0.024609602987766266	-0.014581630378961563	0.625	0.8963194151182433
TNC	ITGA4+ITGB1	other	14	-0.024811118841171265	-0.00177234091929027	0.625732421875	0.8963194151182433
SPP1	ITGA4+ITGB1	other	9	-0.02308083325624466	0.007234047270483441	0.65234375	0.9098478618421053
HLA-C	CD8A	MHC_I	10	0.01869666576385498	0.022583886981010437	0.76953125	1.0
COL17A1	ITGA1+ITGB1	other	5	-0.041080474853515625	-0.06946029961109161	0.8125	1.0
DHCR24	RORA	other	11	0.027085691690444946	-0.0004690397869456898	0.8310546875	1.0
HLA-B	CD8B	MHC_I	6	-0.04505665600299835	-0.027165427803993225	0.84375	1.0
HLA-C	CD8B	MHC_I	6	-0.0222928524017334	0.01555195947488149	0.84375	1.0
KITLG	KIT	other	4	-0.04633843153715134	-0.020526492968201637	0.875	1.0
CXCL14	CXCR4	T_recruit_partial	12	-0.008340053260326385	0.023598759745558102	0.90966796875	1.0
ICAM1	ITGAL	other	7	-0.057827964425086975	-0.015063738184315818	0.9375	1.0
ICAM1	ITGAL+ITGB2	other	7	-0.057827964425086975	-0.015063738184315818	0.9375	1.0
LGALS9	P4HB	checkpoint_partial	8	0.006851773709058762	0.010941901593469083	0.9453125	1.0
ICAM1	SPN	other	11	0.0015611350536346436	-0.006454785439101132	0.9658203125	1.0
CCL5	CCR1	T_recruit	3	-0.010882817208766937	0.027870339651902516	1.0	1.0
HLA-A	CD8B	MHC_I	6	-0.004908859729766846	0.01994137465953827	1.0	1.0
COL1A2	ITGA1+ITGB1	other	3	0.012475937604904175	-0.02065735061963399	1.0	1.0
HLA-B	CD8A	MHC_I	10	0.015490889549255371	-0.012979927659034728	1.0	1.0
