dataset	contrast	n	rho	p	note	q	k	I2	N
GSE205335	GSE205335 CLDN4 vs DPT	22	0.0694522868435912	0.7587552446888981	per-dataset raw DPT	0.7587552446888981	1		
GSE207422	GSE207422 CLDN4 vs DPT	12	-0.5174825174825175	0.08486877113393476	per-dataset raw DPT	0.2546063134018043	1		
	stacked CLDN4 vs DPT rank (within dataset)	34	-0.21348839083540436	0.2253919198633832	pooled patients; DPT ranked within dataset		2		
	stacked CLDN4 vs DPT z (within dataset)	34	-0.09152024446142093	0.606712450987037	pooled patients; DPT z within dataset		2		
	DL Fisher-z of per-dataset CLDN4 vs DPT	34	-0.20328170955079736	0.5167892510214112	DL Fisher-z		2	0.6032927554203392	34.0
