dataset	leiden	n_cells	n_patients	n_leftover	n_malignant	mean_CLDN4	mean_AT2	mean_barrier_keratin	mean_dpt
GSE207422	0	103	9	81	22	1.7044029183758116	1.7449305422097736	0.7996684081346086	0.1173117458820343
GSE207422	1	374	7	374	0	1.6363309548500387	0.3601718399932678	0.6877833968709073	0.6383600831031799
GSE207422	2	410	9	404	6	1.5614781545429695	1.3637725799112785	1.126233801572788	0.03556583821773529
GSE207422	3	21	4	21	0	1.4435218515850248	0.6979614842505683	1.4477787017822268	0.08692222833633423
GSE207422	4	309	2	149	160	1.1617660032989139	0.07416160157776189	0.574772939576236	0.659040093421936
GSE207422	5	166	9	160	6	1.6200717324952045	2.967631572736315	1.1277686253968013	0.044886525720357895
GSE207422	6	74	1	4	70	0.703539402098269	0.047891643562832396	0.4978137741217742	0.5507192611694336
GSE207422	7	71	1	22	49	1.4961041144921745	0.29212232232093815	1.2704063594481194	0.8864558339118958
GSE207422	8	223	5	223	0	2.0094611607324917	0.10857648999167131	0.7368101859507005	0.7081863880157471
GSE207422	9	255	1	117	138	1.8039611868998584	0.13618247700672526	1.191092086052583	0.6901765465736389
GSE207422	10	109	1	62	47	1.5705493505394788	0.15577051978592477	1.123945826374063	0.6685584783554077
GSE207422	11	278	1	114	164	1.7462052401664445	0.14850217991595646	1.2834091728432573	0.6111457943916321
GSE207422	12	240	1	54	186	1.107305393057565	0.0109579586237669	0.7147550606686207	0.4926215708255768
GSE207422	13	323	1	55	268	0.6364032294451267	0.015987571723320906	1.5063954140948685	0.8278513550758362
GSE207422	14	38	1	38	0	1.167713900930003	2.110528326661963	0.9853080788202453	
