contrast	n_a	n_b	median_a	median_b	mean_a	mean_b	delta_median_a_minus_b	U	p	method	note
stacked DPT z, benefit (PR+MPR) vs no-benefit (PD+NMPR)	10	15	0.24885580171249783	-0.298712092992666	0.22999256216695066	-0.1978376619267137	0.5475678947051639	97.0	0.233023941435602	asymptotic	
stacked DPT rank, benefit vs no-benefit	10	15	8.5	8.0	11.1	7.466666666666667	0.5	97.0	0.23239422845028246	asymptotic	
stacked CLDN4, benefit (PR+MPR) vs no-benefit (PD+NMPR)	10	15	1.4968459555085958	1.5145968651586725	1.3871850583793262	1.3642177910712603	-0.01775090965007675	75.0	1.0	asymptotic	
stacked DPT z, benefit vs no-benefit, drop GSE205335 SCLC/NUT	8	14	0.19181137144491514	-0.45306546356010674	0.0016864783181913257	-0.24262999116860112	0.6448768350050219	67.0	0.4735901991712048	asymptotic	
