dataset	contrast	n	rho	p	note	q
GSE205335	CLDN4 vs DPT	22	0.0694522868435912	0.7587552446888981		0.7587552446888981
GSE205335	CLDN4 vs AT2 score	22	0.1609260304912479	0.474340887168815		0.6098668549313336
GSE205335	CLDN4 vs club score	22	0.3630717108977979	0.09675668043236259		0.1451350206485439
GSE205335	CLDN4 vs basal score	22	0.07848673066064371	0.7284539754065		0.7587552446888981
GSE205335	CLDN4 vs barrier/keratin (no CLDN4)	22	0.3901750423489555	0.07262429782338549		0.1307237360820939
GSE205335	CLDN4 vs malignant-like score	22	0.4760022586109543	0.02513536425492372		0.11310913914715674
GSE205335	CLDN4 vs TACSTD2 (comparator)	22	0.3946922642574817	0.06909060271028511		0.1307237360820939
GSE205335	SFTPC vs DPT (control)	22	-0.390381385572293	0.07245996672861744		0.1307237360820939
GSE205335	AT2 score vs DPT (control)	22	-0.7267080745341615	0.00012789331494726785		0.0011510398345254108
GSE207422	CLDN4 vs DPT	12	-0.5174825174825175	0.08486877113393476		0.2546063134018043
GSE207422	CLDN4 vs AT2 score	12	0.5594405594405596	0.05858947538856764		0.2546063134018043
GSE207422	CLDN4 vs club score	12	0.27272727272727276	0.39109677094189615		0.6779601696421388
GSE207422	CLDN4 vs basal score	12	-0.22377622377622378	0.4844516614553987		0.6779601696421388
GSE207422	CLDN4 vs barrier/keratin (no CLDN4)	12	0.2027972027972028	0.5273023541661079		0.6779601696421388
GSE207422	CLDN4 vs malignant-like score	12	0.027972027972027972	0.9312343512018807		1.0
GSE207422	CLDN4 vs TACSTD2 (comparator)	12	0.39860139860139865	0.19933549461780897		0.4485048628900702
GSE207422	SFTPC vs DPT (control)	0			n<4	
GSE207422	AT2 score vs DPT (control)	12	-0.7762237762237763	0.002992863680185982		0.026935773121673837
