gene,n_cells,pct_expressing,mean_cp10k,max_raw
TACSTD2,28457,26.88,3.4841,120.0
CLDN4,28457,27.53,2.0605,83.0
EPCAM,28457,23.51,0.9187,28.0
PTPRC,28457,48.03,2.6542,31.0
CD3D,28457,19.26,1.6547,22.0
SFTPC,28457,30.26,221.1766,15973.0
KRT19,28457,28.94,2.2751,188.0
KRT18,28457,32.55,2.1684,93.0
