,post,pre,delta_post_minus_pre
CD15,1.2021040724306955,0.7226880505540139,0.47941602187668164
CD45RO,2.738848329294926,2.329707877875022,0.40914045141990396
CD134,0.772646347494236,0.4551653665191762,0.3174809809750598
Iridium2,2.998249339187725,2.736978704323037,0.26127063486468804
CD73,0.487539573397605,0.23374184654899105,0.25379772684861396
Iridium,2.4671647711888967,2.2147287503913637,0.2524360207975329
Carbonic Anhydrase IX,0.581845782031271,0.3494606829907052,0.2323850990405658
Histone H3,1.7936026861186685,1.5868525898753965,0.206750096243272
CD45,0.41451673614566187,0.26668558692374894,0.14783114922191293
CD11b,0.5491537150421666,0.4101222094627428,0.1390315055794238
Granzyme B,0.4925238605448832,0.36045599549525703,0.13206786504962614
CD45RA,2.643395522770406,2.534074323874129,0.10932119889627723
SMA,0.8247189873822484,0.7192845750940046,0.1054344122882438
Cleaved Caspase3,0.8390162980247406,0.762276323635047,0.0767399743896936
CD27,0.22393807577513744,0.15667893814604378,0.06725913762909366
IDO,0.2779317168727832,0.2125222685620992,0.06540944831068399
VISTA,0.15915269714291813,0.09629308380573627,0.06285961333718186
GITR,0.20707698377678485,0.14949784410094635,0.0575791396758385
CD8a,0.3968376136711608,0.34212679181833594,0.05471082185282489
CD31 / vWF,0.7828150723495473,0.734410078660734,0.048404993688813236
LAG-3,0.15053001646296424,0.10478872784300083,0.045741288619963405
CD68,0.9810888031984839,0.9467907668325569,0.03429803636592699
CCL21,0.1784249929951227,0.14726510233412987,0.03115989066099284
PD-1,0.14242236606619127,0.11833643802902709,0.02408592803716418
HLA-ABC,0.24048106473849468,0.21997297802019578,0.0205080867182989
CD38,0.13653373478658884,0.12156659972362004,0.014967135062968803
ICOS,0.10339256207382191,0.09522481291021126,0.008167749163610655
HLA-DR,0.7232424773993316,0.718253459943086,0.004989017456245581
TCF1 / TCF7,0.1301534195923613,0.12816255514753863,0.00199086444482266
FOXP3,0.2697835811182383,0.27408422107765895,-0.004300639959420649
CD3,0.8031524620196869,0.8207886194433605,-0.017636157423673526
PD-L1,0.6235217782589616,0.649216144099912,-0.025694365840950417
CD206 (MMR),0.23776241807706783,0.26451005530678445,-0.026747637229716625
CD204,0.30812604638012087,0.3362346573796658,-0.028108610999544925
CD4,0.5136859422575006,0.5501172679377142,-0.03643132568021357
pan Cytokeratin,0.5066926514535776,0.5446451375830272,-0.03795248612944968
CD303,0.23442540107094542,0.2736596969186107,-0.039234295847665274
TMEM173,0.8468685561550272,0.899817084775514,-0.05294852862048682
Siglec-1 / CD169,0.4481035354074892,0.5574949428151715,-0.10939140740768233
CD14,0.8455216365776949,0.9564344787380742,-0.11091284216037933
CD163,0.2939250842012662,0.4403572124997126,-0.14643212829844643
