gene,cell_type,n_cells,pct_expressing,mean_cp10k,mean_raw
CD3D,T/NK cells,6477,71.98,6.9979,2.2263
CD3D,B lymphocytes,981,7.24,0.4575,0.4149
CD3D,Fibroblasts,438,3.42,0.1223,0.0594
CD3D,Myeloid cells,9688,5.86,0.0767,0.0879
CD3D,Epithelial cells,9517,1.57,0.0501,0.031
CD3D,Endothelial cells,892,1.35,0.0305,0.0157
CD3D,MAST cells,464,0.65,0.03,0.0086
CLDN4,Epithelial cells,9517,79.97,6.0914,4.5093
CLDN4,Endothelial cells,892,1.68,0.0787,0.0336
CLDN4,Fibroblasts,438,2.51,0.0784,0.1096
CLDN4,T/NK cells,6477,0.74,0.0364,0.0111
CLDN4,MAST cells,464,1.08,0.0333,0.0237
CLDN4,Myeloid cells,9688,1.4,0.0293,0.0257
CLDN4,B lymphocytes,981,0.92,0.024,0.0173
EPCAM,Epithelial cells,9517,67.76,2.704,2.0516
EPCAM,Fibroblasts,438,2.05,0.046,0.0457
EPCAM,Endothelial cells,892,1.23,0.0245,0.0179
EPCAM,Myeloid cells,9688,1.75,0.0232,0.0206
EPCAM,B lymphocytes,981,1.12,0.0192,0.0122
EPCAM,T/NK cells,6477,0.59,0.0187,0.0062
EPCAM,MAST cells,464,0.43,0.0082,0.0043
KRT18,Epithelial cells,9517,86.83,6.2443,4.782
KRT18,Fibroblasts,438,9.59,0.4493,0.2922
KRT18,Endothelial cells,892,9.19,0.3,0.1446
KRT18,MAST cells,464,4.53,0.1743,0.069
KRT18,B lymphocytes,981,7.54,0.1668,0.1142
KRT18,T/NK cells,6477,2.98,0.116,0.036
KRT18,Myeloid cells,9688,6.07,0.0844,0.088
KRT19,Epithelial cells,9517,81.16,6.6242,4.7187
KRT19,MAST cells,464,32.11,1.4102,0.4461
KRT19,Fibroblasts,438,2.97,0.141,0.2511
KRT19,Endothelial cells,892,1.91,0.0985,0.0583
KRT19,T/NK cells,6477,1.44,0.0773,0.0245
KRT19,B lymphocytes,981,1.94,0.0543,0.0336
KRT19,Myeloid cells,9688,2.28,0.0353,0.033
PTPRC,T/NK cells,6477,84.82,8.0965,2.5257
PTPRC,B lymphocytes,981,47.6,2.5902,1.0703
PTPRC,Myeloid cells,9688,75.37,1.9831,2.1105
PTPRC,MAST cells,464,38.58,1.6537,0.5711
PTPRC,Fibroblasts,438,4.57,0.1652,0.1005
PTPRC,Endothelial cells,892,2.13,0.0677,0.0348
PTPRC,Epithelial cells,9517,1.98,0.0459,0.0363
SFTPC,Epithelial cells,9517,35.44,653.062,536.1082
SFTPC,MAST cells,464,29.96,11.0183,5.9246
SFTPC,Endothelial cells,892,19.96,10.2171,3.5
SFTPC,Fibroblasts,438,22.15,4.7165,3.4726
SFTPC,Myeloid cells,9688,38.44,4.1994,4.1514
SFTPC,T/NK cells,6477,14.67,2.956,0.9176
SFTPC,B lymphocytes,981,15.39,2.7613,1.5494
TACSTD2,Epithelial cells,9517,73.48,10.1826,6.9474
TACSTD2,Myeloid cells,9688,5.26,0.1754,0.1749
TACSTD2,Fibroblasts,438,4.57,0.159,0.1393
TACSTD2,Endothelial cells,892,4.48,0.1292,0.0695
TACSTD2,T/NK cells,6477,1.07,0.0487,0.0156
TACSTD2,B lymphocytes,981,1.63,0.0403,0.0173
TACSTD2,MAST cells,464,0.22,0.002,0.0022
