n	n11	n10	n01	n00	p_tac	p_cld	p_both	p_indep	ratio_vs_indep	odds_ratio	fisher_p	spearman	spearman_p	spearman_n	dataset	unit_id	n_cells	n_malignant	n_tnk	frac_tnk	dual_pct	usable_rho
228	42	19	38	129	0.2675438596491228	0.3508771929824561	0.18421052631578946	0.09387503847337642	1.9622950819672131	7.50415512465374	2.632230160708912e-10	0.511506391293017	1.3326532027183442e-16	228	GSE123902	LX255B	3886	228	1583	0.407359752959341	18.421052631578945	True
145	97	21	7	20	0.8137931034482758	0.7172413793103448	0.6689655172413793	0.5836860879904875	1.1461049543676662	13.197278911564625	3.897362754447543e-08	0.7601919933859201	1.439541665331682e-28	145	GSE123902	LX653	392	145	49	0.125	66.89655172413794	True
117	53	6	16	42	0.5042735042735043	0.5897435897435898	0.452991452991453	0.29739206662283585	1.5232129697862933	23.1875	2.2883606425522052e-12	0.6778726867035515	4.682334696681883e-17	117	GSE123902	LX661	4566	117	3726	0.816031537450723	45.2991452991453	True
786	65	17	463	241	0.10432569974554708	0.6717557251908397	0.08269720101781171	0.07008138608861178	1.1800166297117516	1.9902172532079787	0.01301194386783654	0.13069306436384662	0.00023877498828502513	786	GSE123902	LX666	1316	786	177	0.134498480243161	8.269720101781171	True
618	156	70	38	354	0.3656957928802589	0.313915857605178	0.2524271844660194	0.11479770844461201	2.1988869628683516	20.7609022556391	1.0285712678152705e-53	0.7369693790560042	7.192243822264318e-107	618	GSE123902	LX675	3435	618	1336	0.388937409024745	25.24271844660194	True
147	55	6	7	79	0.41496598639455784	0.4217687074829932	0.3741496598639456	0.175019667731038	2.1377578001057644	103.45238095238095	1.5457829807200423e-25	0.8141562966892243	4.7363562738527704e-36	147	GSE123902	LX676	4014	147	2606	0.649227703039362	37.41496598639456	True
497	149	57	66	225	0.41448692152917505	0.43259557344064387	0.29979879275653926	0.17930520750256063	1.6720027094152181	8.911483253588516	9.307713456516055e-29	0.5668523561895249	1.3676323954843193e-43	497	GSE123902	LX679	2017	497	625	0.309866137828458	29.979879275653925	True
258	25	4	164	65	0.1124031007751938	0.7325581395348837	0.09689922480620156	0.08234180638182802	1.176792556102901	2.4771341463414633	0.11953238440487562	0.04554184000377675	0.46640780592570363	258	GSE123902	LX680	941	258	344	0.365568544102019	9.689922480620156	True
1207	677	70	87	373	0.6188898094449047	0.6329743164871583	0.5608947804473903	0.3917413541142562	1.4317987482215073	41.46486042692939	1.647071519681088e-148	0.8161586637072323	2.609558315745247e-289	1207	GSE123902	LX681	1630	1207	86	0.052760736196319	56.089478044739025	True
421	65	34	14	308	0.23515439429928742	0.1876484560570071	0.1543942992874109	0.04412635902528196	3.498913182457486	42.05882352941177	4.66426390142386e-37	0.7502921292535126	2.5600995259529232e-77	421	GSE123902	LX682	4092	421	2558	0.625122189638319	15.439429928741092	True
