dataset	n_units	n_units_ge30	median_ratio_vs_indep	median_odds_ratio	median_p_both	median_p_tac	median_p_cld	median_spearman	frac_spearman_pos	wilcoxon_ratio_gt1_p	wilcoxon_spearman_p	dual_vs_tnk_spearman	dual_vs_tnk_p
GSE123902	13	13	1.5232129697862933	13.197278911564625	0.2524271844660194	0.3656957928802589	0.43259557344064387	0.6778726867035515	1.0	0.0001220703125	0.0001220703125	-0.3516483516483516	0.2386997053420338
GSE131907	21	20	1.124183343523745	12.47819897733729	0.6575544737869562	0.7088389529340383	0.8262842109501887	0.6743688695372274	1.0	9.5367431640625e-07	9.5367431640625e-07	-0.23609022556390977	0.3162939707830972
GSE189357	9	9	1.6379421221864954	17.473237179487178	0.37198795180722893	0.4337585868498528	0.4533856722276742	0.7332754585835858	1.0	0.001953125	0.001953125	-0.48333333333333334	0.18746985521554216
GSE205335	22	21	1.306901513041864	15.620608899297423	0.48092868988391374	0.6018808777429467	0.6169154228855721	0.8233756120498172	1.0	4.76837158203125e-07	4.76837158203125e-07	0.3701298701298701	0.0986265069357616
ALL	65	63	1.306901513041864	13.65262946607788	0.4797687861271676	0.5859375	0.6329743164871583	0.7464548653218389	1.0	2.58419740681613e-12	2.58419740681613e-12	-0.25446428571428575	0.044160510829611886
