dataset,gene,immune_signature,n,spearman_raw,p_raw,partial_epi,p_partial_epi,partial_leuk,p_partial_leuk,epithelial_genes_found,signature_genes_found
GSE126044,TACSTD2,CD8_Tcell,16,-0.19117647058823528,0.47816401281702847,0.07541537183320086,0.7893745903079761,-0.1475542654630358,0.5997327520727789,10,4
GSE126044,TACSTD2,NK_cell,16,-0.3970588235294118,0.12780600908826178,-0.13919062387862585,0.6207870455491625,-0.5221303479077876,0.04587436328731068,10,8
GSE126044,TACSTD2,Cytotoxic,16,-0.2058823529411765,0.4442846410521442,0.03849001794597515,0.8916728279179864,-0.23789777333925208,0.39321684279609037,10,7
GSE126044,TACSTD2,CD8_NK,16,-0.31176470588235294,0.23980004767411275,-0.054370336203915064,0.847391246463716,-0.40271776597849784,0.13667623111543004,10,12
GSE126044,CLDN4,CD8_Tcell,16,-0.5764705882352941,0.01941514038653161,-0.35425091576379186,0.19515312881173627,-0.3164889028223881,0.2504457015928354,10,4
GSE126044,CLDN4,NK_cell,16,-0.5558823529411765,0.025362176320607912,-0.21842573437982749,0.4341654858937183,-0.26710051453135336,0.3358631011127347,10,8
GSE126044,CLDN4,Cytotoxic,16,-0.5176470588235293,0.04000179295956071,-0.2838427975759606,0.30525325972890116,-0.10816144278338219,0.7012049876912654,10,7
GSE126044,CLDN4,CD8_NK,16,-0.5411764705882353,0.030400218888170166,-0.25244031204087775,0.3640346167473937,-0.21835586737458024,0.4343161846719981,10,12
GSE166449,TACSTD2,CD8_Tcell,22,-0.07848673066064371,0.7284539754065,-0.06339687692204682,0.7848487120094275,-0.28342859321221026,0.21312230022627018,10,4
GSE166449,TACSTD2,NK_cell,22,0.189158667419537,0.3991761294159499,0.0907519140883511,0.6956338950521641,0.17822629367412351,0.43955566237747223,10,8
GSE166449,TACSTD2,Cytotoxic,22,0.17108977978543197,0.4464902890766695,0.09300753123698764,0.6884298971251167,0.14346489111405852,0.5349915461006717,10,7
GSE166449,TACSTD2,CD8_NK,22,0.09655561829474874,0.6690506468846464,0.04629404564052633,0.8420579378797134,0.014680441585310431,0.9496407718101892,10,12
