n_high,n_low,median_high,median_low,auc_high_gt_low,rank_biserial,p_two_sided,p_one_sided_greater,dataset,gene,measure,hypothesis
11,5,6.288184233072098,6.168039700600696,0.6363636363636364,0.2727272727272727,0.440934065934066,0.220467032967033,GSE126044,TACSTD2,raw_log_expr,NR > R
11,5,-0.07888134088187052,0.35685153002061465,0.4727272727272727,-0.054545454545454564,0.9130036630036632,0.5865384615384613,GSE126044,TACSTD2,tumor_intrinsic,NR > R
11,5,3.7711716113053324,2.542294564145926,0.7636363636363637,0.5272727272727273,0.11492673992673993,0.05746336996336997,GSE126044,CLDN4,raw_log_expr,NR > R
11,5,0.3456694532877259,-0.09438856900843406,0.6727272727272727,0.34545454545454546,0.3195970695970696,0.1597985347985348,GSE126044,CLDN4,tumor_intrinsic,NR > R
15,7,1.7805740834843327,2.1197704230813343,0.38095238095238093,-0.23809523809523814,0.4068627450980391,0.8157953372736655,GSE166449,TACSTD2,raw_log_expr,NR > R
15,7,0.12612800025363874,0.20788858451617642,0.34285714285714286,-0.3142857142857143,0.2665939581574256,0.8814030396847734,GSE166449,TACSTD2,tumor_intrinsic,NR > R
15,7,1.3282401491644622,1.2081052560568217,0.4857142857142857,-0.02857142857142858,0.9452106201332205,0.5546721080776809,GSE166449,CLDN4,raw_log_expr,NR > R
15,7,0.0025216061326029937,0.3200435961703185,0.37142857142857144,-0.2571428571428571,0.368409325452669,0.8339021015104607,GSE166449,CLDN4,tumor_intrinsic,NR > R
15,9,6.22219707106702,4.9991896090022,0.6222222222222222,0.24444444444444446,0.3400554635028641,0.17002773175143204,GSE207422,TACSTD2,raw_log_expr,NR > R
15,9,-0.1849298579168851,-0.19621746194346204,0.5333333333333333,0.06666666666666665,0.8114825221108789,0.40574126105543945,GSE207422,TACSTD2,tumor_intrinsic,NR > R
15,9,6.27200773153137,5.8539397241997,0.6444444444444445,0.288888888888889,0.2572389851810263,0.12861949259051314,GSE207422,CLDN4,raw_log_expr,NR > R
15,9,-0.018126566046246628,0.06632648065838492,0.4222222222222222,-0.15555555555555556,0.5509849875850934,0.7440600363314757,GSE207422,CLDN4,tumor_intrinsic,NR > R
