dataset,gene,unit,n,n_events,cox_HR_per_log2unit,cox_CI_low,cox_CI_high,cox_p,logrank_median_split_p,n_high,n_low,cox_p_fdr_bh
GSE135222,TACSTD2,log2(TPM+1),27,21,1.0346659738348483,0.8180462621221966,1.308646866296301,0.7761590515627184,0.42965018365532537,14,13,0.8870389160716782
GSE135222,CLDN4,log2(TPM+1),27,21,1.050290401564358,0.8707701842073682,1.2668209679484408,0.6079130783877547,0.7037329973945263,14,13,0.8105507711836729
