dataset,sample,gene,value,unit,group
GSE126044,Dis_01,TACSTD2,5.894870122133453,log2CPM,non-responder
GSE126044,Dis_02,TACSTD2,6.5039387875614265,log2CPM,responder
GSE126044,Dis_11,TACSTD2,6.701533704863754,log2CPM,non-responder
GSE126044,Dis_12,TACSTD2,7.73481306351147,log2CPM,non-responder
GSE126044,Dis_15,TACSTD2,6.168039700600696,log2CPM,responder
GSE126044,Dis_04,TACSTD2,2.7367646274263007,log2CPM,responder
GSE126044,Dis_16,TACSTD2,7.34496228361644,log2CPM,non-responder
GSE126044,Dis_17,TACSTD2,7.057927469699105,log2CPM,responder
GSE126044,Dis_03,TACSTD2,4.804849444980113,log2CPM,non-responder
GSE126044,Dis_07,TACSTD2,5.046655718802534,log2CPM,non-responder
GSE126044,Dis_10,TACSTD2,2.4671526047401064,log2CPM,responder
GSE126044,Dis_18,TACSTD2,6.351986126558794,log2CPM,non-responder
GSE126044,Dis_09,TACSTD2,7.324444274964089,log2CPM,non-responder
GSE126044,Dis_05,TACSTD2,5.547769285093614,log2CPM,non-responder
GSE126044,Dis_06,TACSTD2,6.288184233072098,log2CPM,non-responder
GSE126044,Dis_08,TACSTD2,4.399547878062959,log2CPM,non-responder
GSE126044,Dis_01,CLDN4,4.579189039776108,log2CPM,non-responder
GSE126044,Dis_02,CLDN4,2.542294564145926,log2CPM,responder
GSE126044,Dis_11,CLDN4,3.76527859609096,log2CPM,non-responder
GSE126044,Dis_12,CLDN4,4.685879548620477,log2CPM,non-responder
GSE126044,Dis_15,CLDN4,3.1046438766253734,log2CPM,responder
GSE126044,Dis_04,CLDN4,1.1877588997990343,log2CPM,responder
GSE126044,Dis_16,CLDN4,3.7711716113053324,log2CPM,non-responder
GSE126044,Dis_17,CLDN4,4.197060802381897,log2CPM,responder
GSE126044,Dis_03,CLDN4,1.02615763032641,log2CPM,non-responder
GSE126044,Dis_07,CLDN4,1.2843560745688536,log2CPM,non-responder
GSE126044,Dis_10,CLDN4,0.12631917148644894,log2CPM,responder
GSE126044,Dis_18,CLDN4,4.088655510227215,log2CPM,non-responder
GSE126044,Dis_09,CLDN4,3.021683271066215,log2CPM,non-responder
GSE126044,Dis_05,CLDN4,3.751410380730088,log2CPM,non-responder
GSE126044,Dis_06,CLDN4,4.216045269153498,log2CPM,non-responder
GSE126044,Dis_08,CLDN4,4.278800262927154,log2CPM,non-responder
GSE166449,SMC_IO_C001,TACSTD2,0.3368939395607091,log2(TPM+1),responder
GSE166449,SMC_IO_C002,TACSTD2,2.1478351428286917,log2(TPM+1),responder
GSE166449,SMC_IO_C003,TACSTD2,2.688757588955413,log2(TPM+1),responder
GSE166449,SMC_IO_C004,TACSTD2,1.9326747372787934,log2(TPM+1),responder
GSE166449,SMC_IO_C005,TACSTD2,2.6651772682768313,log2(TPM+1),responder
GSE166449,SMC_IO_C006,TACSTD2,1.7715203310321421,log2(TPM+1),responder
GSE166449,SMC_IO_C007,TACSTD2,2.1197704230813343,log2(TPM+1),responder
GSE166449,SMC_IO_C008,TACSTD2,2.4662535269773125,log2(TPM+1),non-responder
GSE166449,SMC_IO_C009,TACSTD2,1.7703750258914284,log2(TPM+1),non-responder
GSE166449,SMC_IO_C010,TACSTD2,1.799197212885505,log2(TPM+1),non-responder
GSE166449,SMC_IO_C011,TACSTD2,2.4770098963663183,log2(TPM+1),non-responder
GSE166449,SMC_IO_C012,TACSTD2,1.750423179724393,log2(TPM+1),non-responder
GSE166449,SMC_IO_C013,TACSTD2,1.7088640054270388,log2(TPM+1),non-responder
GSE166449,SMC_IO_C014,TACSTD2,2.5889449592643916,log2(TPM+1),non-responder
GSE166449,SMC_IO_C015,TACSTD2,2.2266085152349735,log2(TPM+1),non-responder
GSE166449,SMC_IO_C016,TACSTD2,1.4039017454648874,log2(TPM+1),non-responder
GSE166449,SMC_IO_C017,TACSTD2,2.1652452765921235,log2(TPM+1),non-responder
GSE166449,SMC_IO_C018,TACSTD2,1.5199929412013944,log2(TPM+1),non-responder
GSE166449,SMC_IO_C019,TACSTD2,2.4154488619055323,log2(TPM+1),non-responder
GSE166449,SMC_IO_C020,TACSTD2,0.1164502841304022,log2(TPM+1),non-responder
GSE166449,SMC_IO_C021,TACSTD2,1.7805740834843327,log2(TPM+1),non-responder
GSE166449,SMC_IO_C022,TACSTD2,0.5402017843050921,log2(TPM+1),non-responder
GSE166449,SMC_IO_C001,CLDN4,0.32303747413641876,log2(TPM+1),responder
GSE166449,SMC_IO_C002,CLDN4,1.1547831387914207,log2(TPM+1),responder
GSE166449,SMC_IO_C003,CLDN4,2.047615490887117,log2(TPM+1),responder
GSE166449,SMC_IO_C004,CLDN4,1.1218925400232618,log2(TPM+1),responder
GSE166449,SMC_IO_C005,CLDN4,1.2081052560568217,log2(TPM+1),responder
GSE166449,SMC_IO_C006,CLDN4,1.351006719633948,log2(TPM+1),responder
GSE166449,SMC_IO_C007,CLDN4,1.6420154763970698,log2(TPM+1),responder
GSE166449,SMC_IO_C008,CLDN4,1.6465916544811832,log2(TPM+1),non-responder
GSE166449,SMC_IO_C009,CLDN4,0.48598105523060087,log2(TPM+1),non-responder
GSE166449,SMC_IO_C010,CLDN4,0.5296776956384297,log2(TPM+1),non-responder
GSE166449,SMC_IO_C011,CLDN4,1.5600305377889552,log2(TPM+1),non-responder
GSE166449,SMC_IO_C012,CLDN4,1.364747411173061,log2(TPM+1),non-responder
GSE166449,SMC_IO_C013,CLDN4,1.6200327941366097,log2(TPM+1),non-responder
GSE166449,SMC_IO_C014,CLDN4,2.02819829704289,log2(TPM+1),non-responder
GSE166449,SMC_IO_C015,CLDN4,1.3728203482074384,log2(TPM+1),non-responder
GSE166449,SMC_IO_C016,CLDN4,0.3638788170283369,log2(TPM+1),non-responder
GSE166449,SMC_IO_C017,CLDN4,0.8669074721087622,log2(TPM+1),non-responder
GSE166449,SMC_IO_C018,CLDN4,1.3937494251603295,log2(TPM+1),non-responder
GSE166449,SMC_IO_C019,CLDN4,1.077947977971153,log2(TPM+1),non-responder
GSE166449,SMC_IO_C020,CLDN4,1.2983249433213304,log2(TPM+1),non-responder
GSE166449,SMC_IO_C021,CLDN4,1.3282401491644622,log2(TPM+1),non-responder
GSE166449,SMC_IO_C022,CLDN4,0.9788206530958329,log2(TPM+1),non-responder
GSE207422,R20027161LR01,TACSTD2,8.38277855849438,log2TPM,non-responder
GSE207422,R20028573LR01,TACSTD2,0.315086218173547,log2TPM,non-responder
GSE207422,R20052328LR01,TACSTD2,7.10680089156827,log2TPM,non-responder
GSE207422,R20030544LR01,TACSTD2,7.92125247116428,log2TPM,responder
GSE207422,R20031593LR01,TACSTD2,1.50410169161238,log2TPM,responder
GSE207422,R20035974LR01,TACSTD2,6.15032828661551,log2TPM,non-responder
GSE207422,R20041445LR01,TACSTD2,2.82464709746739,log2TPM,responder
GSE207422,R20052336LR01,TACSTD2,4.95137634505117,log2TPM,responder
GSE207422,R20059498LR01,TACSTD2,6.22219707106702,log2TPM,non-responder
GSE207422,R20059499LR01,TACSTD2,6.05187623902491,log2TPM,non-responder
GSE207422,R20059506LR01,TACSTD2,6.6741813198676,log2TPM,non-responder
GSE207422,R20059511LR01,TACSTD2,3.75725254423446,log2TPM,non-responder
GSE207422,R20073124LR01,TACSTD2,5.60039872548956,log2TPM,responder
GSE207422,R20073125LR01,TACSTD2,4.9991896090022,log2TPM,responder
GSE207422,R20073128LR02,TACSTD2,7.7721603284611,log2TPM,responder
GSE207422,R20073704LR03,TACSTD2,8.82916519536962,log2TPM,non-responder
GSE207422,R20073708LR01,TACSTD2,6.78473179402388,log2TPM,non-responder
GSE207422,R20073752LR01,TACSTD2,3.47476153771991,log2TPM,non-responder
GSE207422,R21008693LR01,TACSTD2,3.44210323787044,log2TPM,non-responder
GSE207422,R21008694LR01,TACSTD2,5.75479794542503,log2TPM,non-responder
GSE207422,R21008707LR01,TACSTD2,7.16549872244666,log2TPM,responder
GSE207422,R21017092LR01,TACSTD2,8.12932958432833,log2TPM,non-responder
GSE207422,R21017102LR01,TACSTD2,8.86565689413185,log2TPM,non-responder
GSE207422,R21025078LR01,TACSTD2,4.8311254559415,log2TPM,responder
GSE207422,R20027161LR01,CLDN4,6.64451855211802,log2TPM,non-responder
GSE207422,R20028573LR01,CLDN4,0.158989711938759,log2TPM,non-responder
GSE207422,R20052328LR01,CLDN4,6.49288548811204,log2TPM,non-responder
GSE207422,R20030544LR01,CLDN4,6.02787813736218,log2TPM,responder
GSE207422,R20031593LR01,CLDN4,1.21022301356404,log2TPM,responder
GSE207422,R20035974LR01,CLDN4,4.5913772881197,log2TPM,non-responder
GSE207422,R20041445LR01,CLDN4,2.81095880341949,log2TPM,responder
GSE207422,R20052336LR01,CLDN4,5.87414829572585,log2TPM,responder
GSE207422,R20059498LR01,CLDN4,6.77912651711466,log2TPM,non-responder
GSE207422,R20059499LR01,CLDN4,6.04956159336923,log2TPM,non-responder
GSE207422,R20059506LR01,CLDN4,6.27200773153137,log2TPM,non-responder
GSE207422,R20059511LR01,CLDN4,0.879806908204406,log2TPM,non-responder
GSE207422,R20073124LR01,CLDN4,5.14672803923879,log2TPM,responder
GSE207422,R20073125LR01,CLDN4,4.74126904045576,log2TPM,responder
GSE207422,R20073128LR02,CLDN4,6.90845169649995,log2TPM,responder
GSE207422,R20073704LR03,CLDN4,6.66932828788523,log2TPM,non-responder
GSE207422,R20073708LR01,CLDN4,7.60951796249724,log2TPM,non-responder
GSE207422,R20073752LR01,CLDN4,3.21401473347193,log2TPM,non-responder
GSE207422,R21008693LR01,CLDN4,1.79854329090446,log2TPM,non-responder
GSE207422,R21008694LR01,CLDN4,6.1300500588338,log2TPM,non-responder
GSE207422,R21008707LR01,CLDN4,5.89270180335448,log2TPM,responder
GSE207422,R21017092LR01,CLDN4,6.45391485826456,log2TPM,non-responder
GSE207422,R21017102LR01,CLDN4,7.79659487301582,log2TPM,non-responder
GSE207422,R21025078LR01,CLDN4,5.8539397241997,log2TPM,responder
GSE135222,NSCLC378,TACSTD2,6.861086905995394,log2(TPM+1),PFSevent=0
GSE135222,NSCLC1104,TACSTD2,8.429532278767628,log2(TPM+1),PFSevent=1
GSE135222,NSCLC947,TACSTD2,4.3348542693316325,log2(TPM+1),PFSevent=0
GSE135222,NSCLC990,TACSTD2,0.6040713236688608,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1203,TACSTD2,6.403438163008279,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1327,TACSTD2,7.576673292516575,log2(TPM+1),PFSevent=0
GSE135222,NSCLC1401,TACSTD2,3.2078928516413328,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1155,TACSTD2,8.804486003132515,log2(TPM+1),PFSevent=1
GSE135222,NSCLC573,TACSTD2,5.578938713093386,log2(TPM+1),PFSevent=1
GSE135222,NSCLC825,TACSTD2,8.069046911268172,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1528,TACSTD2,7.341274183692174,log2(TPM+1),PFSevent=0
GSE135222,NSCLC1508,TACSTD2,8.684713560577862,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1708,TACSTD2,8.50834941622587,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1352,TACSTD2,8.227519680316778,log2(TPM+1),PFSevent=0
GSE135222,NSCLC1066,TACSTD2,8.356363931224907,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1017,TACSTD2,6.22573765346606,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1358,TACSTD2,7.603181229013857,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1510,TACSTD2,6.5049381316496095,log2(TPM+1),PFSevent=0
GSE135222,NSCLC1164,TACSTD2,6.750472518762509,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1412,TACSTD2,8.225496670112252,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1145,TACSTD2,5.97338167497138,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1425,TACSTD2,8.942309229246362,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1554,TACSTD2,8.191059214531656,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1619,TACSTD2,5.439290681042018,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1809,TACSTD2,7.825340439545006,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1873,TACSTD2,4.560714954474479,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1079,TACSTD2,7.904183003245026,log2(TPM+1),PFSevent=1
GSE135222,NSCLC378,CLDN4,7.875657212551882,log2(TPM+1),PFSevent=0
GSE135222,NSCLC1104,CLDN4,8.204473331100186,log2(TPM+1),PFSevent=1
GSE135222,NSCLC947,CLDN4,1.1505596765753812,log2(TPM+1),PFSevent=0
GSE135222,NSCLC990,CLDN4,0.16349873228287956,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1203,CLDN4,7.651123465266199,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1327,CLDN4,7.689369056858228,log2(TPM+1),PFSevent=0
GSE135222,NSCLC1401,CLDN4,2.1667154449664223,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1155,CLDN4,6.915998851738901,log2(TPM+1),PFSevent=1
GSE135222,NSCLC573,CLDN4,3.554588851677637,log2(TPM+1),PFSevent=1
GSE135222,NSCLC825,CLDN4,8.89666541154852,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1528,CLDN4,7.20633064787105,log2(TPM+1),PFSevent=0
GSE135222,NSCLC1508,CLDN4,7.8203066288938246,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1708,CLDN4,6.7311832415722,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1352,CLDN4,6.428443926153613,log2(TPM+1),PFSevent=0
GSE135222,NSCLC1066,CLDN4,7.018589667805939,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1017,CLDN4,5.360715425392931,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1358,CLDN4,8.27206985934139,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1510,CLDN4,8.890841847500003,log2(TPM+1),PFSevent=0
GSE135222,NSCLC1164,CLDN4,8.776992235700709,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1412,CLDN4,8.836902461486945,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1145,CLDN4,7.913308315438674,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1425,CLDN4,7.6824328412270475,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1554,CLDN4,6.993900755637419,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1619,CLDN4,5.9071310247467945,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1809,CLDN4,9.047369340298761,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1873,CLDN4,7.23429054170594,log2(TPM+1),PFSevent=1
GSE135222,NSCLC1079,CLDN4,4.857483428286672,log2(TPM+1),PFSevent=1
