dataset,gene,measure,n,n_NR,n_R,spearman_vs_NR,p,endpoint,note
GSE126044,TACSTD2,raw,16,11,5,0.2193817272381392,0.4142938543203427,binary responder/non-responder,positive rho => higher expr in NR
GSE126044,TACSTD2,partial_epi,16,11,5,0.05761610809668162,0.8383883265196806,binary responder/non-responder,positive rho => higher expr in NR
GSE126044,TACSTD2,partial_leuk,16,11,5,0.16864713284914928,0.5479518690773104,binary responder/non-responder,positive rho => higher expr in NR
GSE126044,TACSTD2,resid_epithelial,16,11,5,-0.19013083027305397,0.48061960759846534,binary responder/non-responder,positive rho => higher expr in NR
GSE126044,TACSTD2,resid_leukocyte,16,11,5,0.07312724241271305,0.7878211152427436,binary responder/non-responder,positive rho => higher expr in NR
GSE126044,CLDN4,raw,16,11,5,0.42413800599373574,0.10156528811170308,binary responder/non-responder,positive rho => higher expr in NR
GSE126044,CLDN4,partial_epi,16,11,5,0.2591687534316149,0.3509479550812484,binary responder/non-responder,positive rho => higher expr in NR
GSE126044,CLDN4,partial_leuk,16,11,5,0.05056258342307274,0.8579752440338319,binary responder/non-responder,positive rho => higher expr in NR
GSE126044,CLDN4,resid_epithelial,16,11,5,0.2778835211683096,0.29737720112071514,binary responder/non-responder,positive rho => higher expr in NR
GSE126044,CLDN4,resid_leukocyte,16,11,5,0.10237813937779829,0.7059598561700697,binary responder/non-responder,positive rho => higher expr in NR
GSE166449,TACSTD2,raw,22,15,7,-0.19227925073505914,0.3912976786279109,binary responder/non-responder,positive rho => higher expr in NR
GSE166449,TACSTD2,partial_epi,22,15,7,-0.22535184923398863,0.32601718356805104,binary responder/non-responder,positive rho => higher expr in NR
GSE166449,TACSTD2,partial_leuk,22,15,7,-0.16812334691578965,0.46632486451478344,binary responder/non-responder,positive rho => higher expr in NR
GSE166449,TACSTD2,resid_epithelial,22,15,7,-0.20766159079386387,0.35375601367374404,binary responder/non-responder,positive rho => higher expr in NR
GSE166449,TACSTD2,resid_leukocyte,22,15,7,-0.1307498904998402,0.5619331849898298,binary responder/non-responder,positive rho => higher expr in NR
GSE166449,CLDN4,raw,22,15,7,-0.023073510088207093,0.9188200097099768,binary responder/non-responder,positive rho => higher expr in NR
