Samples,geneID,value,cell_line,Responder,Baseline,GSE_ID,cytokines,count,pvalue,label,cell
MOC1plusifng_696_LZ5733_S4_R1_001,Cldn3,7.2569962345704,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.062379338782071,NA,MOC1
MOC1e2plusifng_665_LZ5733_S16_R1_001,Cldn3,7.23895131209949,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.062379338782071,NA,MOC1
MOC1e2plusifng_798_LZ5733_S18_R1_001,Cldn3,7.22407290972897,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.062379338782071,NA,MOC1
MOC1plusifng_660_LZ5733_S6_R1_001,Cldn3,7.11360572335444,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.062379338782071,NA,MOC1
MOC1e2plusifng_900_LZ5733_S17_R1_001,Cldn3,6.98418841818999,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.062379338782071,NA,MOC1
MOC1plusifng_587_LZ5733_S5_R1_001,Cldn3,6.79781096186828,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.062379338782071,NA,MOC1
MOC1e1plusifng_408_LZ5733_S12_R1_001,Cldn3,6.56714138230319,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.062379338782071,NA,MOC1
MOC1e1plusifng_643_LZ5733_S11_R1_001,Cldn3,6.34523939711706,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.062379338782071,NA,MOC1
MOC1e1plusifng_600__LZ5733_S10_R1_001,Cldn3,6.1660848711365,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.062379338782071,NA,MOC1
MOC1_ifng_1021_LZ5733_S2_R1_001,Cldn3,6.23104376392193,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1_ifng_480_LZ5733_S3_R1_001,Cldn3,6.57130072291758,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1_ifng_510_LZ5733_S1_R1_001,Cldn3,6.28563595351606,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_514_LZ5733_S8_R1_001,Cldn3,5.40431622689454,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_588_LZ5733_S9_R1_001,Cldn3,5.92080091757986,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_600__LZ5733_S7_R1_001,Cldn3,5.91460728709644,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
