Samples,geneID,value,cell_line,Responder,Baseline,GSE_ID,cytokines,count,pvalue,label,cell
MOC1plusifng_696_LZ5733_S4_R1_001,Tacstd2,7.40459215563976,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.519320281026181,NA,MOC1
MOC1e2plusifng_798_LZ5733_S18_R1_001,Tacstd2,7.27305133089119,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.519320281026181,NA,MOC1
MOC1plusifng_660_LZ5733_S6_R1_001,Tacstd2,7.26596896612954,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.519320281026181,NA,MOC1
MOC1plusifng_587_LZ5733_S5_R1_001,Tacstd2,7.22537260582583,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.519320281026181,NA,MOC1
MOC1e2plusifng_665_LZ5733_S16_R1_001,Tacstd2,7.2148633270694,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.519320281026181,NA,MOC1
MOC1e2plusifng_900_LZ5733_S17_R1_001,Tacstd2,7.20484775328174,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.519320281026181,NA,MOC1
MOC1e1plusifng_408_LZ5733_S12_R1_001,Tacstd2,6.64184316418697,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.519320281026181,NA,MOC1
MOC1e1plusifng_643_LZ5733_S11_R1_001,Tacstd2,6.58313373304968,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.519320281026181,NA,MOC1
MOC1e1plusifng_600__LZ5733_S10_R1_001,Tacstd2,6.52574028562848,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.519320281026181,NA,MOC1
MOC1_ifng_1021_LZ5733_S2_R1_001,Tacstd2,7.06174522682479,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1_ifng_480_LZ5733_S3_R1_001,Tacstd2,7.01237186494521,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1_ifng_510_LZ5733_S1_R1_001,Tacstd2,7.10374713135534,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
