Samples,geneID,value,cell_line,Responder,Baseline,GSE_ID,cytokines,count,pvalue,label,cell
MOC1e2plusifng_798_LZ5733_S18_R1_001,Cldn7,8.7954817768412,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.039123539585974,*,MOC1
MOC1e2plusifng_900_LZ5733_S17_R1_001,Cldn7,8.78005996493902,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.039123539585974,NA,MOC1
MOC1plusifng_660_LZ5733_S6_R1_001,Cldn7,8.74191342132328,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.039123539585974,NA,MOC1
MOC1plusifng_696_LZ5733_S4_R1_001,Cldn7,8.71639582112902,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.039123539585974,NA,MOC1
MOC1e2plusifng_665_LZ5733_S16_R1_001,Cldn7,8.70759235697999,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.039123539585974,NA,MOC1
MOC1plusifng_587_LZ5733_S5_R1_001,Cldn7,8.65796423220194,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.039123539585974,NA,MOC1
MOC1e1plusifng_408_LZ5733_S12_R1_001,Cldn7,7.79459013598466,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.039123539585974,NA,MOC1
MOC1e1plusifng_643_LZ5733_S11_R1_001,Cldn7,7.7855289870012,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.039123539585974,NA,MOC1
MOC1e1plusifng_600__LZ5733_S10_R1_001,Cldn7,7.78514539728122,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.039123539585974,NA,MOC1
MOC1_ifng_1021_LZ5733_S2_R1_001,Cldn7,7.93882092730769,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1_ifng_480_LZ5733_S3_R1_001,Cldn7,7.93627415144501,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1_ifng_510_LZ5733_S1_R1_001,Cldn7,7.81454968647721,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_514_LZ5733_S8_R1_001,Cldn7,7.40643854789166,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_588_LZ5733_S9_R1_001,Cldn7,7.38778302433081,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_600__LZ5733_S7_R1_001,Cldn7,7.24933393941344,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e2_ifng_431_LZ5733_S14_R1_001,Cldn7,8.51883665245236,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e2_ifng_613_LZ5733_S13_R1_001,Cldn7,8.50721908825906,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e2_ifng_682_LZ5733_S15_R1_001,Cldn7,8.3981392150246,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
Manguso_C38_clone3_IFNg_rep1_c10,Cldn7,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,1,NA,MC38
Manguso_C38_clone3_IFNg_rep2_c11,Cldn7,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,1,NA,MC38
Manguso_C38_clone3_IFNg_rep3_c12,Cldn7,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,1,NA,MC38
Manguso_C38_clone4_IFNg_rep1_e10,Cldn7,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,1,NA,MC38
Manguso_C38_clone4_IFNg_rep2_e11,Cldn7,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,1,NA,MC38
Manguso_C38_clone4_IFNg_rep3_e12,Cldn7,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,1,NA,MC38
Manguso_C38_clone7_IFNg_rep1_g10,Cldn7,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,1,NA,MC38
Manguso_C38_clone7_IFNg_rep2_g11,Cldn7,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,1,NA,MC38
Manguso_C38_clone7_IFNg_rep3_g12,Cldn7,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,1,NA,MC38
