Samples,geneID,value,cell_line,Responder,Baseline,GSE_ID,cytokines,count,pvalue,label,cell
MOC1plusifng_696_LZ5733_S4_R1_001,F11r,6.64826642597183,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.325621555046229,NA,MOC1
MOC1plusifng_660_LZ5733_S6_R1_001,F11r,6.63798740325314,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.325621555046229,NA,MOC1
MOC1plusifng_587_LZ5733_S5_R1_001,F11r,6.62195872234424,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.325621555046229,NA,MOC1
MOC1e2plusifng_900_LZ5733_S17_R1_001,F11r,6.53590419238166,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.325621555046229,NA,MOC1
MOC1e2plusifng_798_LZ5733_S18_R1_001,F11r,6.47467895434476,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.325621555046229,NA,MOC1
MOC1e2plusifng_665_LZ5733_S16_R1_001,F11r,6.33989958799539,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.325621555046229,NA,MOC1
MOC1e1plusifng_643_LZ5733_S11_R1_001,F11r,6.09737052407504,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.325621555046229,NA,MOC1
MOC1e1plusifng_600__LZ5733_S10_R1_001,F11r,6.0827990126975,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.325621555046229,NA,MOC1
MOC1e1plusifng_408_LZ5733_S12_R1_001,F11r,5.9916371436968,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.325621555046229,NA,MOC1
MOC1_ifng_1021_LZ5733_S2_R1_001,F11r,6.46082609616593,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1_ifng_480_LZ5733_S3_R1_001,F11r,6.31096812707361,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1_ifng_510_LZ5733_S1_R1_001,F11r,6.44582357158824,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_514_LZ5733_S8_R1_001,F11r,6.15349794039644,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
