Samples,geneID,value,cell_line,Responder,Baseline,GSE_ID,cytokines,count,pvalue,label,cell
MOC1e2plusifng_900_LZ5733_S17_R1_001,Ocln,4.89639857561969,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.447124482883526,NA,MOC1
MOC1plusifng_587_LZ5733_S5_R1_001,Ocln,4.75405648425794,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.447124482883526,NA,MOC1
MOC1plusifng_660_LZ5733_S6_R1_001,Ocln,4.71182261449977,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.447124482883526,NA,MOC1
MOC1plusifng_696_LZ5733_S4_R1_001,Ocln,4.65080280840672,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.447124482883526,NA,MOC1
MOC1e2plusifng_665_LZ5733_S16_R1_001,Ocln,4.47291843612848,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.447124482883526,NA,MOC1
MOC1e1plusifng_643_LZ5733_S11_R1_001,Ocln,4.0734906203548,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.447124482883526,NA,MOC1
MOC1e2plusifng_798_LZ5733_S18_R1_001,Ocln,4.00984921515608,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.447124482883526,NA,MOC1
MOC1e1plusifng_600__LZ5733_S10_R1_001,Ocln,3.45437911985148,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.447124482883526,NA,MOC1
MOC1e1plusifng_408_LZ5733_S12_R1_001,Ocln,3.39228733196839,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.447124482883526,NA,MOC1
MOC1_ifng_1021_LZ5733_S2_R1_001,Ocln,4.67065336018511,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1_ifng_480_LZ5733_S3_R1_001,Ocln,3.5395045200827,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1_ifng_510_LZ5733_S1_R1_001,Ocln,4.30451476536016,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_514_LZ5733_S8_R1_001,Ocln,3.68019403575865,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_588_LZ5733_S9_R1_001,Ocln,3.93366063242158,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_600__LZ5733_S7_R1_001,Ocln,3.85892281724968,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e2_ifng_431_LZ5733_S14_R1_001,Ocln,3.86950565340137,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e2_ifng_613_LZ5733_S13_R1_001,Ocln,4.45648558041622,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e2_ifng_682_LZ5733_S15_R1_001,Ocln,4.48249440516251,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
Manguso_C38_parental_IFNg_rep2_a11,Ocln,0.406443359649893,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.296174869766355,NA,MC38
Manguso_C38_clone4_IFNg_rep3_e12,Ocln,0.148848173977564,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.296174869766355,NA,MC38
Manguso_C38_clone3_IFNg_rep3_c12,Ocln,0.110701443345109,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.296174869766355,NA,MC38
Manguso_C38_clone3_IFNg_rep2_c11,Ocln,0.103490024689201,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.296174869766355,NA,MC38
Manguso_C38_parental_IFNg_rep1_a10,Ocln,0.0910109720010389,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.296174869766355,NA,MC38
Manguso_C38_clone7_IFNg_rep3_g12,Ocln,0.047314492275587,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.296174869766355,NA,MC38
Manguso_C38_clone4_IFNg_rep1_e10,Ocln,0.037322225426256,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.296174869766355,NA,MC38
Manguso_C38_clone3_IFNg_rep1_c10,Ocln,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.296174869766355,NA,MC38
Manguso_C38_clone4_IFNg_rep2_e11,Ocln,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.296174869766355,NA,MC38
Manguso_C38_clone7_IFNg_rep1_g10,Ocln,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.296174869766355,NA,MC38
Manguso_C38_clone7_IFNg_rep2_g11,Ocln,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.296174869766355,NA,MC38
Manguso_C38_parental_IFNg_rep3_a12,Ocln,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.296174869766355,NA,MC38
Manguso_C38_clone3_NS_rep1_c07,Ocln,0,MC38_RTM28723893(n=24),no,1,RTM28723893,Baseline,24,NA,NA,MC38
Manguso_C38_clone3_NS_rep2_c08,Ocln,0,MC38_RTM28723893(n=24),no,1,RTM28723893,Baseline,24,NA,NA,MC38
Manguso_C38_clone3_NS_rep3_c09,Ocln,0,MC38_RTM28723893(n=24),no,1,RTM28723893,Baseline,24,NA,NA,MC38
Manguso_C38_clone4_NS_rep1_e07,Ocln,0,MC38_RTM28723893(n=24),no,1,RTM28723893,Baseline,24,NA,NA,MC38
Manguso_C38_clone4_NS_rep2_e08,Ocln,0,MC38_RTM28723893(n=24),no,1,RTM28723893,Baseline,24,NA,NA,MC38
Manguso_C38_clone4_NS_rep3_e09,Ocln,0.125163302611672,MC38_RTM28723893(n=24),no,1,RTM28723893,Baseline,24,NA,NA,MC38
Manguso_C38_clone7_NS_rep1_g07,Ocln,0.168353389690282,MC38_RTM28723893(n=24),no,1,RTM28723893,Baseline,24,NA,NA,MC38
Manguso_C38_clone7_NS_rep2_g08,Ocln,0,MC38_RTM28723893(n=24),no,1,RTM28723893,Baseline,24,NA,NA,MC38
Manguso_C38_clone7_NS_rep3_g09,Ocln,0,MC38_RTM28723893(n=24),no,1,RTM28723893,Baseline,24,NA,NA,MC38
Manguso_C38_parental_NS_rep1_a07,Ocln,0.0533608392989646,MC38_RTM28723893(n=24),no,1,RTM28723893,Baseline,24,NA,NA,MC38
Manguso_C38_parental_NS_rep2_a08,Ocln,0.108411082060022,MC38_RTM28723893(n=24),no,1,RTM28723893,Baseline,24,NA,NA,MC38
Manguso_C38_parental_NS_rep3_a09,Ocln,0,MC38_RTM28723893(n=24),no,1,RTM28723893,Baseline,24,NA,NA,MC38
Manguso_LLC_clone7_IFNg_rep2_b05,Ocln,3.03997385121674,LLC_RTM28723893(n=20),no,0,RTM28723893,IFNg,20,0.117528234260661,NA,LLC
Manguso_LLC_clone7_IFNg_rep3_b06,Ocln,2.70327600700723,LLC_RTM28723893(n=20),no,0,RTM28723893,IFNg,20,0.117528234260661,NA,LLC
Manguso_LLC_clone7_IFNg_rep1_b04,Ocln,2.65201529056521,LLC_RTM28723893(n=20),no,0,RTM28723893,IFNg,20,0.117528234260661,NA,LLC
