Samples,geneID,value,cell_line,Responder,Baseline,GSE_ID,cytokines,count,pvalue,label,cell
MOC1e1plusifng_408_LZ5733_S12_R1_001,Cdh1,7.243508925998,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.239922252343986,NA,MOC1
MOC1e1plusifng_600__LZ5733_S10_R1_001,Cdh1,7.21243195918398,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.239922252343986,NA,MOC1
MOC1e2plusifng_798_LZ5733_S18_R1_001,Cdh1,7.19766568234443,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.239922252343986,NA,MOC1
MOC1e1plusifng_643_LZ5733_S11_R1_001,Cdh1,7.16015472285376,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.239922252343986,NA,MOC1
MOC1e2plusifng_900_LZ5733_S17_R1_001,Cdh1,7.15505691859129,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.239922252343986,NA,MOC1
MOC1e2plusifng_665_LZ5733_S16_R1_001,Cdh1,7.15402675859136,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.239922252343986,NA,MOC1
MOC1plusifng_587_LZ5733_S5_R1_001,Cdh1,6.94170006767889,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.239922252343986,NA,MOC1
MOC1plusifng_696_LZ5733_S4_R1_001,Cdh1,6.88274469465028,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.239922252343986,NA,MOC1
MOC1plusifng_660_LZ5733_S6_R1_001,Cdh1,6.87391084267771,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.239922252343986,NA,MOC1
MOC1_ifng_1021_LZ5733_S2_R1_001,Cdh1,6.60802332155334,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1_ifng_480_LZ5733_S3_R1_001,Cdh1,6.63736829400075,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1_ifng_510_LZ5733_S1_R1_001,Cdh1,6.76423448861444,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_514_LZ5733_S8_R1_001,Cdh1,7.38430975177047,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_588_LZ5733_S9_R1_001,Cdh1,7.09574816420653,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_600__LZ5733_S7_R1_001,Cdh1,7.04364932162574,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e2_ifng_431_LZ5733_S14_R1_001,Cdh1,7.05226587371762,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e2_ifng_613_LZ5733_S13_R1_001,Cdh1,7.0504608952425,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e2_ifng_682_LZ5733_S15_R1_001,Cdh1,7.10498145071331,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
Manguso_C38_parental_IFNg_rep1_a10,Cdh1,0.452921537679621,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.146117109405051,NA,MC38
Manguso_C38_clone4_IFNg_rep1_e10,Cdh1,0.271177173987179,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.146117109405051,NA,MC38
