patient	cohort	unit	file	n_cells	n_malignant_summed	n_genes	libsize
TD1	GSE189357	patient	TD1_matrix.mtx	15216	2186	33514	14246106.0
TD2	GSE189357	patient	TD2_matrix.mtx	18064	1207	33514	6106078.0
TD3	GSE189357	patient	TD3_matrix.mtx	12658	664	33514	4809980.0
TD4	GSE189357	patient	TD4_matrix.mtx	11756	491	33514	3488167.0
TD5	GSE189357	patient	TD5_matrix.mtx	19079	1736	33514	8409277.0
TD6	GSE189357	patient	TD6_matrix.mtx	8999	1211	33514	13870894.0
TD7	GSE189357	patient	TD7_matrix.mtx	3507	849	33514	2977187.0
TD8	GSE189357	patient	TD8_matrix.mtx	15521	1019	33514	7563332.0
TD9	GSE189357	patient	TD9_matrix.mtx	17573	4889	33514	24414446.0
