sample	ESTIMATE_Score	ESTIMATE_ImmuneScore
GSM1854797	11619.84020283194	6189.31242969933
GSM1854798	10749.558261288028	6325.283494771558
GSM1854799	13136.764084546994	7282.295199843889
GSM1854800	10720.789850284194	6672.630678106004
GSM1854801	9295.981292321454	6521.329530625757
GSM1854802	9918.043014028804	5797.597806978684
GSM1854803	9643.21918934195	6618.300337530068
GSM1854804	11041.28067399903	6754.684248464701
GSM1854805	9986.921097886654	5295.20868254907
GSM1854806	10537.384386745598	5535.371024500582
GSM1854807	10137.861863165255	6066.976972739667
GSM1854808	12025.176332858446	6594.896342692243
GSM1854809	8743.461740568786	5211.725545142133
GSM1854810	12812.55207164856	7559.6525954135805
GSM1854811	8258.519738054752	4774.110746033522
GSM1854812	8423.593116698903	5072.301567021836
GSM1854813	10714.135151164575	6518.3750349372895
GSM1854814	8875.693140518193	5192.366679195385
GSM1854815	11717.335570551932	7118.92667009904
GSM1854816	10312.324199848135	6150.905943220938
GSM1854817	5178.572206248965	2844.554690764476
GSM1854818	12687.135167824308	7650.449372689034
GSM1854819	10756.438108096972	6752.584105919448
GSM1854820	14138.352196179929	8259.733508872314
GSM1854821	11131.269501365849	6443.928205967454
GSM1854822	6424.902740370517	3878.048739462118
GSM1854823	6460.868473529296	3658.365619119256
GSM1854824	12922.482332655898	7392.74996200046
GSM1854825	9807.28997785986	5673.67097389596
GSM1854826	11641.484085894615	6956.465371705524
GSM1854827	11115.08280489098	6354.213969040241
GSM1854828	10232.269033091365	5430.338045992117
GSM1854829	9981.248435502712	5949.576759772912
GSM1854830	7870.850038125673	3461.0169536235503
GSM1854831	6097.16313627118	3455.92199528013
GSM1854832	9163.286400886762	5800.5308884945935
GSM1854833	11784.298087475254	6902.851187842447
GSM1854834	11012.681651011822	6379.147281883768
GSM1854835	11570.805785968732	6699.0263526890185
GSM1854836	13656.893821886097	7123.549568325416
GSM1854837	8271.056246431759	4786.684706082935
GSM1854838	11647.38265060368	6214.203166571187
GSM1854839	10004.630261539454	5924.426420327771
GSM1854840	13210.730509609864	7676.614350600121
GSM1854841	6930.363610295587	4396.355303408612
GSM1854842	12292.95561030066	6590.792782799797
GSM1854843	11495.494028792493	6291.859940242344
GSM1854844	5676.183190375587	2952.9508312353823
GSM1854845	13218.249798506762	7142.381619972291
GSM1854846	8061.5096006643325	4484.65538764982
GSM1854847	13269.465028704712	6884.876637732696
GSM1854848	12285.5054993233	7400.112006791272
GSM1854849	10898.447959917066	6433.264471807259
GSM1854850	7160.591397348031	3829.2940855656216
GSM1854851	9988.984736600458	5976.87130420056
GSM1854852	10833.97409678428	6036.905647208456
GSM1854853	12535.858393037246	6769.281757736539
GSM1854854	10169.555514617052	5856.401382488203
GSM1854855	11157.59196957754	6099.9245877303765
GSM1854856	12872.953970091086	6999.002009092145
GSM1854857	10163.47719763229	5358.462391170926
GSM1854858	11971.844564993802	6458.968297066806
GSM1854859	12835.396176070406	7068.166419498031
GSM1854860	9486.288809582968	5888.747750139611
GSM1854861	11575.717775021214	6053.298257734692
GSM1854862	14023.16856153015	7880.440281538973
GSM1854863	7869.3483316081265	4693.509175814296
GSM1854864	11035.322009656576	6101.6278990415485
GSM1854865	12252.751058306863	6272.903177465162
GSM1854866	9548.902795456184	5964.903933846881
GSM1854867	8310.259523897828	4797.71193640397
GSM1854868	9996.391942071474	5977.942244651575
GSM1854869	7550.09873390947	4613.702627340796
GSM1854870	8028.758852467055	4697.570573011266
GSM1854871	7442.299455630862	4799.137570926934
GSM1854872	11194.520600744669	5374.19058440392
GSM1854873	8588.726281311076	4315.570017405478
GSM1854874	12129.569771640005	6467.10149693944
GSM1854875	12515.688700073264	7303.296835309469
GSM1854876	8508.145381825787	5106.722316223264
GSM1854877	12685.844067974664	7533.242365286938
GSM1854878	11976.53163252222	7832.731676314746
GSM1854879	8817.374832858732	5882.737111767234
GSM1854880	11938.544214358202	7135.00486618421
GSM1854881	11103.29404358855	6062.399079307212
GSM1854882	10775.802309859417	6144.663822144767
GSM1854883	6042.564462235838	4375.649671253694
GSM1854884	13621.752409720297	7868.988825922819
GSM1854885	9998.28710083001	5499.758173092739
GSM1854886	8497.450551381755	4754.986866309699
GSM1854887	8183.432839501049	4558.479925673772
GSM1854888	9846.2206191227	5716.674744503272
GSM1854889	8980.018758209884	5140.687661822554
GSM1854890	11441.569244797232	6319.010917559391
GSM1854891	10142.250715822423	5573.937878573524
GSM1854892	8313.440089651778	5396.346057102425
GSM1854893	12443.656647733686	6349.076789121931
GSM1854894	12676.2127632384	7308.962440522266
GSM1854895	11745.774568103898	6491.482116620113
GSM1854896	10691.556973690844	6471.057696688423
GSM1854897	11684.710611748304	6691.052379080413
GSM1854898	7781.995927455788	5380.68912247634
GSM1854899	10355.949693924991	5976.347995464398
GSM1854900	12403.136339344	7411.378087082544
GSM1854901	12088.20832560106	6850.726670394978
GSM1854902	9927.179656011756	5133.778627309463
GSM1854903	12794.215600379295	7045.079740407894
GSM1854904	11592.963638380148	7018.6084244740505
GSM1854905	12478.549232285532	7331.458561845022
GSM1854906	7810.620869342513	4530.196740889885
GSM1854907	8714.4684714507	5047.292723505821
GSM1854908	13305.56106116512	7801.585540821479
GSM1854909	9613.9626850325	5764.832526907966
GSM1854910	12635.13727177193	7647.495787034733
GSM1854911	4795.276217049031	3014.994050025459
GSM1854912	8626.407314291584	4329.012610965481
GSM1854913	12793.284399012638	7051.082480517857
GSM1854914	5446.462897449535	3810.024272437894
GSM1854915	12285.29477574487	6678.4940693108165
GSM1854916	9600.162180903351	5157.576309920184
GSM1854917	10340.088534321409	6445.432890403963
GSM1854918	11136.6752147584	7225.130867515922
GSM1854919	9879.770948162466	5596.6246919838495
GSM1854920	7871.874634128854	5357.635955955306
GSM1854921	9134.26097661611	5725.577479090529
GSM1854922	13895.113860790594	7957.911629428522
GSM1854923	12024.475019675006	6965.129259930142
GSM1854924	12379.03026162842	7409.399737965686
GSM1854925	8465.916170635459	5690.066494793453
GSM1854926	12151.683557423796	6985.457813208687
GSM1854927	12640.172611720498	7556.02552368276
GSM1854928	12105.224851708212	6971.471197141372
GSM1854929	11797.03570681909	5944.921327836971
GSM1854930	11923.23038908225	5896.132683115555
GSM1854931	12629.533442199952	7584.504472956678
GSM1854932	11944.844334547928	6248.611053560813
GSM1854933	7346.874276743654	3808.590936265775
GSM1854934	10075.602967878538	6226.354610895574
GSM1854935	9726.721926743645	4857.13906682672
GSM1854936	5834.89969004218	3029.1216658945123
GSM1854937	11398.236202403648	6981.762706413803
GSM1854938	10004.245671774048	5668.395382785617
GSM1854939	9820.006868741855	5113.092219617811
GSM1854940	10590.056582956542	6128.970724370953
GSM1854941	8706.507707200486	5662.295758994722
GSM1854942	11057.757426054406	5702.20465424682
GSM1854943	10609.52660498501	5336.024308089756
GSM1854944	12971.61001776248	7231.221980940521
GSM1854945	11600.23930554191	6517.737870784831
GSM1854946	11105.285561010573	6447.549272482251
GSM1854947	8903.910211167084	5407.493384197474
GSM1854948	8060.522862993838	5549.0165162760895
GSM1854949	11297.164497700174	6418.541805228059
GSM1854950	11800.733334798731	6638.857581702865
GSM1854951	12952.241300763651	7196.990288841613
GSM1854952	11618.24116051778	6583.735785205159
GSM1854953	9915.51985633367	6411.424094734532
GSM1854954	12897.139816625204	6926.448740693892
GSM1854955	6501.795250504258	3883.044450207126
