Sample	lineage	n_cells
BD_immune01	neutrophil	2038
BD_immune01	myeloid	958
BD_immune01	epithelial	645
BD_immune01	NK	423
BD_immune01	plasma	248
BD_immune01	T	196
BD_immune01	other	112
BD_immune01	mast	42
BD_immune01	B	37
BD_immune01	fibroblast	23
BD_immune01	endothelial	19
BD_immune02	T	2390
BD_immune02	B	1970
BD_immune02	neutrophil	245
BD_immune02	other	227
BD_immune02	NK	190
BD_immune02	myeloid	117
BD_immune02	epithelial	99
BD_immune02	plasma	47
BD_immune02	endothelial	33
BD_immune02	mast	15
BD_immune02	fibroblast	12
BD_immune03	T	3630
BD_immune03	NK	1275
BD_immune03	B	1050
BD_immune03	epithelial	1046
BD_immune03	plasma	884
BD_immune03	myeloid	604
BD_immune03	other	477
BD_immune03	neutrophil	165
BD_immune03	mast	74
BD_immune03	fibroblast	30
BD_immune03	endothelial	24
BD_immune04	T	4462
BD_immune04	myeloid	1323
BD_immune04	NK	883
BD_immune04	neutrophil	584
BD_immune04	B	458
BD_immune04	other	276
BD_immune04	plasma	152
BD_immune04	epithelial	129
BD_immune04	mast	62
BD_immune04	fibroblast	35
BD_immune04	endothelial	34
BD_immune05	epithelial	1474
BD_immune05	T	652
BD_immune05	B	241
BD_immune05	plasma	224
BD_immune05	myeloid	219
BD_immune05	NK	129
BD_immune05	neutrophil	90
BD_immune05	other	44
BD_immune05	fibroblast	20
BD_immune05	mast	12
BD_immune05	endothelial	8
BD_immune06	T	2294
BD_immune06	myeloid	830
BD_immune06	neutrophil	605
BD_immune06	NK	515
BD_immune06	other	116
BD_immune06	B	94
BD_immune06	mast	87
BD_immune06	endothelial	45
BD_immune06	epithelial	43
BD_immune06	plasma	16
BD_immune06	fibroblast	4
BD_immune07	epithelial	5295
BD_immune07	myeloid	1751
BD_immune07	T	760
BD_immune07	fibroblast	297
BD_immune07	other	229
BD_immune07	NK	224
BD_immune07	neutrophil	156
BD_immune07	mast	149
BD_immune07	endothelial	141
BD_immune07	B	72
BD_immune07	plasma	57
BD_immune08	T	2756
BD_immune08	plasma	674
BD_immune08	myeloid	566
BD_immune08	fibroblast	497
BD_immune08	B	236
BD_immune08	NK	234
BD_immune08	other	211
BD_immune08	neutrophil	205
BD_immune08	mast	186
BD_immune08	epithelial	182
BD_immune08	endothelial	78
BD_immune09	T	2144
BD_immune09	NK	989
BD_immune09	myeloid	881
BD_immune09	epithelial	278
BD_immune09	other	164
BD_immune09	B	141
BD_immune09	plasma	134
BD_immune09	neutrophil	75
BD_immune09	fibroblast	23
BD_immune09	mast	12
BD_immune09	endothelial	8
BD_immune10	T	2267
BD_immune10	NK	1609
BD_immune10	myeloid	1267
BD_immune10	neutrophil	436
BD_immune10	other	319
BD_immune10	plasma	282
BD_immune10	epithelial	243
BD_immune10	B	90
BD_immune10	fibroblast	82
BD_immune10	mast	27
BD_immune10	endothelial	21
BD_immune11	T	1246
BD_immune11	myeloid	950
BD_immune11	epithelial	425
BD_immune11	NK	391
BD_immune11	neutrophil	347
BD_immune11	B	255
BD_immune11	other	68
BD_immune11	endothelial	36
BD_immune11	mast	32
BD_immune11	fibroblast	5
BD_immune11	plasma	4
BD_immune12	neutrophil	2143
BD_immune12	B	1233
BD_immune12	T	1124
BD_immune12	myeloid	706
BD_immune12	epithelial	436
BD_immune12	plasma	219
BD_immune12	NK	148
BD_immune12	other	129
BD_immune12	mast	77
BD_immune12	endothelial	14
BD_immune12	fibroblast	4
BD_immune13	myeloid	3129
BD_immune13	neutrophil	1894
BD_immune13	T	1159
BD_immune13	other	205
BD_immune13	NK	127
BD_immune13	B	117
BD_immune13	plasma	46
BD_immune13	epithelial	28
BD_immune13	endothelial	25
BD_immune13	mast	13
BD_immune13	fibroblast	10
BD_immune14	T	2341
BD_immune14	B	1712
BD_immune14	myeloid	377
BD_immune14	NK	345
BD_immune14	neutrophil	204
BD_immune14	epithelial	174
BD_immune14	other	164
BD_immune14	plasma	92
BD_immune14	mast	63
BD_immune14	endothelial	55
BD_immune14	fibroblast	19
BD_immune15	myeloid	3741
BD_immune15	neutrophil	1691
BD_immune15	T	892
BD_immune15	NK	528
BD_immune15	epithelial	522
BD_immune15	B	376
BD_immune15	other	178
BD_immune15	endothelial	67
BD_immune15	mast	58
BD_immune15	plasma	17
BD_immune15	fibroblast	16
