Sample	B	NK	T	endothelial	epithelial	fibroblast	mast	myeloid	neutrophil	other	plasma
BD_immune01	37	423	196	19	645	23	42	958	2038	112	248
BD_immune02	1970	190	2390	33	99	12	15	117	245	227	47
BD_immune03	1050	1275	3630	24	1046	30	74	604	165	477	884
BD_immune04	458	883	4462	34	129	35	62	1323	584	276	152
BD_immune05	241	129	652	8	1474	20	12	219	90	44	224
BD_immune06	94	515	2294	45	43	4	87	830	605	116	16
BD_immune07	72	224	760	141	5295	297	149	1751	156	229	57
BD_immune08	236	234	2756	78	182	497	186	566	205	211	674
BD_immune09	141	989	2144	8	278	23	12	881	75	164	134
BD_immune10	90	1609	2267	21	243	82	27	1267	436	319	282
BD_immune11	255	391	1246	36	425	5	32	950	347	68	4
BD_immune12	1233	148	1124	14	436	4	77	706	2143	129	219
BD_immune13	117	127	1159	25	28	10	13	3129	1894	205	46
BD_immune14	1712	345	2341	55	174	19	63	377	204	164	92
BD_immune15	376	528	892	67	522	16	58	3741	1691	178	17
