symbol,panel,mapping,deposited_median_log2,deposited_direction,scan_GSM558700,scan_GSM558701,scan_GSM558702,scan_median_log2,scan_direction,sign_agrees
XRCC6,NHEJ,synonym:G22P1,-1.5564,DOWN,-2.1603,-0.1437,-2.3549,-2.1603,DOWN,yes
XRCC5,NHEJ,current_symbol,-0.8365,DOWN,-1.2816,-0.0998,-1.6108,-1.2816,DOWN,yes
PRKDC,NHEJ,current_symbol,0.4343,UP,-0.7618,-0.4801,-0.2475,-0.4801,DOWN,no
XRCC4,NHEJ,current_symbol,0.2630,UP,-4.1155,-0.3754,1.6569,-0.3754,DOWN,no
LIG4,NHEJ,current_symbol,0.0000,ZERO,-1.6266,-2.9635,-1.1291,-1.6266,DOWN,no
DCLRE1C,NHEJ,current_symbol,-1.9784,DOWN,-1.7543,1.3277,-5.1832,-1.7543,DOWN,yes
APLF,NHEJ,synonym:C2orf13,0.8718,NA,,,-0.2689,,NA,NA
PNKP,NHEJ,current_symbol,0.1375,UP,-1.7010,-0.5392,1.9084,-0.5392,DOWN,no
APTX,NHEJ,current_symbol,0.7312,UP,0.5684,-1.1956,-1.7173,-1.1956,DOWN,no
POLL,NHEJ,current_symbol,0.1506,UP,1.3395,-0.6225,-0.7652,-0.6225,DOWN,no
POLM,NHEJ,current_symbol,-0.9900,DOWN,-1.8964,-1.3488,-2.6547,-1.8964,DOWN,yes
CGAS,STING,synonym:C6orf150,-0.4920,DOWN,-1.9849,,-1.4489,-1.7169,DOWN,yes
IKBKE,STING,current_symbol,0.7744,UP,-0.5948,-1.6586,-0.1031,-0.5948,DOWN,no
IRF3,STING,current_symbol,1.8806,UP,1.5366,4.4785,2.1069,2.1069,UP,yes
DDX41,STING,current_symbol,0.1763,UP,-0.3755,-0.7873,-1.3447,-0.7873,DOWN,no
IFI16,STING,current_symbol,-0.0367,DOWN,-0.3465,-1.3378,-2.1605,-1.3378,DOWN,yes
TREX1,STING,current_symbol,0.5974,UP,-1.0221,,1.1641,0.0710,UP,yes
ENPP1,STING,current_symbol,-1.7859,DOWN,-4.5025,-1.3814,-2.7597,-2.7597,DOWN,yes
H2AX,BREAK_MARKERS,synonym:H2AFX,0.4005,UP,0.8004,-1.7205,0.5589,0.5589,UP,yes
TP53BP1,BREAK_MARKERS,current_symbol,-0.4150,DOWN,0.1990,0.6273,-1.9803,0.1990,UP,no
CLDN4,PERTURBATION,current_symbol,-1.2250,DOWN,,1.2183,-1.6435,-0.2126,DOWN,yes
