probe,likely_gene,orf,how,description,used_in_gene_median,GSM558700,GSM558701,GSM558702,reason
8697,DCLRE1C,,empty,DNA CROSS-LINK REPAIR 1C; ARTEMIS PROTEIN; A-SCID,no,-1.7859,-3.8365,-1.2515,no ORF and description is not SYMBOL--prefix; excluded
25010,XRCC5,,empty,"ATP-DEPENDENT DNA HELICASE II, 80 KDA SUBUNIT (LUPUS KU AUTOANTIGEN PROTEIN P86) (KU86) (KU80) (86 KDA SUBUNIT OF KU ANTIGEN) (THYROID- LUPUS AUTOANTIGEN) (TLAA) (CTC BOX BINDING F",no,-4.3219,1.1763,-2.8365,no ORF and description is not SYMBOL--prefix; excluded
