probe,kept_symbol,platform_token,also_retired_synonym_of,description,decision
3841,TAP2,TAP2,SEC14L3,"TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)",kept as the current symbol; GPL description names that gene
4277,TAP1,TAP1,SEC14L2,"TAP1--Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)",kept as the current symbol; GPL description names that gene
9889,TAP2,TAP2,SEC14L3,"TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)",kept as the current symbol; GPL description names that gene
13828,ZBP1,ZBP1,IGF2BP1,ZBP1--Z-DNA binding protein 1,kept as the current symbol; GPL description names that gene
15937,TAP2,TAP2,SEC14L3,"TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)",kept as the current symbol; GPL description names that gene
34518,TAP1,TAP1,SEC14L2,"TAP1--Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)",kept as the current symbol; GPL description names that gene
