gsm,probe,channel1,channel2,deposited_log2_KD_over_ctrl,scan_ch1_median_minus_B_Cy3,scan_ch2_median_minus_B_Cy5,scan_log2_Cy5_over_Cy3
GSM558700,17169,Cy3 = CLDN4 overexpression (control),Cy5 = CLDN4 lentiviral siRNA,,89.00,-39.00,
GSM558701,17169,Cy3 = CLDN4 overexpression (control),Cy5 = CLDN4 lentiviral siRNA,-1.7370,251.00,584.00,1.2183
GSM558702,17169,Cy3 = CLDN4 overexpression (control),Cy5 = CLDN4 lentiviral siRNA,-0.7131,1031.00,330.00,-1.6435
