probe,symbol,raw_symbol,mapping,mapped_via,description,GSM558700_deposited,GSM558701_deposited,GSM558702_deposited
14882,APLF,C2orf13,synonym,ORF,C2orf13--Chromosome 2 open reading frame 13,,,0.8718
1052,APTX,APTX,current_symbol,ORF,APTX--Aprataxin,1.4436,1.0426,-0.5995
7100,APTX,APTX,current_symbol,ORF,APTX--Aprataxin,2.3505,-0.2688,0.9928
32803,APTX,APTX,current_symbol,ORF,APTX--Aprataxin,-2.3959,0.7312,-4.0589
30704,CGAS,C6orf150,synonym,ORF,C6orf150--Chromosome 6 open reading frame 150,-0.6439,,-0.3401
17169,CLDN4,CLDN4,current_symbol,ORF,CLDN4--Claudin 4,,-1.7370,-0.7131
2649,DCLRE1C,DCLRE1C,current_symbol,ORF,"DCLRE1C--DNA cross-link repair 1C (PSO2 homolog, S. cerevisiae)",-0.5995,-1.1203,-4.0589
32890,DCLRE1C,DCLRE1C,current_symbol,ORF,"DCLRE1C--DNA cross-link repair 1C (PSO2 homolog, S. cerevisiae)",-0.9434,-2.8365,-4.3219
28321,DDX41,DDX41,current_symbol,ORF,DDX41--DEAD (Asp-Glu-Ala-Asp) box polypeptide 41,0.2510,0.1763,-0.3219
9105,EIF2AK2,PRKR,synonym,ORF,"PRKR--Protein kinase, interferon-inducible double stranded RNA dependent",-0.7612,1.9635,0.6415
15153,EIF2AK2,PRKR,synonym,ORF,"PRKR--Protein kinase, interferon-inducible double stranded RNA dependent",-0.5146,0.4854,-1.0000
21336,ENPP1,ENPP1,current_symbol,ORF,ENPP1--Ectonucleotide pyrophosphatase/phosphodiesterase 1,-3.1844,0.7398,-1.7859
15807,H2AX,H2AFX,synonym,ORF,"H2AFX--H2A histone family, member X",0.4005,1.8197,0.0976
9522,IFI16,IFI16,current_symbol,ORF,"IFI16--Interferon, gamma-inducible protein 16",-0.5995,,
21618,IFI16,IFI16,current_symbol,ORF,"IFI16--Interferon, gamma-inducible protein 16",0.5261,1.1243,-1.0291
14667,IFI44L,C1orf29,synonym,ORF,C1orf29--Chromosome 1 open reading frame 29,2.6554,-1.6439,-1.4344
20715,IFI44L,C1orf29,synonym,ORF,C1orf29--Chromosome 1 open reading frame 29,0.5261,-0.4150,-2.3959
16865,IFI6,G1P3,synonym,ORF,"G1P3--Interferon, alpha-inducible protein (clone IFI-6-16)",0.9336,-0.8625,0.1110
29817,IKBKE,IKBKE,current_symbol,ORF,"IKBKE--Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon",,1.1043,-0.0740
35865,IKBKE,IKBKE,current_symbol,ORF,"IKBKE--Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon",-0.1361,1.0704,1.6229
15133,IL32,NK4,synonym,ORF,NK4--Natural killer cell transcript 4,1.1440,-0.6439,0.6960
21181,IL32,NK4,synonym,ORF,NK4--Natural killer cell transcript 4,0.6135,-1.5564,0.0144
23666,IRF3,IRF3,current_symbol,ORF,IRF3--Interferon regulatory factor 3,1.3045,,2.8738
29714,IRF3,IRF3,current_symbol,ORF,IRF3--Interferon regulatory factor 3,2.4568,-1.1844,2.1210
1952,ISG15,G1P2,synonym,ORF,"G1P2--Interferon, alpha-inducible protein (clone IFI-15K)",0.7137,1.7949,-1.0589
31572,LIG4,LIG4,current_symbol,ORF,"LIG4--Ligase IV, DNA, ATP-dependent",-0.6439,2.4568,0.0000
10905,NLRC5,NOD27,synonym,ORF,NOD27--Nucleotide-binding oligomerization domains 27,1.7949,1.3561,-0.5146
16953,NLRC5,NOD27,synonym,ORF,NOD27--Nucleotide-binding oligomerization domains 27,6.4803,-0.0145,-0.5146
29508,PNKP,PNKP,current_symbol,ORF,PNKP--Polynucleotide kinase 3'-phosphatase,-0.6215,0.1375,2.2357
28447,POLL,POLL,current_symbol,ORF,"POLL--Polymerase (DNA directed), lambda",1.6554,-0.0145,0.1506
12309,POLM,POLM,current_symbol,ORF,"POLM--Polymerase (DNA directed), mu",-1.3585,1.8480,-3.6439
24405,POLM,POLM,current_symbol,ORF,"POLM--Polymerase (DNA directed), mu",-0.6215,0.3561,0.5160
20613,PRKDC,PRKDC,current_symbol,ORF,"PRKDC--Protein kinase, DNA-activated, catalytic polypeptide",3.2645,0.2987,0.8319
32709,PRKDC,PRKDC,current_symbol,ORF,"PRKDC--Protein kinase, DNA-activated, catalytic polypeptide",-2.3959,-0.5564,0.7137
16774,RIGI,DDX58,synonym,ORF,DDX58--DEAD (Asp-Glu-Ala-Asp) box polypeptide 58,,-0.6439,-2.2515
24466,RSAD2,cig5,synonym,ORF,cig5--Viperin,,,
7602,TP53BP1,TP53BP1,current_symbol,ORF,"TP53BP1--Tumor protein p53 binding protein, 1",0.4436,-0.4150,-1.0291
35984,TREX1,TREX1,current_symbol,ORF,TREX1--Three prime repair exonuclease 1,-0.5146,,1.7093
11600,XAF1,HSXIAPAF1,synonym,ORF,HSXIAPAF1--XIAP associated factor-1,,0.4436,0.4436
31377,XRCC4,XRCC4,current_symbol,ORF,XRCC4--X-ray repair complementing defective repair in Chinese hamster cells 4,-2.9434,0.2630,2.4931
18962,XRCC5,XRCC5,current_symbol,ORF,"XRCC5--X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)",-1.1844,0.4222,-0.8365
3128,XRCC6,G22P1,synonym,ORF,G22P1--Thyroid autoantigen 70kDa (Ku antigen),-1.7370,0.0704,-1.5564
