panel,symbol,role,on_platform,scored_ge2_arrays,n_probes,n_arrays,raw_symbols,mapping,mapped_via,GSM558700,GSM558701,GSM558702,mean_log2_KD_over_ctrl,median_log2_KD_over_ctrl,t_1samp,p_1samp,q_BH_within_panel,direction_median
IFN,ISG15,IFN program,yes,yes,1,3,G1P2,synonym:G1P2,ORF,0.7137,1.7949,-1.0589,0.4832,0.7137,0.5809,0.62,0.9543,UP
IFN,MX1,IFN program,yes,yes,1,2,MX1,current_symbol,ORF,-0.0740,,0.7908,0.3584,0.3584,0.8289,0.5594,0.9543,UP
IFN,MX2,IFN program,no,no,0,0,,absent,,,,,,,,,,NA
IFN,OAS1,IFN program,yes,yes,1,3,OAS1,current_symbol,ORF,0.7398,-0.6897,0.6323,0.2275,0.6323,0.4949,0.6697,0.9543,UP
IFN,OAS2,IFN program,yes,yes,1,3,OAS2,current_symbol,ORF,-0.2863,2.8115,0.1110,0.8787,0.1110,0.9030,0.4618,0.9543,UP
IFN,OAS3,IFN program,yes,yes,1,3,OAS3,current_symbol,ORF,1.2265,-0.3585,0.5753,0.4811,0.5753,1.0459,0.4054,0.9543,UP
IFN,OASL,IFN program,yes,yes,1,2,OASL,current_symbol,ORF,-2.2515,0.8400,,-0.7058,-0.7058,-0.4566,0.7273,0.9543,DOWN
IFN,RSAD2,IFN program,yes,no,1,0,cig5,synonym:cig5,ORF,,,,,,,,,NA
IFN,IFIT1,IFN program,yes,yes,1,3,IFIT1,current_symbol,ORF,-2.8365,-1.1203,-2.1203,-2.0257,-2.1203,-4.0703,0.05539,0.9543,DOWN
IFN,IFIT2,IFN program,yes,yes,1,3,IFIT2,current_symbol,ORF,-1.5146,1.6736,-1.3219,-0.3876,-1.3219,-0.3756,0.7433,0.9543,DOWN
IFN,IFIT3,IFN program,yes,yes,1,3,IFIT3,current_symbol,ORF,-0.5995,-0.7859,1.3448,-0.0135,-0.5995,-0.0199,0.986,0.9860,DOWN
IFN,IFIT5,IFN program,yes,yes,1,3,IFIT5,current_symbol,ORF,0.1635,-0.1520,-0.0291,-0.0059,-0.0291,-0.0639,0.9549,0.9860,DOWN
IFN,IFITM1,IFN program,no,no,0,0,,absent,,,,,,,,,,NA
IFN,IFITM2,IFN program,yes,yes,2,3,IFITM2,current_symbol,ORF,0.7527,2.7302,-0.2542,1.0762,0.7527,1.2277,0.3444,0.9543,UP
IFN,IFITM3,IFN program,no,no,0,0,,absent,,,,,,,,,,NA
IFN,IFI6,IFN program,yes,yes,1,3,G1P3,synonym:G1P3,ORF,0.9336,-0.8625,0.1110,0.0607,0.1110,0.1169,0.9176,0.9809,UP
IFN,IFI27,IFN program,yes,yes,1,3,IFI27,current_symbol,ORF,-2.6439,2.8420,-2.3219,-0.7079,-2.3219,-0.3983,0.7289,0.9543,DOWN
IFN,IFI35,IFN program,yes,yes,1,3,IFI35,current_symbol,ORF,-1.4344,0.2388,-1.4344,-0.8767,-1.4344,-1.5718,0.2566,0.9543,DOWN
IFN,IFI44,IFN program,yes,yes,1,2,IFI44,current_symbol,ORF,-1.3585,,-2.0000,-1.6793,-1.6793,-5.2354,0.1202,0.9543,DOWN
IFN,IFI44L,IFN program,yes,yes,2,3,C1orf29,synonym:C1orf29,ORF,1.5908,-1.0294,-1.9152,-0.4513,-1.0294,-0.4288,0.7099,0.9543,DOWN
IFN,IFI16,IFN program,yes,yes,2,3,IFI16,current_symbol,ORF,-0.0367,1.1243,-1.0291,0.0195,-0.0367,0.0313,0.9778,0.9860,DOWN
IFN,RIGI,IFN program,yes,yes,1,2,DDX58,synonym:DDX58,ORF,,-0.6439,-2.2515,-1.4477,-1.4477,-1.8011,0.3227,0.9543,DOWN
IFN,IFIH1,IFN program,yes,yes,1,3,IFIH1,current_symbol,ORF,-0.4941,-0.9714,-1.3219,-0.9291,-0.9714,-3.8730,0.06066,0.9543,DOWN
IFN,DDX60,IFN program,no,no,0,0,,absent,,,,,,,,,,NA
IFN,XAF1,IFN program,yes,yes,1,2,HSXIAPAF1,synonym:HSXIAPAF1,ORF,,0.4436,0.4436,0.4436,0.4436,,,,UP
IFN,HERC5,IFN program,yes,yes,1,3,HERC5,current_symbol,ORF,-0.0439,0.0704,1.5607,0.5291,0.0704,1.0236,0.4137,0.9543,UP
IFN,USP18,IFN program,yes,yes,1,3,USP18,current_symbol,ORF,2.3306,-3.6439,3.2095,0.6321,2.3306,0.2936,0.7967,0.9543,UP
IFN,CMPK2,IFN program,no,no,0,0,,absent,,,,,,,,,,NA
IFN,BST2,IFN program,yes,yes,1,3,BST2,current_symbol,ORF,-0.8625,0.9782,-0.8110,-0.2318,-0.8110,-0.3830,0.7386,0.9543,DOWN
IFN,GBP1,IFN program,yes,yes,1,3,GBP1,current_symbol,ORF,-2.8365,-0.3585,-3.6439,-2.2796,-2.8365,-2.3063,0.1475,0.9543,DOWN
IFN,GBP2,IFN program,yes,yes,1,3,GBP2,current_symbol,ORF,0.4114,-0.7131,-1.0589,-0.4535,-0.7131,-1.0218,0.4143,0.9543,DOWN
IFN,GBP4,IFN program,yes,yes,1,2,GBP4,current_symbol,ORF,0.4222,-0.7370,,-0.1574,-0.1574,-0.2716,0.8312,0.9543,DOWN
