contrast	accession	class	primary	bulk_tumor	test	n_pert	n_ctrl	set	n_genes	n_present	n_scored	mean_log2fc	median_log2fc	n_up	n_down	score_delta	score_p	score_rank_p	genes
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	unpaired	3	3	CLDN4	1	1	1	-1.9152	-1.9152	0	1	-1.81905	3.28891e-05	0.1	CLDN4
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	unpaired	3	3	NHEJ	8	8	8	0.36502	0.356998	5	3	0.458017	0.183212	0.4	XRCC6,XRCC5,PRKDC,LIG4,XRCC4,NHEJ1,DCLRE1C,PAXX
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	unpaired	3	3	STING	4	4	4	-0.351302	-0.0948329	1	3	-0.903165	0.0828349	0.1	CGAS,STING1,TBK1,IRF3
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	unpaired	3	3	IFN	14	14	14	-0.79508	-0.634623	0	14	-1.7602	0.00125463	0.1	STAT1,STAT2,IRF7,IRF9,ISG15,MX1,OAS1,OAS2,IFIT1,IFIT3,CXCL10,RSAD2,IFI44,BST2
SKOV3_shTACSTD2_DDP	GSE245459	TACSTD2_KD	0	0	unpaired	3	3	CLDN4	1	1	1	-0.139117	-0.139117	0	1	-1.33911	0.0989015	0.1	CLDN4
SKOV3_shTACSTD2_DDP	GSE245459	TACSTD2_KD	0	0	unpaired	3	3	NHEJ	8	8	8	-0.155491	-0.133072	3	5	-0.544487	0.166936	0.2	XRCC6,XRCC5,PRKDC,LIG4,XRCC4,NHEJ1,DCLRE1C,PAXX
SKOV3_shTACSTD2_DDP	GSE245459	TACSTD2_KD	0	0	unpaired	3	3	STING	4	4	4	-0.146825	-0.119618	0	4	-1.2804	0.101056	0.1	CGAS,STING1,TBK1,IRF3
SKOV3_shTACSTD2_DDP	GSE245459	TACSTD2_KD	0	0	unpaired	3	3	IFN	14	14	14	0.409327	0.292006	11	3	1.06781	0.0160308	0.1	STAT1,STAT2,IRF7,IRF9,ISG15,MX1,OAS1,OAS2,IFIT1,IFIT3,CXCL10,RSAD2,IFI44,BST2
4T1_Trop2KO	GSE334497	TACSTD2_KO	1	1	unpaired	5	5	CLDN4	1	1	1	-0.817228	-0.817228	0	1	-0.764842	0.252919	0.420635	CLDN4
4T1_Trop2KO	GSE334497	TACSTD2_KO	1	1	unpaired	5	5	NHEJ	8	8	8	-0.038802	-0.149171	3	5	-0.168121	0.584159	0.690476	XRCC6,XRCC5,PRKDC,LIG4,XRCC4,NHEJ1,DCLRE1C,PAXX
4T1_Trop2KO	GSE334497	TACSTD2_KO	1	1	unpaired	5	5	STING	4	4	4	0.0691762	0.167556	3	1	0.383943	0.0417195	0.031746	CGAS,STING1,TBK1,IRF3
4T1_Trop2KO	GSE334497	TACSTD2_KO	1	1	unpaired	5	5	IFN	14	14	14	0.0970079	0.108107	9	5	0.208754	0.677573	0.420635	STAT1,STAT2,IRF7,IRF9,ISG15,MX1,OAS1,OAS2,IFIT1,IFIT3,CXCL10,RSAD2,IFI44,BST2
CX1_IMMU132	GSE312098	sacituzumab	1	0	unpaired	3	3	CLDN4	1	1	1	-0.861109	-0.861109	0	1	-1.82015	1.69346e-05	0.1	CLDN4
CX1_IMMU132	GSE312098	sacituzumab	1	0	unpaired	3	3	NHEJ	8	8	8	-0.0862009	-0.233292	3	5	-0.385944	0.293836	0.4	XRCC6,XRCC5,PRKDC,LIG4,XRCC4,NHEJ1,DCLRE1C,PAXX
CX1_IMMU132	GSE312098	sacituzumab	1	0	unpaired	3	3	STING	4	4	4	0.352342	0.422055	4	0	1.42496	0.0168261	0.1	CGAS,STING1,TBK1,IRF3
CX1_IMMU132	GSE312098	sacituzumab	1	0	unpaired	3	3	IFN	14	14	14	0.303095	0.232403	10	4	0.948308	0.0529492	0.1	STAT1,STAT2,IRF7,IRF9,ISG15,MX1,OAS1,OAS2,IFIT1,IFIT3,CXCL10,RSAD2,IFI44,BST2
CX1_IMMU132_GSK	GSE312098	sacituzumab_combo	0	0	unpaired	3	3	CLDN4	1	1	1	-0.613893	-0.613893	0	1	-1.81376	6.5549e-05	0.1	CLDN4
CX1_IMMU132_GSK	GSE312098	sacituzumab_combo	0	0	unpaired	3	3	NHEJ	8	8	8	-0.346491	-0.412214	2	6	-0.930124	0.00645963	0.1	XRCC6,XRCC5,PRKDC,LIG4,XRCC4,NHEJ1,DCLRE1C,PAXX
CX1_IMMU132_GSK	GSE312098	sacituzumab_combo	0	0	unpaired	3	3	STING	4	4	4	0.739585	0.772936	4	0	1.56938	0.00461288	0.1	CGAS,STING1,TBK1,IRF3
CX1_IMMU132_GSK	GSE312098	sacituzumab_combo	0	0	unpaired	3	3	IFN	14	14	14	0.423117	0.339791	12	2	1.04396	0.0158459	0.1	STAT1,STAT2,IRF7,IRF9,ISG15,MX1,OAS1,OAS2,IFIT1,IFIT3,CXCL10,RSAD2,IFI44,BST2
KYSE30_IMMU132	GSE304294	sacituzumab	1	0	unpaired	2	3	CLDN4	1	1	1	0.910505	0.910505	1	0	1.82405	3.90333e-05	0.2	CLDN4
KYSE30_IMMU132	GSE304294	sacituzumab	1	0	unpaired	2	3	NHEJ	8	8	8	-0.37292	-0.582152	2	6	-0.976739	0.0260775	0.2	XRCC6,XRCC5,PRKDC,LIG4,XRCC4,NHEJ1,DCLRE1C,PAXX
KYSE30_IMMU132	GSE304294	sacituzumab	1	0	unpaired	2	3	STING	4	4	4	0.275609	0.0190771	2	2	0.275244	0.523922	0.8	CGAS,STING1,TBK1,IRF3
KYSE30_IMMU132	GSE304294	sacituzumab	1	0	unpaired	2	3	IFN	14	14	14	0.134689	0.0729503	8	6	0.406213	0.1577	0.2	STAT1,STAT2,IRF7,IRF9,ISG15,MX1,OAS1,OAS2,IFIT1,IFIT3,CXCL10,RSAD2,IFI44,BST2
KYSE30_IMMU132_IACS	GSE304294	sacituzumab_combo	0	0	unpaired	3	3	CLDN4	1	1	1	1.35548	1.35548	1	0	1.82301	7.2652e-05	0.1	CLDN4
KYSE30_IMMU132_IACS	GSE304294	sacituzumab_combo	0	0	unpaired	3	3	NHEJ	8	8	8	-0.631271	-0.693736	1	7	-1.04528	0.0176815	0.1	XRCC6,XRCC5,PRKDC,LIG4,XRCC4,NHEJ1,DCLRE1C,PAXX
KYSE30_IMMU132_IACS	GSE304294	sacituzumab_combo	0	0	unpaired	3	3	STING	4	4	4	0.0607667	9.34667e-05	2	2	-0.0254489	0.908338	1	CGAS,STING1,TBK1,IRF3
KYSE30_IMMU132_IACS	GSE304294	sacituzumab_combo	0	0	unpaired	3	3	IFN	14	14	14	-0.146354	-0.209636	6	8	-0.338389	0.166491	0.1	STAT1,STAT2,IRF7,IRF9,ISG15,MX1,OAS1,OAS2,IFIT1,IFIT3,CXCL10,RSAD2,IFI44,BST2
CRC_PDX_IMMU132	GSE311016	sacituzumab	1	1	paired	5	5	CLDN4	1	1	1	-0.437121	-0.437121	0	1	-0.945515	0.0597131	0.0625	CLDN4
