contrast	accession	class	primary	bulk_tumor	gene	present	mean_log2_pert	mean_log2_ctrl	log2fc	welch_p	welch_q_bh	mwu_p	pert_values_log2	ctrl_values_log2	pair_delta_log2
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	CLDN4	1	0.135688	2.05089	-1.9152	3.28891e-05	0.000509781	0.1	0.0837;0.0585;0.2648	2.1513;1.9946;2.0068	
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	CLDN3	1	0.0232707	1.50673	-1.48346	0.000109975	0.000681846	0.0765225	0.0000;0.0000;0.0698	1.5519;1.4136;1.5547	
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	CLDN7	1	0.413854	1.80678	-1.39293	0.00102065	0.00263668	0.1	0.3582;0.5285;0.3548	1.9083;1.9097;1.6023	
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	XRCC6	1	7.75134	6.94862	0.802719	6.93632e-05	0.000537565	0.1	7.8161;7.7029;7.7350	6.8990;6.9911;6.9557	
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	XRCC5	1	6.70459	5.72284	0.98175	1.94966e-05	0.000509781	0.1	6.6887;6.6961;6.7290	5.7052;5.7653;5.6980	
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	PRKDC	1	5.59877	4.93248	0.666293	0.00100789	0.00263668	0.1	5.5380;5.6037;5.6546	4.9559;4.9205;4.9210	
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	LIG4	1	1.75722	1.98257	-0.225353	0.220615	0.244252	0.4	1.5146;1.8781;1.8789	1.8280;2.1536;1.9662	
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	XRCC4	1	2.2815	2.2338	0.0477029	0.806562	0.806562	1	1.9780;2.4424;2.4241	2.4266;2.1600;2.1148	
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	NHEJ1	1	0	0.108199	-0.108199	0.111819	0.133322	0.0636026	0.0000;0.0000;0.0000	0.1634;0.1297;0.0315	
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	DCLRE1C	1	1.59425	1.72333	-0.129079	0.176082	0.202168	0.1	1.4671;1.6709;1.6448	1.7502;1.6996;1.7202	
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	PAXX	1	4.55843	3.6741	0.884326	0.000266754	0.00103367	0.1	4.6594;4.4771;4.5388	3.6429;3.6162;3.7632	
SKOV3_shTACSTD2	GSE245459	TACSTD2_KD	1	0	CGAS	1	0.014638	0.0334627	-0.0188247	0.491089	0.524957	0.506555	0.0000;0.0222;0.0217	0.0753;0.0250;0.0000	
