gene	SKOV3_shTACSTD2_log2fc	SKOV3_shTACSTD2_p	4T1_Trop2KO_log2fc	4T1_Trop2KO_p	CX1_IMMU132_log2fc	CX1_IMMU132_p	KYSE30_IMMU132_log2fc	KYSE30_IMMU132_p	CRC_PDX_IMMU132_log2fc	CRC_PDX_IMMU132_p
CLDN4	-1.9152	3.28891e-05	-0.817228	0.252919	-0.861109	1.69346e-05	0.910505	3.90333e-05	-0.437121	0.0597131
TACSTD2	-2.62756	5.25209e-05	-3.82117	0.00107924	0.682959	0.000565295	1.15902	0.00987109	-0.421229	0.270972
CDKN1A	-1.11239	0.000132496	-0.0730005	0.850696	1.17021	0.00251886	1.53753	0.0656489	-0.511312	0.194561
XRCC6	0.802719	6.93632e-05	-0.205307	0.155932	0.0702459	0.166878	-0.668632	0.0245819	-0.479283	0.0824795
XRCC5	0.98175	1.94966e-05	-0.134299	0.342742	-0.347353	0.0045376	-0.706573	0.0230473	-0.692543	0.0409633
PRKDC	0.666293	0.00100789	0.181138	0.555964	-0.307065	0.00225122	-0.804977	0.00199899	-0.951549	0.0816587
LIG4	-0.225353	0.220615	-0.248806	0.248094	0.422647	0.0334208	0.62304	0.00268611	0.255053	0.246827
XRCC4	0.0477029	0.806562	0.288307	0.205144	-0.249894	0.12462	-0.880178	0.000974706	-0.457807	0.0557694
NHEJ1	-0.108199	0.111819	-0.275491	0.499966	-0.311256	0.00256393	0.0897904	0.357028	0.0161157	0.9311
DCLRE1C	-0.129079	0.176082	0.248085	0.254016	0.249757	0.0252907	-0.140159	0.0900695	0.0779063	0.269091
PAXX	0.884326	0.000266754	-0.164043	0.450658	-0.216689	0.290828	-0.495672	0.00915997	0.984752	0.0931154
CGAS	-0.0188247	0.491089	-0.381022	0.102144	0.480821	0.00909755	-0.158107	0.272859	0.165689	0.626055
STING1	-1.30199	0.00358417	0.307079	0.0707814	0.497599	0.0173309	1.22239	0.00222315	0.545172	0.322889
TBK1	0.0864483	0.575532	0.0280327	0.873699	0.363289	0.0906634	0.0593134	0.391012	0.203312	0.123347
IRF3	-0.170841	0.0388449	0.322615	0.0183092	0.0676596	0.401745	-0.0211591	0.755012	0.713926	0.0666946
STAT1	-0.490444	0.00602089	0.460048	0.287201	0.164155	0.138561	0.195696	0.0384038	-0.679093	0.27028
STAT2	-1.10698	0.000199829	0.232139	0.560587	0.0996861	0.303952	0.715012	0.000401557	0.121512	0.768586
IRF7	-0.739625	0.0221013	-0.18262	0.616518	-0.038358	0.671044	-0.0585899	0.609557	0.820792	0.0585962
IRF9	-0.541575	0.0043305	0.122242	0.362905	-0.0215617	0.770859	-0.0446766	0.587975	0.790302	0.0783422
ISG15	-0.621428	0.0142549	-0.0907416	0.838755	0.633859	0.00326901	0.208482	0.0356554	1.2593	0.316931
MX1	-0.246806	0.0317369	0.159588	0.666451	-0.0384524	0.496372	0.0265189	0.174803	0.100972	0.872456
OAS1	-1.45617	0.00335486	-0.312088	0.273001	0.477966	0.0249848	1.21136	0.00722454	-0.120191	0.801392
OAS2	-0.521399	0.0171525	-0.104281	0.805108	0.942329	0.0254838	0.500569	6.47108e-05	-0.324164	0.682737
IFIT1	-1.88965	0.00294444	-0.0212087	0.942788	0.49156	0.00651103	-0.613694	0.00028887	0.377695	0.679556
IFIT3	-1.38448	0.000466479	0.149143	0.678011	0.453425	0.00502283	-0.3374	0.0339269	0.168094	0.839929
CXCL10	-0.267431	0.00279491	0.564195	0.067462	-0.0707378	0.636334	-0.127503	0.717889	0.112983	0.651027
RSAD2	-0.722216	0.00909192	0.226712	0.4494	0.0679768	0.451464	-0.233721	0.117753	0.452995	0.511776
IFI44	-0.647819	0.0245791	0.0610099	0.859821	0.780831	0.0165826	0.324207	0.0036267	0.719175	0.587996
BST2	-0.495084	0.000619348	0.0939727	0.745166	0.300651	0.0010604	0.119382	0.700226	0.569876	0.667454
