set	n_listed	n_present	probe_used	missing
gene:CLDN4	1	1	201428_at	
gene:CD8A	1	1	205758_at	
gene:CD274	1	0		CD274
gene:TACSTD2	1	1	202286_s_at	
gene:PDCD1LG2	1	1	220049_s_at	
gene:EPCAM	1	1	201839_s_at	
gene:KRT8	1	1	209008_x_at	
gene:KRT18	1	1	201596_x_at	
gene:KRT19	1	1	201650_at	
gene:CDH1	1	1	201131_s_at	
gene:KRT7	1	1	209016_s_at	
gene:CD8A	1	1	205758_at	
gene:GZMA	1	1	205488_at	
gene:GZMB	1	1	210164_at	
gene:IFNG	1	1	210354_at	
gene:EOMES	1	0		EOMES
gene:CXCL9	1	1	203915_at	
gene:CXCL10	1	1	204533_at	
gene:TBX21	1	1	220684_at	
