endpoint	n_Q4	n_Q1	median_Q4	median_Q1	U	p	rank_biserial_Q4_minus_Q1	note
CD8A	7	7	365.0	492.1	13.0	0.16491841491841494	-0.4693877551020408	
ImmuneScore	7	7	0.15029116189959127	0.36531330366133574	18.0	0.45571095571095577	-0.26530612244897955	
CD274	0	0						ABSENT on GPL96
