gene	named_probe	on_GPL96	collapse_probe	entrez	finite_on_LUAD_tumors
CLDN4	201428_at	True	201428_at	1364	1
CD8A	205758_at	True	205758_at	925	1
TACSTD2	202286_s_at	True	202286_s_at	4070	1
PDCD1LG2	220049_s_at	True	220049_s_at	80380	1
CD274	223834_at	False		29126	0
CD274	227458_at	False		29126	0
