endpoint	n_pairs	n_tumor_gt_normal	median_T	median_N	median_T_minus_N	wilcoxon_stat	p	note
CLDN4	26	23	1196.65	542.0	627.3000000000001	11.0	1.6391277313232422e-06	
CD8A	26	9	408.25	455.45	-45.349999999999994	132.0	0.2798910140991211	
CD274	0	0						ABSENT on GPL96
ImmuneScore	26	7	-0.3020760991468424	0.023254667788514222	-0.31114216536344785	86.0	0.021971672773361206	
