n_mut,n_wt,median_mut,median_wt,mean_mut,mean_wt,mwu_p,ttest_p,log2fc_median,cliffs_delta,cohens_d,cohort,background,co_mutation,target
36,118,11.96050816869855,12.671242353760888,11.862313317219602,12.624412091677213,9.972889302405555e-05,0.0014692079306877373,-0.7107341850623392,-0.4293785310734463,-0.739012215951139,TCGA-LUAD,KRAS-mut,STK11,TACSTD2
36,118,12.704671461643052,13.38440360362993,12.59673518709092,13.272709295901224,5.7317308031071e-05,0.0009018872703263601,-0.6797321419868787,-0.4439736346516008,-0.7405011138211741,TCGA-LUAD,KRAS-mut,STK11,CLDN4
32,122,12.324120416428407,12.607875223289248,12.374650881440752,12.465041623210757,0.3327618732374782,0.6321379750826698,-0.2837548068608413,-0.11168032786885246,-0.08365593529072367,TCGA-LUAD,KRAS-mut,KEAP1,TACSTD2
32,122,12.868918070691436,13.281034297871637,12.878612215110412,13.176611252197414,0.05522620535499947,0.11521322508567755,-0.412116227180201,-0.22079918032786885,-0.31386977391402343,TCGA-LUAD,KRAS-mut,KEAP1,CLDN4
0,7,,12.160964923897694,,11.862225666328627,,,,,,TCGA-LUSC,KRAS-mut,STK11,TACSTD2
0,7,,11.902868742280122,,12.237093625863094,,,,,,TCGA-LUSC,KRAS-mut,STK11,CLDN4
1,6,14.315814701947629,11.90897193793992,14.315814701947629,11.453294160392126,,,,,,TCGA-LUSC,KRAS-mut,KEAP1,TACSTD2
1,6,14.242347946968518,11.83573537972503,14.242347946968518,11.902884572345522,,,,,,TCGA-LUSC,KRAS-mut,KEAP1,CLDN4
