table,dcb_rate_mut,dcb_rate_wt,odds_ratio,fisher_p,n_mut,n_wt,cohort,background,co_mutation
"[[1, 0], [6, 1]]",1.0,0.8571428571428571,inf,1.0,1,7,Rizvi2015,KRAS-mut,STK11
"[[2, 0], [5, 1]]",1.0,0.8333333333333334,inf,1.0,2,6,Rizvi2015,KRAS-mut,KEAP1
"[[2, 5], [10, 6]]",0.2857142857142857,0.625,0.24,0.19302732534661465,7,16,Hellmann2018,KRAS-mut,STK11
"[[2, 1], [10, 10]]",0.6666666666666666,0.5,2.0,1.0,3,20,Hellmann2018,KRAS-mut,KEAP1
"[[6, 24], [21, 32]]",0.2,0.39622641509433965,0.38095238095238093,0.0888871305095593,30,53,Rizvi2018,KRAS-mut,STK11
"[[5, 13], [22, 43]]",0.2777777777777778,0.3384615384615385,0.7517482517482518,0.7787896730059324,18,65,Rizvi2018,KRAS-mut,KEAP1
