table,dcb_rate_mut,dcb_rate_wt,odds_ratio,fisher_p,n_mut,n_wt,cohort,genotype
"[[2, 1], [12, 16]]",0.6666666666666666,0.42857142857142855,2.6666666666666665,0.5764182424916574,3,28,Rizvi2015,STK11
"[[3, 0], [11, 17]]",1.0,0.39285714285714285,inf,0.08097886540600667,3,28,Rizvi2015,KEAP1
"[[7, 1], [7, 16]]",0.875,0.30434782608695654,16.0,0.010858155151814774,8,23,Rizvi2015,KRAS
"[[4, 1], [10, 16]]",0.8,0.38461538461538464,6.4,0.14835413834301486,5,26,Rizvi2015,STK11_or_KEAP1
"[[4, 6], [33, 32]]",0.4,0.5076923076923077,0.6464646464646465,0.7360516328840745,10,65,Hellmann2018,STK11
"[[6, 4], [31, 34]]",0.6,0.47692307692307695,1.6451612903225807,0.5160946602874696,10,65,Hellmann2018,KEAP1
"[[12, 11], [25, 27]]",0.5217391304347826,0.4807692307692308,1.1781818181818182,0.8054381425101274,23,52,Hellmann2018,KRAS
"[[7, 8], [30, 30]]",0.4666666666666667,0.5,0.875,1.0,15,60,Hellmann2018,STK11_or_KEAP1
"[[12, 40], [57, 118]]",0.23076923076923078,0.32571428571428573,0.6210526315789474,0.23067033320906316,52,175,Rizvi2018,STK11
"[[18, 34], [51, 124]]",0.34615384615384615,0.2914285714285714,1.28719723183391,0.493524974211555,52,175,Rizvi2018,KEAP1
"[[27, 56], [42, 102]]",0.3253012048192771,0.2916666666666667,1.1709183673469388,0.6537672925296398,83,144,Rizvi2018,KRAS
"[[24, 56], [45, 102]]",0.3,0.30612244897959184,0.9714285714285714,1.0,80,147,Rizvi2018,STK11_or_KEAP1
