quantity,n,rho,p
spearman_unadjusted_purity_subset,158,0.6884,1.5989793701167253e-23
spearman_partial_given_ABSOLUTE_purity,158,0.6904,1.0691016031761858e-23
spearman_TACSTD2_vs_purity,158,-0.0477,0.5519410266222151
spearman_CLDN4_vs_purity,158,0.0212,0.7915235806720573
