rank,gene,spearman_rho_vs_TACSTD2
1,GJB3,0.7608
2,TINAGL1,0.7476
3,GNA15,0.7464
4,PPP1R13L,0.7425
5,SPINT1,0.739
6,RHOC,0.7288
7,ST14,0.7271
8,PRSS22,0.7185
9,PLEKHN1,0.7159
10,SLC2A1,0.7146
11,AL445933.1,0.7142
12,AGRN,0.7136
13,CLDN4,0.7088
14,SDC4,0.7061
15,SERINC2,0.7045
16,KCNN4,0.7017
17,NIBAN2,0.7014
18,EPHA2,0.7002
19,PTPRU,0.6949
20,CDH3,0.694
21,RNF223,0.6921
22,WFDC2,0.6875
23,NECTIN4,0.6817
24,RHBDF1,0.6803
25,EVPL,0.6796
