subset,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_rho_ci95_lo,spearman_rho_ci95_hi
all_primary_tumors,178,0.7051,4.5346256449276625e-28,0.7088,1.8003901319046628e-28,0.6076,0.7913
excl_neuroendocrine_8246_3,170,0.6878,3.7867209046095287e-25,0.6753,5.520609079954804e-24,0.5645,0.7696
