accession	model	contrast	qualifies_as	gene	scale	n_ctrl	n_treat	ctrl_values	treat_values	mean_ctrl	mean_treat	log2FC	welch_p	direction	replicates_collapsed_in_deposit	note
GSE207704	MCF7 breast cancer line (deposited FPKM, replicates collapsed)	CLDN4-KO vs parental	ARM_A_CLDN4_genetic_loss	CD274	log2(FPKM+1)	1.0	1.0	0.9475	0.1499	0.9475457246008012	0.1499460757831727	-0.7975996488176283		DOWN	Y	raw FPKM WT=0.9286 KO=0.1095; ratio KO/WT=0.118; GEO lists 2 reps/arm but this file has 1 value. CLDN4 residual RNA remains high.
GSE207704	T47D breast cancer line (deposited FPKM, replicates collapsed)	CLDN4-KO vs parental	ARM_A_CLDN4_genetic_loss	CD274	log2(FPKM+1)	1.0	1.0	0.3501	0.8469	0.35007852188175	0.8468511121149928	0.4967725902332428		UP	Y	raw FPKM WT=0.2746 KO=0.7986; ratio KO/WT=2.91; GEO lists 2 reps/arm but this file has 1 value. CLDN4 residual RNA remains high.
GSE50927	mouse whole lung, Cldn4 KO vs WT (includes VILI-injured animals; not cancer)	deposited edgeR logFC (KO vs WT convention as in file)	ARM_A_CLDN4_genetic_loss_NOT_CANCER	Cd274	edgeR logFC							0.141225695	0.45614702	FLAT	Y	FDR=1; logCPM=5.12; Entrez=60533. Cldn4 KO is confirmed (logFC=-6.06). Not a tumor model.
GSE274940	EpH4 mouse mammary epithelium, complete Cldn-family null vs WT	Cldn-null vs WT	NEAR_MISS_all_claudins_not_CLDN4	Cd274	log2(count+1)	3.0	3.0	8.061;7.022;6.356	7.87;5.954;6.409	7.146461218142576	6.744650655369327	-0.4018105627732486	0.6262940010377371	DOWN	N	raw counts WT=[266.0, 129.0, 80.93] KO=[233.0, 61.0, 84.0]. Cldn4 RNA is NOT depleted in the KO columns (see Cldn4 row) — this accession cannot be read as CLDN4 loss.
GSE311016	CRC PDX (5 models), 29-day IMMU132 vs Control	IMMU132 (sacituzumab govitecan) vs Control	ARM_B_TROP2_ADC	CD274	log2(FPKM+1)	5.0	5.0	0.8038;0.369;0.1371;0.3462;0.1262	0.5649;0.1779;0.4078;0.05087;0.1768	0.3564332581407164	0.2756579905122194	-0.080775267628497	0.6145171673162867	FLAT	N	raw FPKM ctrl=[0.745634989504513, 0.291441702229507, 0.099656422366054, 0.271222755194894, 0.0913865391023066] IMMU132=[0.479254855390051, 0.131255940795575, 0.32666871437837, 0.0358918343060356, 0.130383591569027]; paired log2FC by PDX=['-0.239', '-0.191', '0.271', '-0.295', '0.051'] mean=-0.081
GSE334497	4T1 mouse mammary tumor, Trop2 KO vs WT	Trop2 KO vs WT	NEAR_MISS_TROP2_loss_not_ADC_not_CLDN4	Cd274	log2(norm+1)	5.0	5.0	9.325;8.544;8.169;10.28;8.89	9.675;10.22;9.646;9.367;10.16	9.041635720468538	9.813468237044804	0.7718325165762661	0.1048023165241863	UP	N	raw [640.253716755156, 372.333060510542, 286.874714665605, 1241.90141347482, 473.516436506948] vs [816.520657900484, 1189.18565958981, 800.056578147117, 659.121955498859, 1145.41190332705]. TROP2 loss, not TROP2 ADC, not CLDN4 loss. Paper (PMID 41932810) is barrier/claudin-7 immune exclusion.
GSE245459	SKOV-3 TACSTD2 shRNA (no cisplatin arms)	shTACSTD2 vs shNC	NEAR_MISS_TROP2_KD_not_ADC	CD274	log2(FPKM+1)	3.0	3.0	1.336;1.048;1.254	1.09;1.041;1.206	1.2128949904335875	1.1123006058714646	-0.1005943845621231	0.3795402150756922	FLAT	N	raw FPKM shNC=[1.525183964, 1.067684975, 1.385480806] sh=[1.128416566, 1.057829511, 1.306967722]
GSE22493	SKOV-3 CLDN4 siRNA vs overexpression	CD274 on GPL10555	ARM_A_CLDN4_genetic_loss_vs_OE_not_WT	CD274		0.0	0.0							NOT_ANNOTATED	N	GPL10555 symbols mapped=24697. CD274/PD-L1 not found. Cannot test C3 on this array.
GSE278664	ovarian tumor biopsies labeled BRCAmut / BRCAwt	none — not a sacituzumab-treatment series	EXCLUDED_title_mentions_SG_but_samples_are_baseline	CD274		0.0	0.0							NOT_A_TREATMENT_CONTRAST	N	Title mentions sacituzumab govitecan + berzosertib; deposited samples are pretreatment biopsies split by BRCA status. Cannot test C3 arm B.
GSE312098	CX-1 CRC line, 2-day	IMMU132 vs Control (X_1-3 vs X_4-6 = series-matrix order)	ARM_B_TROP2_ADC	CD274	log2(FPKM+1)	3.0	3.0	0.2219;0.2632;0.2111	0.562;0.4351;0.6361	0.30085179848495536	0.6249134466085086	0.3240616481235532	0.01948198177263427	UP	N	raw FPKM ctrl=[0.221908291468085, 0.263209619204784, 0.211106153855586] IMMU132=[0.561986791102259, 0.435051647782123, 0.636093757953895]. Column order locked to GEO series-matrix sample order (Control x3, IMMU132 x3, GSK x3, Combo x3).
GSE222450	Sq-1979 HNSCC in C3H/HeN, SN-38 vs vehicle	SN-38 vs Vehicle (A=Vehicle, E=SN-38 via !Sample_description)	MECH_SN38_payload_not_TROP2ADC	Cd274	log2(count+1)	3.0	3.0	2147;1928;1180	2761;1457;975	10.729402985143892	10.624003315382625	-0.10539966976126713	0.8487735393310416	FLAT	N	raw counts Vehicle(A)=[2147.0, 1928.0, 1180.0] SN-38(E)=[2761.0, 1457.0, 975.0]. Mapping from GEO !Sample_description. Paper claims protein PD-L1 down; RNA is flat.
