accession	model	contrast	qualifies_as	gene	scale	n_ctrl	n_treat	ctrl_values	treat_values	mean_ctrl	mean_treat	log2FC	welch_p	direction	replicates_collapsed_in_deposit	note
GSE207704	MCF7 breast cancer line (deposited FPKM, replicates collapsed)	CLDN4-KO vs parental	ARM_A_CLDN4_genetic_loss	CD274	log2(FPKM+1)	1.0	1.0	0.9475	0.1499	0.9475457246008012	0.1499460757831727	-0.7975996488176283		DOWN	Y	raw FPKM WT=0.9286 KO=0.1095; ratio KO/WT=0.118; GEO lists 2 reps/arm but this file has 1 value. CLDN4 residual RNA remains high.
GSE207704	T47D breast cancer line (deposited FPKM, replicates collapsed)	CLDN4-KO vs parental	ARM_A_CLDN4_genetic_loss	CD274	log2(FPKM+1)	1.0	1.0	0.3501	0.8469	0.35007852188175	0.8468511121149928	0.4967725902332428		UP	Y	raw FPKM WT=0.2746 KO=0.7986; ratio KO/WT=2.91; GEO lists 2 reps/arm but this file has 1 value. CLDN4 residual RNA remains high.
GSE207704	MCF7 breast cancer line (deposited FPKM, replicates collapsed)	CLDN4-KO vs parental	ARM_A_CLDN4_genetic_loss	CLDN4	log2(FPKM+1)	1.0	1.0	6.441	5.696	6.44052869292493	5.696258171659739	-0.7442705212651912		DOWN	Y	raw FPKM WT=85.85 KO=50.85; ratio KO/WT=0.592; GEO lists 2 reps/arm but this file has 1 value. CLDN4 residual RNA remains high.
GSE207704	T47D breast cancer line (deposited FPKM, replicates collapsed)	CLDN4-KO vs parental	ARM_A_CLDN4_genetic_loss	CLDN4	log2(FPKM+1)	1.0	1.0	5.443	4.422	5.443139158459064	4.421997466875283	-1.0211416915837814		DOWN	Y	raw FPKM WT=42.51 KO=20.44; ratio KO/WT=0.481; GEO lists 2 reps/arm but this file has 1 value. CLDN4 residual RNA remains high.
GSE207704	MCF7 breast cancer line (deposited FPKM, replicates collapsed)	CLDN4-KO vs parental	ARM_A_CLDN4_genetic_loss	TACSTD2	log2(FPKM+1)	1.0	1.0	5.929	4.933	5.928782462727783	4.932580916725429	-0.9962015460023546		DOWN	Y	raw FPKM WT=59.92 KO=29.54; ratio KO/WT=0.493; GEO lists 2 reps/arm but this file has 1 value. CLDN4 residual RNA remains high.
GSE207704	T47D breast cancer line (deposited FPKM, replicates collapsed)	CLDN4-KO vs parental	ARM_A_CLDN4_genetic_loss	TACSTD2	log2(FPKM+1)	1.0	1.0	5.921	5.304	5.921372059367256	5.304467234615279	-0.6169048247519768		DOWN	Y	raw FPKM WT=59.61 KO=38.52; ratio KO/WT=0.646; GEO lists 2 reps/arm but this file has 1 value. CLDN4 residual RNA remains high.
GSE207704	MCF7 breast cancer line (deposited FPKM, replicates collapsed)	CLDN4-KO vs parental	ARM_A_CLDN4_genetic_loss	STAT1	log2(FPKM+1)	1.0	1.0	5.169	5.117	5.169039075028634	5.116626753736639	-0.0524123212919951		FLAT	Y	raw FPKM WT=34.98 KO=33.69; ratio KO/WT=0.963; GEO lists 2 reps/arm but this file has 1 value. CLDN4 residual RNA remains high.
GSE207704	T47D breast cancer line (deposited FPKM, replicates collapsed)	CLDN4-KO vs parental	ARM_A_CLDN4_genetic_loss	STAT1	log2(FPKM+1)	1.0	1.0	4.653	4.755	4.652601217596519	4.754716505951239	0.10211528835472		FLAT	Y	raw FPKM WT=24.15 KO=26; ratio KO/WT=1.08; GEO lists 2 reps/arm but this file has 1 value. CLDN4 residual RNA remains high.
GSE50927	mouse whole lung, Cldn4 KO vs WT (includes VILI-injured animals; not cancer)	deposited edgeR logFC (KO vs WT convention as in file)	ARM_A_CLDN4_genetic_loss_NOT_CANCER	Cd274	edgeR logFC							0.141225695	0.45614702	FLAT	Y	FDR=1; logCPM=5.12; Entrez=60533. Cldn4 KO is confirmed (logFC=-6.06). Not a tumor model.
GSE50927	mouse whole lung, Cldn4 KO vs WT (includes VILI-injured animals; not cancer)	deposited edgeR logFC (KO vs WT convention as in file)	ARM_A_CLDN4_genetic_loss_NOT_CANCER	Cldn4	edgeR logFC							-6.061296179	1.7663000000000005e-29	DOWN	Y	FDR=4.07e-26; logCPM=2.25; Entrez=12740. Cldn4 KO is confirmed (logFC=-6.06). Not a tumor model.
GSE50927	mouse whole lung, Cldn4 KO vs WT (includes VILI-injured animals; not cancer)	deposited edgeR logFC (KO vs WT convention as in file)	ARM_A_CLDN4_genetic_loss_NOT_CANCER	Tacstd2	edgeR logFC							-0.144934323	0.485961384	FLAT	Y	FDR=1; logCPM=5.89; Entrez=56753. Cldn4 KO is confirmed (logFC=-6.06). Not a tumor model.
GSE50927	mouse whole lung, Cldn4 KO vs WT (includes VILI-injured animals; not cancer)	deposited edgeR logFC (KO vs WT convention as in file)	ARM_A_CLDN4_genetic_loss_NOT_CANCER	Pdcd1lg2	edgeR logFC							-0.987288948	0.077141147	DOWN	Y	FDR=0.518; logCPM=0.573; Entrez=58205. Cldn4 KO is confirmed (logFC=-6.06). Not a tumor model.
GSE274940	EpH4 mouse mammary epithelium, complete Cldn-family null vs WT	Cldn-null vs WT	NEAR_MISS_all_claudins_not_CLDN4	Cd274	log2(count+1)	3.0	3.0	8.061;7.022;6.356	7.87;5.954;6.409	7.146461218142576	6.744650655369327	-0.4018105627732486	0.6262940010377371	DOWN	N	raw counts WT=[266.0, 129.0, 80.93] KO=[233.0, 61.0, 84.0]. Cldn4 RNA is NOT depleted in the KO columns (see Cldn4 row) — this accession cannot be read as CLDN4 loss.
GSE274940	EpH4 mouse mammary epithelium, complete Cldn-family null vs WT	Cldn-null vs WT	NEAR_MISS_all_claudins_not_CLDN4	Cldn4	log2(count+1)	3.0	3.0	13.6;13.78;14.2	13.98;13.66;14.36	13.857677661626546	14.002203467907202	0.1445258062806562	0.619453514844641	FLAT	N	raw counts WT=[12380.0, 14085.0, 18757.0] KO=[16155.0, 12982.0, 21063.0]. Cldn4 RNA is NOT depleted in the KO columns (see Cldn4 row) — this accession cannot be read as CLDN4 loss.
