n_a	n_b	mean_a	mean_b	median_a	median_b	delta	welch_p	mwu_p	cliff_delta	contrast	feature	day
5	5	5.13624782946253	4.960234360148031	5.0046273775996575	5.000143687873271	-0.17601346931449857	0.5100829497945963	0.8412698412698413	-0.12	Fh1-/- vs Fh1+/+ day5	Cldn4	5
5	5	3.2466978975710865	3.187934585382099	3.4127272633522847	3.234184071224851	-0.05876331218898745	0.8398521529516673	0.8412698412698413	0.12	Fh1-/- vs Fh1+/+ day5	Cd274	5
5	5	0.8383388579745693	1.6701087456175323	0.9590152720062008	1.843460677812558	0.831769887642963	0.007708643863157033	0.007936507936507936	1.0	Fh1-/- vs Fh1+/+ day5	Cd8a	5
5	5	0.4098053417276536	-0.2512561681817221	0.5203965823205714	-0.4573942498520433	-0.6610615099093757	0.12540364013726682	0.2222222222222222	-0.52	Fh1-/- vs Fh1+/+ day5	IFN	5
5	5	0.037035083619784116	-0.76558790388897	-0.04249391596422617	-1.082171753108143	-0.8026229875087542	0.2205546344178678	0.42063492063492064	-0.36	Fh1-/- vs Fh1+/+ day5	MHC	5
5	5	-0.26723895213065435	-0.6321914997073541	-0.3370058331609743	-0.6700832550400846	-0.36495254757669976	0.30884868351926487	0.5476190476190477	-0.28	Fh1-/- vs Fh1+/+ day5	EPI	5
5	5	5.629965980072825	5.658782959520554	5.397674108299091	5.6025521472726085	0.028816979447729096	0.9252364177045989	0.42063492063492064	0.36	Fh1-/- vs Fh1+/+ day5	Tacstd2	5
5	5	7.983265219752463	7.7860751758848155	7.9926101584555695	7.787590966575632	-0.19719004386764727	0.014677579941619005	0.015873015873015872	-0.92	Fh1-/- vs Fh1+/+ day5	Fh1	5
5	5	3.3014693074156165	2.891319983466032	3.4323782520903783	2.765438690808929	-0.4101493239495846	0.28228769502818707	0.30952380952380953	-0.44	Fh1-/- vs Fh1+/+ day5	Ptprc	5
5	5	0.030441008659912182	0.01377403757542429	0.0	0.0	-0.01666697108448789	0.4944922125882139	0.440686016488678	-0.28	Fh1-/- vs Fh1+/+ day5	Ifng	5
5	5	5.849620487241595	5.660975075446059	5.6189172637952645	5.5129200636310385	-0.1886454117955365	0.5537507353004043	0.5476190476190477	-0.28	Fh1-/- vs Fh1+/+ day5	Stat1	5
5	5	1.4562634243058885	0.8767394777714402	1.5546385379854488	0.6040457784323039	-0.5795239465344483	0.0822127697628165	0.09523809523809523	-0.68	Fh1-/- vs Fh1+/+ day5	Cxcl9	5
5	5	2.6415356316372582	2.286694725360055	2.3917107463043314	2.309380080869187	-0.3548409062772033	0.19290068153984052	0.2222222222222222	-0.52	Fh1-/- vs Fh1+/+ day5	Cxcl10	5
5	5	0.33918332626353365	0.2400984587251282	0.2812994548807609	0.2173599374050566	-0.09908486753840545	0.47854119255854877	0.6904761904761905	-0.2	Fh1-/- vs Fh1+/+ day5	Ido1	5
5	5	6.901742553885154	5.9381078948262385	6.9017683316529395	6.373270256923513	-0.9636346590589158	0.24852385827233944	0.6904761904761905	-0.2	Fh1-/- vs Fh1+/+ day5	H2-Aa	5
5	5	8.047598941458773	7.348667982836941	8.015617833592344	7.171385340210869	-0.6989309586218324	0.1907758810652129	0.42063492063492064	-0.36	Fh1-/- vs Fh1+/+ day5	H2-K1	5
5	5	8.077022717310552	7.5402807811657935	8.069074048688627	7.495107954143819	-0.5367419361447583	0.14746461504402686	0.2222222222222222	-0.52	Fh1-/- vs Fh1+/+ day5	H2-D1	5
5	5	4.373004333862354	3.804470907691453	4.217694718419709	3.405126974418393	-0.5685334261709007	0.3222976762169417	0.42063492063492064	-0.36	Fh1-/- vs Fh1+/+ day5	H2-Q4	5
5	5	8.41399263664567	8.021365571748541	8.354338253531704	7.812134177874391	-0.3926270648971286	0.2702718621993164	0.42063492063492064	-0.36	Fh1-/- vs Fh1+/+ day5	B2m	5
5	5	4.369349525139976	3.745410958734928	4.217694718419709	3.405126974418393	-0.6239385664050476	0.23703249306963076	0.42063492063492064	-0.36	Fh1-/- vs Fh1+/+ day5	Tap1	5
5	5	5.075839307719139	4.315363547443132	5.075789896248464	4.049264385145594	-0.760475760276007	0.20798509823414496	0.2222222222222222	-0.52	Fh1-/- vs Fh1+/+ day5	Tap2	5
5	5	5.484129818902149	6.465011093416547	5.346538161108156	5.272587983014714	0.980881274514398	0.2964766490226921	0.6904761904761905	0.2	Fh1-/- vs Fh1+/+ day10	Cldn4	10
5	5	3.2721395790685195	2.7528550552461586	3.4863603868671835	2.933001671153372	-0.5192845238223609	0.10134189869138643	0.09523809523809523	-0.68	Fh1-/- vs Fh1+/+ day10	Cd274	10
5	5	0.8652300392480118	0.7685299145104452	0.7290440433019915	0.7192372995413423	-0.09670012473756662	0.7309391608201868	1.0	-0.04	Fh1-/- vs Fh1+/+ day10	Cd8a	10
5	5	0.24050073361380164	-0.3990499071597338	0.23694360334763412	-0.4370196096698516	-0.6395506407735354	0.040819141431837916	0.05555555555555555	-0.76	Fh1-/- vs Fh1+/+ day10	IFN	10
5	5	0.09480064616834308	0.6337521741008426	0.11942935016346663	0.02489096191103396	0.5389515279324996	0.4100017914113644	1.0	0.04	Fh1-/- vs Fh1+/+ day10	MHC	10
5	5	0.18653025628470096	0.7129001955533065	-0.14599563103016622	0.5501505912702285	0.5263699392686055	0.42535519338163696	0.6904761904761905	0.2	Fh1-/- vs Fh1+/+ day10	EPI	10
5	5	5.988641308491458	6.648207291957357	5.861970219832743	6.264950566017694	0.6595659834658996	0.3264421767493432	0.42063492063492064	0.36	Fh1-/- vs Fh1+/+ day10	Tacstd2	10
5	5	7.983275290548924	8.329297396980488	7.992202706822001	8.244030704425253	0.3460221064315636	0.041127946843634564	0.015873015873015872	0.92	Fh1-/- vs Fh1+/+ day10	Fh1	10
5	5	3.7721220148017283	2.278565155899104	3.7277788742090694	2.78235361932166	-1.4935568589026245	0.02044702421478093	0.007936507936507936	-1.0	Fh1-/- vs Fh1+/+ day10	Ptprc	10
5	5	0.0	0.0	0.0	0.0	0.0			0.0	Fh1-/- vs Fh1+/+ day10	Ifng	10
5	5	5.5484105156266885	5.32331680572845	5.5071138760009735	5.210350640115664	-0.22509370989823818	0.44634406544264815	0.42063492063492064	-0.36	Fh1-/- vs Fh1+/+ day10	Stat1	10
5	5	1.8550731068849415	0.3182505884916525	1.7915009073421813	0.2365524717400267	-1.536822518393289	1.0446966340351511e-05	0.007936507936507936	-1.0	Fh1-/- vs Fh1+/+ day10	Cxcl9	10
5	5	2.718486509257794	3.342828303234087	2.5710183190462117	2.411620547411138	0.624341793976293	0.5016533553905912	0.8412698412698413	-0.12	Fh1-/- vs Fh1+/+ day10	Cxcl10	10
5	5	0.3216652142528459	0.14942506042714582	0.3787482385165926	0.08236958290064403	-0.17224015382570007	0.12113950472465722	0.2222222222222222	-0.52	Fh1-/- vs Fh1+/+ day10	Ido1	10
5	5	7.0869801253198315	6.46986170418554	7.06043782515521	6.564628240786014	-0.6171184211342915	0.0023874028987058127	0.007936507936507936	-1.0	Fh1-/- vs Fh1+/+ day10	H2-Aa	10
5	5	8.246379581811258	8.55963941888784	8.281885303002978	8.160918828401574	0.31325983707658267	0.5006652561308514	1.0	-0.04	Fh1-/- vs Fh1+/+ day10	H2-K1	10
5	5	8.197219982793316	8.720727871102966	8.25307760498586	8.12581618372983	0.5235078883096502	0.29491309683481076	0.8412698412698413	0.12	Fh1-/- vs Fh1+/+ day10	H2-D1	10
5	5	4.438900161405045	4.738554515417292	4.468743164253147	4.356390880432597	0.2996543540122465	0.5352955889337271	0.8412698412698413	0.12	Fh1-/- vs Fh1+/+ day10	H2-Q4	10
5	5	8.383969477360797	8.779324964369263	8.275858333020878	8.291592239534445	0.3953554870084659	0.38339736870087476	0.6904761904761905	0.2	Fh1-/- vs Fh1+/+ day10	B2m	10
5	5	4.404134960654403	4.909698781139601	4.376754428595275	3.936394919554676	0.5055638204851975	0.5064823433400555	0.6904761904761905	-0.2	Fh1-/- vs Fh1+/+ day10	Tap1	10
5	5	4.963358509029598	5.3001318626912655	5.00189445351923	5.359935000013096	0.33677335366166705	0.3322939157608518	0.42063492063492064	0.36	Fh1-/- vs Fh1+/+ day10	Tap2	10
10	10	5.31018882418234	5.712622726782289	5.155117201387766	5.1708384325268435	0.4024339025999488	0.4271182323124964	0.7913367801006604	0.08	Fh1-/- vs Fh1+/+ pooled	Cldn4	pooled
10	10	3.2594187383198028	2.970394820314129	3.4425905185928958	3.016446927747706	-0.28902391800567395	0.16793205454097468	0.3074894566186813	-0.28	Fh1-/- vs Fh1+/+ pooled	Cd274	pooled
10	10	0.8517844486112904	1.2193193300639886	0.8440296576540962	1.2407802625796154	0.3675348814526982	0.12054209603710393	0.12122450301291662	0.42	Fh1-/- vs Fh1+/+ pooled	Cd8a	pooled
10	10	0.32515303767072756	-0.325153037670728	0.4535674816381483	-0.44720692976094745	-0.6503060753414556	0.008562263192128057	0.0211339281291611	-0.62	Fh1-/- vs Fh1+/+ pooled	IFN	pooled
10	10	0.06591786489406361	-0.06591786489406373	-0.028606993852186527	-0.11806233244007908	-0.13183572978812735	0.7783381572129863	0.6231762238821174	-0.14	Fh1-/- vs Fh1+/+ pooled	MHC	pooled
10	10	-0.04035434792297671	0.04035434792297615	-0.23585078578347818	-0.26119747950191036	0.08070869584595286	0.8461034376017446	0.9698499769931556	-0.02	Fh1-/- vs Fh1+/+ pooled	EPI	pooled
10	10	5.809303644282141	6.153495125738955	5.5779162135913944	5.799653692149095	0.34419148145681344	0.3657147784015071	0.24132159301718004	0.32	Fh1-/- vs Fh1+/+ pooled	Tacstd2	pooled
10	10	7.983270255150693	8.057686286432652	7.992406432638785	7.931791258804095	0.0744160312819595	0.5149057049885204	0.9698499769931556	-0.02	Fh1-/- vs Fh1+/+ pooled	Fh1	pooled
10	10	3.5367956611086724	2.584942569682568	3.5394996822530302	2.7738961550652945	-0.9518530914261043	0.005948764703207623	0.004586392080253494	-0.76	Fh1-/- vs Fh1+/+ pooled	Ptprc	pooled
10	10	0.015220504329956091	0.006887018787712145	0.0	0.0	-0.008333485542243946	0.5067825501554983	0.5036312588983317	-0.12	Fh1-/- vs Fh1+/+ pooled	Ifng	pooled
10	10	5.699015501434142	5.492145940587253	5.594342699583225	5.4795516671303925	-0.20686956084688912	0.33626602377430215	0.3447042220069576	-0.26	Fh1-/- vs Fh1+/+ pooled	Stat1	pooled
10	10	1.6556682655954151	0.5974950331315463	1.7123421717471736	0.4412963154223052	-1.0581732324638689	4.294693580660124e-05	0.0007685389131627665	-0.9	Fh1-/- vs Fh1+/+ pooled	Cxcl9	pooled
10	10	2.6800110704475264	2.814761514297071	2.4916384969642777	2.3098302923303953	0.1347504438495446	0.772151505644048	0.27303633975118835	-0.3	Fh1-/- vs Fh1+/+ pooled	Cxcl10	pooled
10	10	0.33042427025818977	0.194761759576137	0.3300238466986768	0.20908780060993948	-0.13566251068205276	0.1052787877986819	0.12122450301291662	-0.42	Fh1-/- vs Fh1+/+ pooled	Ido1	pooled
10	10	6.994361339602494	6.203984799505891	6.992331639335841	6.468949248854764	-0.7903765400966032	0.05202648912663346	0.025748080821108063	-0.6	Fh1-/- vs Fh1+/+ pooled	H2-Aa	pooled
10	10	8.146989261635015	7.95415370086239	8.134013159103128	8.049639185226631	-0.19283556077262531	0.6047883887432985	0.5205228832757727	-0.18	Fh1-/- vs Fh1+/+ pooled	H2-K1	pooled
10	10	8.137121350051933	8.130504326134378	8.089358896285285	8.053895834091847	-0.0066170239175544765	0.9840502935438458	0.6775849579524755	-0.12	Fh1-/- vs Fh1+/+ pooled	H2-D1	pooled
