subset	n	feature	rho	p
all	20	Cd274	0.19548872180451127	0.408819089520232
all	20	Cd8a	0.07669172932330826	0.74793344754194
all	20	IFN	0.27368421052631575	0.24296636906130648
all	20	MHC	0.625563909774436	0.0031783546111788592
all	20	EPI	0.9037593984962405	4.7228178320073106e-08
all	20	Tacstd2	0.9233082706766916	6.582911442531832e-09
Fh1+/+	10	Cd274	0.6121212121212121	0.05997214247725527
Fh1+/+	10	Cd8a	0.5878787878787878	0.07387770688865808
Fh1+/+	10	IFN	0.2727272727272727	0.4458383415427516
Fh1+/+	10	MHC	0.4545454545454545	0.18690481034933196
Fh1+/+	10	EPI	0.9636363636363635	7.3209748095299185e-06
Fh1+/+	10	Tacstd2	0.9636363636363635	7.3209748095299185e-06
Fh1-/-	10	Cd274	-0.1515151515151515	0.6760651759978539
Fh1-/-	10	Cd8a	-0.3696969696969697	0.29305007529282234
Fh1-/-	10	IFN	0.5757575757575757	0.08155281477260244
Fh1-/-	10	MHC	0.7939393939393938	0.006099923313696911
Fh1-/-	10	EPI	0.8303030303030302	0.002940227023279509
Fh1-/-	10	Tacstd2	0.9030303030303028	0.0003436121977632824
day5	10	Cd274	0.28484848484848485	0.4250381548921454
day5	10	Cd8a	0.2121212121212121	0.5563057751029299
day5	10	IFN	0.3939393939393939	0.25999776683488757
day5	10	MHC	0.7696969696969697	0.009221952722215994
day5	10	EPI	0.7696969696969697	0.009221952722215994
day5	10	Tacstd2	0.8303030303030302	0.002940227023279509
day10	10	Cd274	0.5272727272727272	0.11730806555020232
day10	10	Cd8a	0.32121212121212117	0.36546831043867045
day10	10	IFN	0.5030303030303029	0.13833369839449194
day10	10	MHC	0.6727272727272726	0.03304122254543772
day10	10	EPI	0.9030303030303028	0.0003436121977632824
day10	10	Tacstd2	0.9515151515151514	2.279854920641689e-05
drop_two_high_Cldn4_HOM_d10	18	Cd274	0.23426212590299278	0.34945414298064165
drop_two_high_Cldn4_HOM_d10	18	Cd8a	0.18059855521155832	0.47328926682499955
drop_two_high_Cldn4_HOM_d10	18	IFN	0.3312693498452013	0.179322144399268
drop_two_high_Cldn4_HOM_d10	18	MHC	0.48606811145510836	0.040833484782080244
drop_two_high_Cldn4_HOM_d10	18	EPI	0.8679050567595459	3.054546058934943e-06
drop_two_high_Cldn4_HOM_d10	18	Tacstd2	0.894736842105263	5.42211053466031e-07
