gene	found	mean_cpm	n_nonzero	total_counts
Cldn4	True	67.35627762560009	20	24938
Tacstd2	True	75.1712256493279	20	28164
Fh1	True	262.44716084684296	20	99547
Cldn3	True	33.44665932370635	20	12579
Cldn7	True	51.033088551941546	20	19118
Ifng	True	0.00786152150401449	3	3
Stat1	True	49.878620786230606	20	18901
Cxcl9	True	1.4165113867929988	20	530
Cxcl10	True	8.296993372009078	20	3100
Ido1	True	0.20929412518110574	19	78
H2-Aa	True	108.50707994751117	20	40676
H2-K1	True	303.44552376363947	20	113834
H2-D1	True	318.2411161345901	20	119346
H2-Q4	True	22.279095646333296	20	8390
B2m	True	369.495215999891	20	139198
Tap1	True	25.48507175748038	20	9498
Tap2	True	32.59842404048893	20	12250
Epcam	True	142.5163733613107	20	54157
Cdh1	True	336.6731996506365	20	127232
Krt8	True	96.45695147280318	20	36420
Krt18	True	33.58178246631997	20	12603
Cd8a	True	1.1860679826333849	20	462
Cd8b1	True	0.17699842207356817	17	67
Cd3d	True	0.3245074122736016	19	124
Cd3e	True	0.3467292185203006	19	131
Gzma	True	0.2355349103560612	16	88
Gzmb	True	0.18602290767135488	16	70
Prf1	True	0.24536230583546498	16	93
Cd274	True	8.056660655308056	20	3085
Cxcl13	True	0.8355431818602449	19	311
Ms4a1	True	0.16230507186371837	16	61
Ptprc	True	8.377864951842449	20	3158
