pair	feature	n	rho	p	ci95_lo	ci95_hi	rho_adj_Cd8a	p_adj_Cd8a	rho_adj_EPI	p_adj_EPI
Cldn4 vs Cd274	Cd274	20	0.19548872180451127	0.408819089520232	-0.2299632086970311	0.5720789074355084	0.10977443609022557	0.6450049409876998	-0.3083866333167411	0.18588146982457113
Cldn4 vs Cd8a	Cd8a	20	0.07669172932330826	0.74793344754194	-0.41995938029621993	0.522708324383818			0.11278195488721804	0.6359170579042354
Cldn4 vs IFN mean-z	IFN	20	0.27368421052631575	0.24296636906130648	-0.2053197307726323	0.6373640424331024	0.28120300751879695	0.22974103217104475	-0.12330827067669171	0.604508830626885
Cldn4 vs MHC-I mean-z	MHC	20	0.625563909774436	0.0031783546111788592	0.24216160238993933	0.8575784529626317	0.625563909774436	0.0031783546111788592	-0.04661654135338346	0.8452698052894376
Cldn4 vs epithelial mean-z	EPI	20	0.9037593984962405	4.7228178320073106e-08	0.7280244891646986	0.9862922369626945	0.9037593984962405	4.7228178320073106e-08		
Cldn4 vs Tacstd2	Tacstd2	20	0.9233082706766916	6.582911442531832e-09	0.7579195370214017	0.9788043372450844	0.9413533834586465	6.293602987073962e-10	0.7007518796992479	0.0005786641020194404
Cldn4 vs Fh1	Fh1	20	0.38646616541353385	0.09234164249328163	-0.0599870947625523	0.699227621667755	0.47518796992481205	0.034227251145071226	-0.0781954887218045	0.7431490742332264
Cldn4 vs Ptprc	Ptprc	20	-0.006015037593984962	0.9799209119891912	-0.5296893067347257	0.5227289997236806	0.004511278195488721	0.9849400483404017	-0.25864661654135335	0.27085579801415904
Cldn4 vs H2-K1	H2-K1	20	0.6796992481203006	0.000978281723987189	0.2925674791137807	0.8900049089805295	0.7127819548872181	0.00042017538910877754	-0.11578947368421053	0.6268789936728246
Cldn4 vs H2-D1	H2-D1	20	0.6421052631578947	0.0022698795673186797	0.2597361067172836	0.8823309385399851	0.6496240601503759	0.0019353332844401446	-0.07368421052631578	0.7575286998643431
Cldn4 vs H2-Q4	H2-Q4	20	0.6120300751879698	0.004129875210325547	0.22307234171693033	0.855537689025629	0.6120300751879698	0.004129875210325547	-0.12781954887218044	0.5912462398946647
Cldn4 vs B2m	B2m	20	0.6556390977443608	0.0016983661049514527	0.2676348900642886	0.8688528965800253	0.6556390977443608	0.0016983661049514527	0.12030075187969923	0.6134176645307824
Cldn4 vs Tap1	Tap1	20	0.6857142857142857	0.000845615608485296	0.33788716929833734	0.8862817873518063	0.6857142857142857	0.000845615608485296	-0.007518796992481202	0.97490250199334
Cldn4 vs Tap2	Tap2	20	0.49323308270676686	0.02711420494194422	0.05246589284778819	0.7937870746892735	0.5413533834586466	0.0136974953970477	-0.1609022556390977	0.4979744144247944
Cldn4 vs Ifng	Ifng	20	-0.37009570620129095	0.10823387716497707	-0.6749289755686665	-0.019975644561401017	-0.2571428571428572	0.27375050350001545	-0.22406015037593985	0.3422863508112142
Cldn4 vs Stat1	Stat1	20	0.44360902255639095	0.05008922172295619	0.11773587107200825	0.6800820364722291	0.4857142857142857	0.029920782525592465	0.17593984962406017	0.4580986587024855
Cldn4 vs Cxcl9	Cxcl9	20	0.016541353383458645	0.9448174502147446	-0.49006078224101485	0.5692868674690444	0.016541353383458645	0.9448174502147446	-0.07669172932330826	0.74793344754194
Cldn4 vs Cxcl10	Cxcl10	20	0.4466165413533834	0.04837283310926691	-0.028967590350724104	0.7719097441760421	0.4466165413533834	0.04837283310926691	-0.3714285714285714	0.10687070696592824
Cldn4 vs Ido1	Ido1	20	0.05714285714285714	0.8108800461568324	-0.45880976504076815	0.5851692219085769	0.08421052631578946	0.7241036435108114	0.20601503759398496	0.3835325530925867
Cldn4 vs H2-Aa	H2-Aa	20	0.20601503759398496	0.3835325530925867	-0.2916610804506929	0.5909325449527082	0.20601503759398496	0.3835325530925867	-0.09323308270676692	0.6958288642370746
Cldn4 vs Epcam	Epcam	20	0.7383458646616541	0.0002014294307883675	0.4313694566580019	0.9070865489590784	0.7172932330827068	0.0003711409336667315	-0.3954887218045112	0.08435163245001213
Cldn4 vs Cdh1	Cdh1	20	0.8721804511278194	5.389740442330201e-07	0.6469619481612631	0.9591249625069628	0.8691729323308269	6.569039927296348e-07	0.12932330827067667	0.586852724489982
Cldn4 vs Krt8	Krt8	20	0.7157894736842104	0.0003869132784631133	0.3267628401906249	0.9224364048953289	0.7368421052631579	0.00021080775336363295	0.08571428571428572	0.7193660879190987
Cldn4 vs Krt18	Krt18	20	0.8030075187969924	2.0243327207549957e-05	0.5052919368188716	0.9243305764491759	0.8240601503759398	7.946551309934535e-06	0.3203007518796992	0.16857704306462595
Cldn4 vs Cldn3	Cldn3	20	0.6270676691729322	0.0030849406991404035	0.25190029437809636	0.8492088988534111	0.6766917293233082	0.0010509401983731896	-0.19248120300751878	0.41620647341979905
Cldn4 vs Cldn7	Cldn7	20	0.8210526315789473	9.148582181124784e-06	0.494312445209372	0.9576086744901686	0.8075187969924811	1.672632854671641e-05	0.24812030075187969	0.29152268710345763
