sample	n_cells_high_nhood	n_cells_low_nhood	frac_tnk_high_nhood	frac_tnk_low_nhood	dataset	graph	n_cells	n_malignant	n_tnk	malignant_cldn4	frac_tnk	cldn4_arm	in_pair_n
NS_13	111	877	0.036036036036036036	0.004561003420752566	GSE131907	GSE131907_mBrain	4803	1352	1780	1.2590223550796509	0.3706017072662919	low	False
NS_04	125	742	0.0	0.0	GSE131907	GSE131907_mBrain	1718	1229	131	1.3547914028167725	0.07625145518044238	high	False
NS_19	1	563	0.0	0.003552397868561279	GSE131907	GSE131907_mBrain	3111	755	370	1.018040657043457	0.11893281902925104	low	False
NS_17	612	141	0.0	0.0	GSE131907	GSE131907_mBrain	2252	1112	410	2.1043753623962402	0.18206039076376554	high	False
NS_02	3	171	0.0	0.07602339181286549	GSE131907	GSE131907_mBrain	2219	181	977	0.8218572735786438	0.4402884182063993	low	False
NS_16	1	44	1.0	0.045454545454545456	GSE131907	GSE131907_mBrain	907	79	385	0.07498374581336975	0.4244762954796031	low	False
NS_07	2275	1981	0.0	0.0	GSE131907	GSE131907_mBrain	5646	5108	166	1.7547770738601685	0.029401346085724405	high	False
NS_12	1018	1333	0.0	0.015003750937734433	GSE131907	GSE131907_mBrain	3133	2811	22	1.687066912651062	0.007022023619533993	high	False
NS_06	30	100	0.0	0.19	GSE131907	GSE131907_mBrain	939	83	383	1.161139965057373	0.4078807241746539	low	False
NS_03	1687	477	0.0	0.006289308176100629	GSE131907	GSE131907_mBrain	2980	2713	145	1.9987878799438477	0.04865771812080537	high	False
