nhood	n_samples_present	n_samples_A	n_samples_B	n_cells	mean_prop_A	mean_prop_B	logFC_B_minus_A	t	p	testable	BH_FDR	SpatialFDR
0	1	0	1	31	0.0	0.0010981225646475381				False		
1	1	0	1	31	0.0	0.0010981225646475381				False		
2	1	0	1	31	0.0	0.001978933929141398				False		
3	1	1	0	31	0.002794051374493015	0.0				False		
4	1	1	0	31	0.0012908598792421404	0.0				False		
5	1	0	1	31	0.0	0.0036088474970896395				False		
6	1	1	0	31	0.002794051374493015	0.0				False		
7	1	0	1	31	0.0	0.0010981225646475381				False		
8	1	1	0	31	0.002794051374493015	0.0				False		
9	1	0	1	31	0.0	0.0010981225646475381				False		
10	1	1	0	31	0.0012908598792421404	0.0				False		
11	1	1	0	31	0.0012908598792421404	0.0				False		
12	6	3	3	31	0.0020794923625304155	0.0009735631384288135	-1.094877055299179	-0.8957968481473646	0.4120871524860833	True	0.6265143496239195	0.6532715470275513
13	1	0	1	31	0.0	0.0010981225646475381				False		
14	1	0	1	31	0.0	0.001978933929141398				False		
15	3	0	3	31	0.0	0.0019690769784818773				False		
16	2	2	0	31	0.003039775086015297	0.0				False		
17	1	1	0	31	0.001992928318868531	0.0				False		
18	1	1	0	31	0.006835722160970231	0.0				False		
19	1	1	0	31	0.0012908598792421404	0.0				False		
20	3	0	3	31	0.0	0.0019821870408832038				False		
21	2	2	0	31	0.005865597768521545	0.0				False		
22	1	1	0	31	0.001992928318868531	0.0				False		
23	1	0	1	31	0.0	0.0036088474970896395				False		
24	1	0	1	31	0.0	0.0010981225646475381				False		
25	1	0	1	31	0.0	0.002753108348134991				False		
26	1	1	0	31	0.0012908598792421404	0.0				False		
27	1	1	0	31	0.0012908598792421404	0.0				False		
28	2	0	2	31	0.0	0.0019505206593190157				False		
29	2	0	2	31	0.0	0.0020488461273289638				False		
30	1	0	1	31	0.0	0.0010981225646475381				False		
31	1	0	1	31	0.0	0.002753108348134991				False		
32	1	1	0	31	0.0012908598792421404	0.0				False		
