cohort	n_tumors	n_cldn4_protein	n_cldn4_protein_na	n_cd274_protein	n_cldn4_vs_cd274	cldn4_row	cd274_row
LUAD	110	79	31	110	79	ENSG00000189143.9	ENSG00000120217.14
LSCC	108	78	30	108	78	ENSG00000189143.9	ENSG00000120217.14
