cohort	symbol	class	ensembl_query	row	present	n_quantified	n_pairwise_with_cldn4	usable_n_ge_8
LUAD	CD274	primary	ENSG00000120217	ENSG00000120217.14	True	110	79	True
LUAD	IFNG	ifn_ligand	ENSG00000111537		False	0	0	False
LUAD	IFNA1	ifn_ligand	ENSG00000197919		False	0	0	False
LUAD	IFNB1	ifn_ligand	ENSG00000171855		False	0	0	False
LUAD	IFNAR1	ifn_receptor	ENSG00000142166	ENSG00000142166.13	True	88	61	True
LUAD	IFNAR2	ifn_receptor	ENSG00000159110		False	0	0	False
LUAD	IFNGR1	ifn_receptor	ENSG00000027697	ENSG00000027697.15	True	110	79	True
LUAD	IFNGR2	ifn_receptor	ENSG00000159128		False	0	0	False
LUAD	STAT1	ifn_signaling	ENSG00000115415	ENSG00000115415.20	True	110	79	True
LUAD	STAT2	ifn_signaling	ENSG00000170581	ENSG00000170581.14	True	110	79	True
LUAD	IRF1	ifn_signaling	ENSG00000125347	ENSG00000125347.14	True	85	67	True
LUAD	IRF9	ifn_signaling	ENSG00000213928	ENSG00000213928.9	True	110	79	True
LUAD	JAK1	ifn_signaling	ENSG00000162434	ENSG00000162434.13	True	110	79	True
LUAD	JAK2	ifn_signaling	ENSG00000096968	ENSG00000096968.14	True	110	79	True
LUAD	ISG15	ifn_isg	ENSG00000187608	ENSG00000187608.10	True	110	79	True
LUAD	MX1	ifn_isg	ENSG00000157601	ENSG00000157601.14	True	110	79	True
LUAD	OAS1	ifn_isg	ENSG00000089127	ENSG00000089127.13	True	110	79	True
LUAD	IFI35	ifn_isg	ENSG00000068079	ENSG00000068079.8	True	110	79	True
LUAD	HLA-A	mhc1_extra	ENSG00000206503	ENSG00000206503.13	True	110	79	True
LUAD	HLA-B	mhc1_extra	ENSG00000234745	ENSG00000234745.11	True	110	79	True
LUAD	HLA-C	mhc1_extra	ENSG00000204525	ENSG00000204525.16	True	110	79	True
LUAD	B2M	mhc1_extra	ENSG00000166710		False	0	0	False
LSCC	CD274	primary	ENSG00000120217	ENSG00000120217.14	True	108	78	True
LSCC	IFNG	ifn_ligand	ENSG00000111537		False	0	0	False
LSCC	IFNA1	ifn_ligand	ENSG00000197919		False	0	0	False
LSCC	IFNB1	ifn_ligand	ENSG00000171855		False	0	0	False
LSCC	IFNAR1	ifn_receptor	ENSG00000142166	ENSG00000142166.13	True	60	45	True
LSCC	IFNAR2	ifn_receptor	ENSG00000159110	ENSG00000159110.20	True	10	0	False
LSCC	IFNGR1	ifn_receptor	ENSG00000027697	ENSG00000027697.15	True	108	78	True
LSCC	IFNGR2	ifn_receptor	ENSG00000159128		False	0	0	False
LSCC	STAT1	ifn_signaling	ENSG00000115415	ENSG00000115415.20	True	108	78	True
LSCC	STAT2	ifn_signaling	ENSG00000170581	ENSG00000170581.14	True	108	78	True
LSCC	IRF1	ifn_signaling	ENSG00000125347	ENSG00000125347.14	True	90	65	True
LSCC	IRF9	ifn_signaling	ENSG00000213928	ENSG00000213928.9	True	108	78	True
LSCC	JAK1	ifn_signaling	ENSG00000162434	ENSG00000162434.13	True	108	78	True
LSCC	JAK2	ifn_signaling	ENSG00000096968	ENSG00000096968.14	True	108	78	True
LSCC	ISG15	ifn_isg	ENSG00000187608	ENSG00000187608.10	True	108	78	True
LSCC	MX1	ifn_isg	ENSG00000157601	ENSG00000157601.14	True	108	78	True
LSCC	OAS1	ifn_isg	ENSG00000089127	ENSG00000089127.13	True	108	78	True
LSCC	IFI35	ifn_isg	ENSG00000068079	ENSG00000068079.8	True	108	78	True
LSCC	HLA-A	mhc1_extra	ENSG00000206503	ENSG00000206503.13	True	108	78	True
LSCC	HLA-B	mhc1_extra	ENSG00000234745	ENSG00000234745.11	True	108	78	True
LSCC	HLA-C	mhc1_extra	ENSG00000204525	ENSG00000204525.16	True	108	78	True
LSCC	B2M	mhc1_extra	ENSG00000166710		False	0	0	False
