cohort	predictor	endpoint	symbol	class	row	present	usable	n	rho	p	ci_lo	ci_hi	members_used	n_members_used	n_members_requested
LUAD	CLDN4_protein	ISG15_protein	ISG15	ifn_isg	ENSG00000187608.10	True	True	79	-0.05460077896786758	0.6327044599651721	-0.28023247051866385	0.17784616927603994			
LUAD	CLDN4_protein	MX1_protein	MX1	ifn_isg	ENSG00000157601.14	True	True	79	-0.03697663096397274	0.7462956781635007	-0.25346425100430187	0.17971287376875975			
LUAD	CLDN4_protein	OAS1_protein	OAS1	ifn_isg	ENSG00000089127.13	True	True	79	-0.1828140214216164	0.10682948130821256	-0.3839320993876129	0.031124952909844475			
LUAD	CLDN4_protein	IFI35_protein	IFI35	ifn_isg	ENSG00000068079.8	True	True	79	-0.1283592989289192	0.25958667346222314	-0.3614085644151585	0.09841473189800204			
LUAD	CLDN4_protein	HLA-A_protein	HLA-A	mhc1_extra	ENSG00000206503.13	True	True	79	-0.10133885102239533	0.37418943835668633	-0.33262324134292215	0.12698280141135354			
LUAD	CLDN4_protein	HLA-B_protein	HLA-B	mhc1_extra	ENSG00000234745.11	True	True	79	0.03880233690360273	0.7342229634903079	-0.18740340435741715	0.2584634344681158			
LUAD	CLDN4_protein	HLA-C_protein	HLA-C	mhc1_extra	ENSG00000204525.16	True	True	79	0.07061830574488803	0.5362869814943989	-0.1413349719374821	0.2679312525169626			
LUAD	CLDN4_protein	B2M_protein	B2M	mhc1_extra		False	False	0							
LUAD	CLDN4_protein	IFN_core_protein	IFN_core_protein	score	STAT1,STAT2,IRF1,IRF9,JAK1,JAK2,ISG15,MX1,OAS1,IFI35	True	True	79	-0.19235637779941578	0.08944180748999395	-0.42270029971347284	0.031607304015580616	STAT1,STAT2,IRF1,IRF9,JAK1,JAK2,ISG15,MX1,OAS1,IFI35	10.0	10.0
LUAD	CLDN4_protein	MHC1_protein	MHC1_protein	score	HLA-A,HLA-B,HLA-C	True	True	79	0.04946445959104188	0.6650821699051745	-0.19880064568088548	0.2789209288960369	HLA-A,HLA-B,HLA-C	3.0	4.0
LSCC	CLDN4_protein	CD274_protein	CD274	primary	ENSG00000120217.14	True	True	78	-0.09839527561046549	0.3914140623292153	-0.31189514573714905	0.14015738174054576			
LSCC	CLDN4_protein	IFNG_protein	IFNG	ifn_ligand		False	False	0							
LSCC	CLDN4_protein	IFNA1_protein	IFNA1	ifn_ligand		False	False	0							
LSCC	CLDN4_protein	IFNB1_protein	IFNB1	ifn_ligand		False	False	0							
LSCC	CLDN4_protein	IFNAR1_protein	IFNAR1	ifn_receptor	ENSG00000142166.13	True	True	45	-0.422266139657444	0.0038594657686990114	-0.6352233610962765	-0.1594977265205811			
LSCC	CLDN4_protein	IFNAR2_protein	IFNAR2	ifn_receptor	ENSG00000159110.20	True	False	0							
LSCC	CLDN4_protein	IFNGR1_protein	IFNGR1	ifn_receptor	ENSG00000027697.15	True	True	78	-0.34561640890754813	0.001940280278282803	-0.5306485425288754	-0.13686423151195148			
LSCC	CLDN4_protein	IFNGR2_protein	IFNGR2	ifn_receptor		False	False	0							
LSCC	CLDN4_protein	STAT1_protein	STAT1	ifn_signaling	ENSG00000115415.20	True	True	78	-0.25421414029008965	0.0247075349559873	-0.4630241843186508	-0.025096860901445056			
LSCC	CLDN4_protein	STAT2_protein	STAT2	ifn_signaling	ENSG00000170581.14	True	True	78	-0.09407048647554976	0.4126646688545533	-0.31180033539936974	0.1417898691168127			
LSCC	CLDN4_protein	IRF1_protein	IRF1	ifn_signaling	ENSG00000125347.14	True	True	65	-0.21936188811188811	0.07914146725678453	-0.43358697397383716	0.033970948111778115			
LSCC	CLDN4_protein	IRF9_protein	IRF9	ifn_signaling	ENSG00000213928.9	True	True	78	-0.2806434072256857	0.01281772914268073	-0.4830864872617042	-0.05978902232825985			
LSCC	CLDN4_protein	JAK1_protein	JAK1	ifn_signaling	ENSG00000162434.13	True	True	78	-0.36913719192200206	0.0008817032123991875	-0.5481759081295359	-0.15354137835383538			
LSCC	CLDN4_protein	JAK2_protein	JAK2	ifn_signaling	ENSG00000096968.14	True	True	78	-0.41896078604939363	0.00013473991306980958	-0.5965917400832634	-0.2161484993088183			
LSCC	CLDN4_protein	ISG15_protein	ISG15	ifn_isg	ENSG00000187608.10	True	True	78	0.010053237901339166	0.9303881519207154	-0.23270615668656883	0.2376331238442118			
LSCC	CLDN4_protein	MX1_protein	MX1	ifn_isg	ENSG00000157601.14	True	True	78	-0.03559731407832673	0.7570102456617545	-0.26922550230039666	0.19809553777931949			
LSCC	CLDN4_protein	OAS1_protein	OAS1	ifn_isg	ENSG00000089127.13	True	True	78	0.056336068994296835	0.6242024594235527	-0.1882602393171499	0.2914148264669292			
LSCC	CLDN4_protein	IFI35_protein	IFI35	ifn_isg	ENSG00000068079.8	True	True	78	0.01452977402344491	0.8995274389008756	-0.218227714808879	0.26505861693517196			
LSCC	CLDN4_protein	HLA-A_protein	HLA-A	mhc1_extra	ENSG00000206503.13	True	True	78	-0.33238912985748426	0.0029469704069174547	-0.5396370113022114	-0.10406101158608878			
LSCC	CLDN4_protein	HLA-B_protein	HLA-B	mhc1_extra	ENSG00000234745.11	True	True	78	-0.22730434122839185	0.04535288355440118	-0.42917302409364383	-0.00741542450408522			
LSCC	CLDN4_protein	HLA-C_protein	HLA-C	mhc1_extra	ENSG00000204525.16	True	True	78	-0.3441495213647112	0.0020341377573175785	-0.5518757721134452	-0.10581699530094674			
LSCC	CLDN4_protein	B2M_protein	B2M	mhc1_extra		False	False	0							
LSCC	CLDN4_protein	IFN_core_protein	IFN_core_protein	score	STAT1,STAT2,IRF1,IRF9,JAK1,JAK2,ISG15,MX1,OAS1,IFI35	True	True	78	-0.17540687160940327	0.1245196891966577	-0.3940707124951518	0.054877122826554596	STAT1,STAT2,IRF1,IRF9,JAK1,JAK2,ISG15,MX1,OAS1,IFI35	10.0	10.0
LSCC	CLDN4_protein	MHC1_protein	MHC1_protein	score	HLA-A,HLA-B,HLA-C	True	True	78	-0.4097042198308021	0.0001953844621326853	-0.5870940475552553	-0.19372198583352937	HLA-A,HLA-B,HLA-C	3.0	4.0
