case_id	CLDN4_protein	cohort	CD274_protein	STAT1_protein	ISG15_protein	MX1_protein	HLA-A_protein	IFN_core_protein	MHC1_protein
C3N-01799	22.9868855161172	LUAD	21.2949716458001	28.4477795446213	26.8620131770969	25.6732845537731	28.0806404128264	-0.3488121347940115	0.040469259306921725
C3L-01890	23.2027895420681	LUAD	21.607775142067	27.7923345711218	27.851381599161	25.872238226937	27.1720641625578	-0.2240925447187246	-1.0605688699744862
C3N-00572	23.1132171218189	LUAD	22.1894469158441	28.2093928545089	27.6559357659814	26.3316253715237	27.5552737878938	-0.05451517766062508	-0.10387835306088682
C3N-02423	22.8022812803958	LUAD	24.1292620776561	29.2575714804108	27.8006100828257	26.0380881876644	28.0357469735821	0.5003705328962165	0.6235632191071548
C3N-02729	22.2029179081993	LUAD	21.0871418894237	27.6153076551577	26.8288083390965	25.7670064538712	28.1268896621876	-0.7460633897320403	-0.40773781132044834
C3L-00263	23.553764737516	LUAD	21.8567014049715	28.3063094741407	27.2647730712121	25.7888283426945	28.4879269659974	-0.031187640119343753	0.4951747119106738
C3N-01410	23.3211210488318	LUAD	22.4610658573099	27.7916706773445	26.8509759507689	25.0642352604867	27.8393062458414	-1.2506832080444545	0.06925294610934087
C3N-00578	23.1164940904834	LUAD	21.8408452055223	27.897949444693	27.44445536238	26.3322249938937	27.2064972703094	-0.1638032035860527	0.4213915840757658
C3N-02587	22.0696702147104	LUAD	21.7564994533087	27.8726359498839	27.315283144509	25.85921073565	27.5577647626918	-0.6262448998119885	-0.9869002485708972
C3L-00893	24.6759156789237	LUAD	22.0498480972363	27.4463022650144	27.1170986949559	25.6140003148927	27.9114670663362	-0.6217655066870853	-0.2624904120620816
C3N-01488	22.7616095643611	LUAD	22.809239472719	28.8178700604893	28.7497720822141	27.9131109178714	28.2571194570745	1.0940027247150148	1.0504907111626063
C3N-01413	22.9881347041029	LUAD	22.8195881528078	28.8215603464655	29.4133183433422	27.2676345630695	28.9704066758933	0.8156509056447477	1.1645867318148337
C3N-01030		LUAD	24.368976130722	28.5658140397454	29.0327582608589	27.5360810549305	27.7327764526633	0.3672352831992741	-1.21118488415152
C3N-02588		LUAD	22.2372553497215	28.0862164578395	28.0495289139832	27.2993836693251	27.1136257897656	-0.10519250018931783	-1.0944267330913853
C3N-00552		LUAD	22.6611165422078	28.2473587748471	27.9767059814652	26.9741110507467	26.875251846511	0.26840624895437	-0.18915238619526178
C3L-01889		LUAD	21.5887484905379	27.4651288550876	27.1349747663566	25.4203218591985	27.9674002343009	-0.6673322794730588	-1.176820385399612
C3N-00169		LUAD	22.7051702322063	28.1076006028487	28.6022328532674	26.5898716376459	27.9007122671265	0.24525435206819676	-0.23019576280596335
C3L-00422		LUAD	21.7842866153717	27.4249550310234	27.026063469842	25.4710102211958	27.2024032587809	-0.9813079284137807	-0.6499473049851084
C3L-00083		LUAD	21.9208115756465	27.6391802843995	26.9886373957129	25.2514698892611	27.4340375884579	-0.4957258929924936	-0.7194108014607427
C3N-00551		LUAD	21.9532638176355	28.0150343575777	28.8043224954812	25.6472776918092	26.999911853299	-0.35749919704916455	-0.7031624264464057
