sample	TACSTD2	CLDN4	CD8A	GEP18	ESTIMATE_StromalScore	ESTIMATE_ImmuneScore	ESTIMATE_Score	ESTIMATE_TumorPurity
GSM494556	13.0846	6.74666	8.16325	-0.9516993879717744	2619.9183634331375	3557.7444324616226	6177.66279589476	0.058965663765696605
GSM494557	13.2755	8.8507	7.7786	-0.45347967334344297	1911.0499880618286	4429.756781182166	6340.8067692439945	0.035045067188389
GSM494558	11.9615	7.68992	9.36044	-0.07856291234771234	5908.651789241516	6579.947174316381	12488.598963557897	-0.7626319121953938
GSM494559	13.3699	9.59098	7.79623	-0.39439742798035204	2873.521123215104	4236.583049047502	7110.104172262606	-0.07779301182038936
GSM494560	12.6839	9.30462	7.49096	-0.41121852460306285	4145.5510583607975	5049.899934650157	9195.450993010954	-0.37461028185123596
GSM494561	12.3939	8.27945	9.34896	0.013163001805299009	5164.935580296529	7214.011564063483	12378.947144360012	-0.7521224063014783
GSM494562	12.563	9.85445	8.60413	0.26535385574058473	2991.7805179330967	5566.115115272343	8557.89563320544	-0.28632657226110697
GSM494563	13.9995	7.97845	9.34335	0.16440606094063595	4419.811760647046	4032.470850232045	8452.28261087909	-0.271439062596021
GSM494564	13.5111	9.05793	10.6795	0.5421007632806988	5036.253916902742	6772.607613055461	11808.861529958203	-0.6944064826612678
GSM494565	12.804	9.31434	7.82095	0.04949284589851046	5224.093255916749	5853.682015571954	11077.775271488703	-0.6133378541067046
GSM494566	13.213	7.39964	9.24099	0.3008478323764426	5938.1861663871805	6737.3341312374505	12675.520297624631	-0.7800903553221069
GSM494567	12.0966	9.57794	9.10746	0.2980620578112857	3712.1040845401703	6455.7272228041675	10167.831307344339	-0.502692462722297
GSM494568	12.8075	9.18349	9.20083	0.40488695843624617	5399.086578832402	7371.153122044873	12770.239700877275	-0.7887137659645636
GSM494569	12.5171	8.3671	8.61093	-0.014911464386486717	4283.078265074999	6606.462091183486	10889.540356258485	-0.5912832182658634
GSM494570	12.0442	8.32755	8.93487	-0.19701184175541064	5946.954679884979	6647.77199953887	12594.72667942385	-0.7726155327651439
GSM494571	13.1044	8.66056	8.75708	-0.3943708467489937	2924.7778669477525	5093.089787096942	8017.867654044694	-0.20955598421322388
GSM494572	12.5758	8.71055	7.38982	-0.9786455324579239	1031.6523511419205	3768.759865706608	4800.412216848528	0.2582055417082637
GSM494573	12.6538	9.07678	9.6014	0.8282083454143433	3156.02067073097	6077.752636802483	9233.773307533453	-0.37981997961844527
GSM494574	12.8655	7.63781	9.21284	0.923750425741096	4987.331246930613	6995.674677379746	11983.005924310359	-0.7125718679745521
