feature,contrast,n_pos,n_neg,median_pos,median_neg,delta_median_pos_minus_neg,mean_pos,mean_neg,mannwhitney_U,p_exact_two_sided,AUC_high_predicts_pos,AUC_95CI_lo,AUC_95CI_hi
CD274,CR_vs_PD,7,10,4.848794919127413,3.69210491298038,1.1566900061470333,4.400907404185705,3.7538636089929414,48.0,0.2295351707116413,0.6857142857142857,0.38571428571428573,0.9574999999999981
PDCD1,CR_vs_PD,7,10,2.0449526672862537,2.120681239814928,-0.07572857252867449,2.1282646983773645,2.1003042359992947,31.0,0.7396133278486219,0.44285714285714284,0.15714285714285714,0.7714285714285715
EOMES,CR_vs_PD,7,10,2.3215337503180007,2.468713846105373,-0.14718009578737234,2.514477421515268,2.6122644524425627,30.0,0.6690662278897572,0.42857142857142855,0.14285714285714285,0.7285714285714285
HAVCR1,CR_vs_PD,7,10,2.462387114071273,3.0069114499607785,-0.5445243358895056,2.4426689162203226,2.9743283474491142,19.0,0.13307280954339779,0.2714285714285714,0.02857142857142857,0.5571428571428572
JAML,CR_vs_PD,7,10,4.459660484432631,5.000416689114571,-0.5407562046819399,4.515818267296933,5.118100737412225,13.0,0.03301110654051831,0.18571428571428572,0.014285714285714285,0.44285714285714284
FCRL1,CR_vs_PD,7,10,1.2639827335581986,2.145235277712289,-0.8812525441540906,1.2807427157608926,2.0949519071611236,13.0,0.03301110654051831,0.18571428571428572,0.0,0.44285714285714284
