priority	year	pmid	pmcid	doi	first_author	journal	cancer	perturbation	model	data_pointer	cldn4_perturbation_profile	also_deposited	notes	title
lung	2020	33006362	PMC7560521	10.1042/BSR20201140	Cui A	Biosci Rep	lung (NSCLC)	shRNA	A549	UNDEPOSITED	UNDEPOSITED		Data-availability statement: available from the corresponding author upon request. PMC XML has no supplementary-material block and no GEO/SRA/NODE accession. shRNA targeting Claudin 4 is in the methods.	Knockdown of CRAD suppresses the growth and promotes the apoptosis of human lung cancer cells via Claudin 4.
lung	2025	41016339		10.1016/j.bbrc.2025.152710	Kashiwagi K	Biochem Biophys Res Commun	lung (SCLC)	CRISPR knockout	H1688	UNDEPOSITED	UNDEPOSITED		CLDN4-knockout H1688 RNA-seq is described (SAA1 called as a downstream effector). PubMed is not linked to GEO. SRA query "H1688 AND CLDN4" returned 0. No PMC full text, so a paywalled journal supplement was not opened.	CLDN4 regulates cell proliferation in small cell lung cancer cells via SAA1 inhibition.
ovarian	2016	27724921	PMC5057472	10.1186/s12885-016-2799-7	Hicks DA	BMC Cancer	ovarian	shRNA	ovarian tumor cells; MISSION shRNA TRCN0000116627, TRCN0000116628, TRCN0000116629. Lines named in the paper include OVCA429, OVCAR3, OVCAR5, PEO1, PEO4, SKOV3	UNDEPOSITED	UNDEPOSITED		Availability statement: all data are in the manuscript. No supplementary-material block and no repository accession.	Claudin-4 activity in ovarian tumor cell apoptosis resistance and migration.
ovarian	2019	30606772	PMC6916652	10.1158/1541-7786.MCR-18-0451	Breed C	Mol Cancer Res	ovarian	shRNA	ovarian tumor cells with endogenous claudin-4; TRCN0000116627, TRCN0000116628, TRCN0000116631. OVCAR3-shCLDN4 from this line is reused by PMID 36237976	SUPPLEMENT:PMC6916652	UNDEPOSITED		Eight supplements (Sup. Text and Sup.Fig.1-7). No GEO/SRA/NODE for the shRNA profiles. GSE18521 is a cited public ovarian cohort, not this knockdown.	Ovarian Tumor Cell Expression of Claudin-4 Reduces Apoptotic Response to Paclitaxel.
ovarian	2022	35373300	PMC8988515	10.1158/1535-7163.MCT-21-0827	Yamamoto TM	Mol Cancer Ther	ovarian (HGSOC)	knockdown (shRNA/CRISPRi series)	HGSOC claudin-4 knockdown cells. Lines named include OVCA429, OVCAR3, OVCAR8	SUPPLEMENT:PMC8988515	UNDEPOSITED		Data-availability statement: available upon request from the corresponding author. Nine supplements. Reverse-phase protein array of the knockdown is described; no public accession.	Loss of Claudin-4 Reduces DNA Damage Repair and Increases Sensitivity to PARP Inhibitors.
ovarian	2022	36237976	PMC9552118	10.1016/j.heliyon.2022.e10862	Neville MC	Heliyon	ovarian	shRNA (existing line)	OVCAR3-shCLDN4 (same line as Breed shCLDN4_2) and OVCAR8	SUPPLEMENT:PMC9552118	UNDEPOSITED		Data statement: data are in the article, supplement, or referenced articles. One supplement. No new repository accession for the knockdown.	Claudin-4 localization in epithelial ovarian cancer.
ovarian	2024	38867360	PMC11218812	10.1158/2767-9764.CRC-24-0240	Villagomez FR	Cancer Res Commun	ovarian	CRISPRi	OVCA429 and OVCAR3 dCas9-KRAB	SUPPLEMENT:PMC11218812	UNDEPOSITED		Data generated in the study are in the manuscript and supplementary material; flow and mined data upon request. 24 supplementary items. Metabolomics were run at a core facility with no public accession.	Claudin-4 Modulates Autophagy via SLC1A5/LAT1 as a Mechanism to Regulate Micronuclei.
ovarian	2025	39625235	PMC11705808	10.1158/2767-9764.CRC-24-0558	Villagomez FR	Cancer Res Commun	ovarian	CRISPRi	OVCA429 and OVCAR3	SUPPLEMENT:PMC11705808	UNDEPOSITED		Data availability: TCGA phs000178 is cited; all other data upon request. Eight supplements. TCGA is not the knockdown.	Claudin-4 Stabilizes the Genome via Nuclear and Cell-Cycle Remodeling to Support Ovarian Cancer Cell Survival.
ovarian	2025	41214101	PMC12603150	10.1038/s41598-025-23137-1	Bitler BG	Sci Rep	ovarian (HGSOC)	CRISPRi	OVCAR3 and OVCA429 knockdown; OVCAR8 overexpression	SUPPLEMENT:PMC12603150	UNDEPOSITED		Supplementary information online (10 files). No GEO/SRA/NODE/CNGB accession for the knockdown.	Claudin-4 as a dual regulator of genome stability and immune evasion in high grade serous ovarian cancer.
breast	2015	25727011		10.1016/j.bbrc.2015.02.108	Yang Y	Biochem Biophys Res Commun	breast	siRNA	MCF-7 claudin-4 siRNA (claudin-3 and claudin-12 siRNAs were also used)	UNDEPOSITED	UNDEPOSITED		No PMC full text. PubMed is not linked to GEO. Repository status is UNDEPOSITED; a paywalled supplement was not opened.	Interleukin-18 enhances breast cancer cell migration via down-regulation of claudin-12 and induction of the p38 MAPK pathway.
